Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-06-29,15.2172,15.5531,15.0477,15.3807,9120106.5267898
1998-06-30,15.3217,15.3217,14.9453,14.9817,2223240.0019623
1998-07-01,14.9453,15.0851,14.6082,15.0142,857571.09369852
1998-07-02,14.9453,14.9453,14.6742,14.9087,814915.34709237
1998-07-06,14.9087,14.9087,14.6082,14.6418,891840.2041714
1998-07-07,14.6418,14.6742,14.5107,14.5787,901525.8352527
1998-07-08,14.5787,14.6742,14.5451,14.6742,567230.50021535
1998-07-09,14.6082,14.6418,14.4072,14.5451,423798.11663666
1998-07-10,14.5451,14.5451,14.1707,14.5451,555663.35613901
1998-07-13,14.4072,14.5107,14.1707,14.4742,557403.80640142
1998-07-14,14.4407,14.6082,14.2732,14.5451,966452.24133904
1998-07-15,14.4742,14.5107,14.3107,14.5107,336610.18462834
1998-07-16,14.4407,14.4742,14.2732,14.3383,583576.52492474
1998-07-17,14.3383,14.3383,14.1707,14.2732,785857.43900868
1998-07-20,14.1707,14.2062,14.0042,14.1707,783685.68182993
1998-07-21,14.1027,14.1707,13.9362,14.0042,316365.14539524
1998-07-22,14.0396,14.0396,13.8653,14.0396,732357.11426604
1998-07-23,14.0396,14.2062,14.0396,14.1707,645165.12289852
1998-07-24,14.0761,14.1027,14.0042,14.0761,745801.71197822
1998-07-27,14.0042,14.1343,13.8987,14.1027,556387.95175846
1998-07-28,14.0396,14.1027,13.6662,13.8653,1181171.0320504
1998-07-29,13.7706,13.8653,13.5017,13.7352,755057.05098298
1998-07-30,13.6662,13.9697,13.6317,13.8653,676542.95477221
1998-07-31,13.8653,13.8653,13.4632,13.5647,559279.23035764
1998-08-03,13.4632,13.5371,13.2277,13.3982,938683.17980536
1998-08-04,13.3007,13.3007,12.7952,12.9626,892997.121547
1998-08-05,13.0661,13.5371,12.9942,13.5371,724836.13648487
1998-08-06,13.5371,13.5371,13.1962,13.3233,822002.9882776
1998-08-07,13.2681,13.3627,13.0661,13.1626,508239.89213764
1998-08-10,13.1962,13.4632,13.1962,13.3233,1083569.828822
1998-08-11,13.1962,13.2277,12.9242,13.0316,518218.81192205
1998-08-12,13.0316,13.5371,12.9942,13.5371,576917.14613645
1998-08-13,13.3982,13.5017,13.3007,13.4297,298584.13720419
1998-08-14,13.3007,13.3982,13.1962,13.3233,282967.78231327
1998-08-17,13.4632,13.6317,13.3627,13.5972,752599.10897974
1998-08-18,13.5647,13.5972,13.3233,13.4632,651960.49022042
1998-08-19,13.4297,13.4297,13.2681,13.3982,437676.05094479
1998-08-20,13.4632,13.5371,13.3982,13.5017,913674.48253625
1998-08-21,13.3982,13.5972,13.3627,13.5972,663673.77122842
1998-08-24,13.6662,13.8052,13.6317,13.6662,546415.12101286
1998-08-25,13.7007,13.8653,13.6662,13.8653,847014.73006611
1998-08-26,13.8052,13.8337,13.7352,13.8052,500288.62227994
1998-08-27,13.8052,13.9362,13.7706,13.7706,1046261.2731387
1998-08-28,13.8052,13.8052,13.7007,13.8052,500431.71469219
1998-08-31,13.7706,13.7706,13.3982,13.7007,1897185.1661265
1998-09-01,13.5647,13.6317,13.2277,13.6317,644881.98259344
1998-09-02,13.5017,13.5371,13.2681,13.5017,1881133.44496
1998-09-03,13.3627,13.5017,13.2277,13.4632,386346.46854109
1998-09-04,13.5371,13.5972,13.3627,13.5371,519516.79203029
1998-09-08,13.5017,13.6317,13.3233,13.6317,287302.16311253
1998-09-09,13.6317,13.6317,13.4632,13.5972,313330.7743838
1998-09-10,13.5371,13.6662,13.4632,13.6317,473101.06395346
1998-09-11,13.5371,13.7007,13.4297,13.6662,335882.54448949
1998-09-14,13.7352,13.8653,13.6662,13.8653,419750.93550169
1998-09-15,13.7706,14.2397,13.7706,14.1707,469780.50811755
1998-09-16,14.1343,14.2397,14.0396,14.2397,1711238.0986743
1998-09-17,14.1097,14.2456,14.0761,14.1776,2376795.4125774
1998-09-18,14.1411,14.421,14.1097,14.3836,494356.8836305
1998-09-21,14.3836,14.4535,14.2456,14.3836,402250.0230963
1998-09-22,14.421,14.489,14.2456,14.2456,590946.29157524
1998-09-23,14.3501,14.5846,14.2811,14.5846,537152.67812949
1998-09-24,14.5846,14.5846,14.2456,14.3501,1046985.868758
1998-09-25,14.212,14.4535,14.212,14.421,267350.41258253
1998-09-28,14.3165,14.489,14.2456,14.489,598754.4690207
1998-09-29,14.4535,14.69,14.4535,14.622,382010.05806221
1998-09-30,14.489,14.489,14.1776,14.2456,535421.36142531
1998-10-01,14.2811,14.622,14.2456,14.5846,614655.99389631
1998-10-02,14.622,15.2368,14.622,15.2024,918157.02994678
1998-10-05,15.2024,15.7158,15.1305,15.6872,817952.76262322
1998-10-06,15.6872,15.8508,15.4783,15.7443,1000135.7892455
1998-10-07,15.7828,16.0272,15.7443,15.9553,779063.08652658
1998-10-08,15.8202,15.8202,15.5827,15.7828,637648.20447655
1998-10-09,15.7828,15.7828,15.1068,15.3049,346150.69361778
1998-10-12,15.1649,15.1649,14.1411,14.3165,461971.31583228
1998-10-13,14.4535,14.828,14.421,14.828,1654994.6619437
1998-10-14,15.1068,15.3049,14.9679,15.1305,860610.53890896
1998-10-15,15.0704,15.1305,14.69,14.828,1086893.4291773
1998-10-16,14.7619,14.7619,14.3501,14.622,906008.38266323
1998-10-19,14.622,14.622,14.3501,14.489,389386.92859134
1998-10-20,14.421,14.489,13.7706,13.8396,859595.69910581
1998-10-21,13.9067,14.1776,13.8396,13.8731,544386.45624636
1998-10-22,13.8052,14.212,13.6662,14.212,1432321.5568552
1998-10-23,14.2456,14.2811,13.9766,14.1097,726287.35740338
1998-10-26,14.0396,14.1097,13.8396,13.9766,497686.57302465
1998-10-27,14.0396,14.1776,13.7007,13.8396,449101.11744869
1998-10-28,13.9766,14.212,13.9766,14.1097,480044.59788663
1998-10-29,14.1097,14.1097,13.9441,14.0042,287163.1300595
1998-10-30,14.1411,14.2456,14.0761,14.212,572145.36938202
1998-11-02,14.212,14.622,14.212,14.5235,618560.08261904
1998-11-03,14.5235,14.9295,14.5235,14.9295,478742.55841919
1998-11-04,15.0024,15.0704,14.489,14.69,491469.66439053
1998-11-05,14.622,14.6546,14.489,14.5579,465582.1158519
1998-11-06,14.489,14.7905,14.489,14.5235,417724.30041479
1998-11-09,14.622,14.622,14.3501,14.5235,334727.6567935
1998-11-10,14.5579,14.5846,14.3836,14.5579,902685.7971477
1998-11-11,14.5235,14.5579,14.3836,14.3836,398204.87164093
1998-11-12,14.489,14.622,14.421,14.489,508239.89213764
1998-11-13,14.5579,14.5846,14.0623,14.489,884467.39300149
1998-11-16,14.5579,14.5579,14.3165,14.3836,310149.25160092
1998-11-17,14.3836,14.5235,14.3501,14.4535,458355.44161364
1998-11-18,14.421,14.421,14.1097,14.212,451406.83348145
1998-11-19,14.212,14.212,14.0396,14.1097,229899.77932677
1998-11-20,14.1776,14.1776,13.9067,14.1411,302773.3959116
1998-11-23,14.1776,14.2456,14.1097,14.2456,332559.95897396
1998-11-24,14.2456,14.3836,14.1097,14.2811,209224.44801712
1998-11-25,14.212,14.3165,14.1776,14.212,358297.31122173
1998-11-27,14.1411,14.1776,13.9766,14.0042,170472.79013371
1998-11-30,13.8052,13.8731,13.5972,13.5972,764024.17548364
1998-12-01,13.7706,13.9441,13.7007,13.8052,503325.02297097
1998-12-02,13.8052,13.9067,13.7706,13.8731,336323.99980385
1998-12-03,13.8396,13.9067,13.7706,13.8052,307694.3541171
1998-12-04,13.9441,14.2456,13.9067,14.0042,651525.12394487
1998-12-07,13.9441,14.1097,13.9441,14.1097,215732.61567474
1998-12-08,14.1776,14.1776,13.9766,14.1097,175247.61140754
1998-12-09,14.0761,14.1411,14.0396,14.1411,181032.19828552
1998-12-10,14.0761,14.1776,13.9441,13.9766,266045.32859568
1998-12-11,13.9766,14.1097,13.8396,13.9441,411362.26968882
1998-12-14,13.9441,13.9441,13.7706,13.8052,261136.54846783
1998-12-15,13.8052,13.8396,13.7007,13.7706,278628.32731498
1998-12-16,13.8396,13.8731,13.6662,13.7352,1680583.8475802
1998-12-17,13.812,13.8465,13.6396,13.6731,2786131.0471793
1998-12-18,13.6396,13.881,13.6396,13.881,959796.92190996
1998-12-21,13.9145,14.4407,13.881,14.1215,1077784.2271042
1998-12-22,14.1559,14.1924,13.951,14.016,540337.24543178
1998-12-23,14.0534,14.1559,13.9844,14.1215,750141.16697651
1998-12-24,14.1215,14.2278,14.1215,14.1559,67526.425662024
1998-12-28,14.2278,14.2278,13.9145,13.9844,313183.62261235
1998-12-29,14.016,14.1559,13.951,14.1215,400807.93573602
1998-12-30,14.0879,14.2278,14.0534,14.0534,263157.0945159
1998-12-31,14.0534,14.0879,13.9844,14.0879,359167.02893304
1999-01-04,14.0534,14.2594,14.016,14.1924,466738.01838769
1999-01-05,14.3648,14.4407,14.2594,14.4407,638082.55591231
1999-01-06,14.3993,14.3993,14.1215,14.2594,637935.40414084
1999-01-07,14.1924,14.3993,14.1559,14.2594,516477.34681984
1999-01-08,14.2278,14.2969,13.9145,14.0534,668880.9142584
1999-01-11,13.9844,14.016,13.5647,13.7421,660929.64440069
1999-01-12,13.7421,13.951,13.7421,13.951,822145.06585004
1999-01-13,13.812,14.1215,13.812,13.951,576631.97615176
1999-01-14,13.9145,13.9145,13.6731,13.812,719921.2673182
1999-01-15,13.881,13.881,13.7075,13.7421,1234664.2529144
1999-01-19,13.7766,13.812,13.6396,13.6731,882732.0169381
1999-01-20,13.6396,13.7421,13.3982,13.3982,904856.53948664
1999-01-21,13.5371,13.6731,13.5017,13.6731,520238.34313033
1999-01-22,13.6731,13.7075,13.5017,13.5647,316509.25264728
1999-01-25,13.3627,13.6396,13.3627,13.6396,405143.3313751
1999-01-26,13.6396,13.6731,13.4297,13.5371,362927.01040372
1999-01-27,13.5371,13.6042,13.3982,13.5017,476430.7533476
1999-01-28,13.3233,13.3982,12.9824,13.0513,768212.41935125
1999-01-29,13.0129,13.0129,12.6375,12.7744,567955.09583479
1999-02-01,12.7035,12.74,12.4946,12.5656,459222.11480553
1999-02-02,12.4946,12.4946,12.2473,12.3517,706188.45510193
1999-02-03,12.3172,12.6709,12.3172,12.6709,571571.98489324
1999-02-04,12.74,12.74,12.4236,12.534,396759.73976125
1999-02-05,12.4571,12.4946,12.1438,12.2857,493779.43978251
1999-02-08,12.2473,12.6709,12.1438,12.5656,435797.58246914
1999-02-09,12.599,12.6375,12.3517,12.3852,246675.08127289
1999-02-10,12.2857,12.3517,12.0748,12.1792,414538.71827269
1999-02-11,12.0403,12.1792,12.0058,12.0748,365523.98545999
1999-02-12,12.0058,12.1103,11.9358,12.0058,564777.63241113
1999-02-16,12.0748,12.3172,12.0403,12.2473,771105.72763005
1999-02-17,12.2473,12.3852,12.0748,12.0748,935215.47219798
1999-02-18,12.1103,12.3852,12.0403,12.2857,588778.5937557
1999-02-19,12.2147,12.4571,12.1792,12.3852,870443.32176172
1999-02-22,12.3852,12.3852,11.8353,11.9714,1318670.6621399
1999-02-23,11.9714,11.9714,11.7634,11.9714,907453.51454291
1999-02-24,12.0058,12.0748,11.7999,11.8353,735824.82187341
1999-02-25,11.8353,11.9034,11.4175,11.6255,654271.2804522
1999-02-26,11.8353,11.8649,11.5565,11.6599,852796.27242468
1999-03-01,11.6599,11.7634,11.593,11.728,865380.28598378
1999-03-02,11.728,11.8353,11.593,11.6964,891117.63823155
1999-03-03,11.7634,11.7999,11.2786,11.4531,765899.59943987
1999-03-04,11.5565,11.7634,11.4175,11.7634,1278768.1759197
1999-03-05,11.7634,11.9714,11.7634,11.9358,1670317.7281315
1999-03-08,11.9714,12.0058,11.6964,11.7999,704013.65340377
1999-03-09,11.7999,11.8353,11.4885,11.521,880995.62603491
1999-03-10,11.5565,11.6964,11.3831,11.3831,1631142.8820502
1999-03-11,11.4531,11.521,11.2786,11.3831,1361327.4235858
1999-03-12,11.4531,11.6255,11.4175,11.6255,1935500.4428946
1999-03-15,11.6255,11.7634,11.6255,11.728,1141695.7933874
1999-03-16,11.728,11.9034,11.728,11.9034,5117381.464231
1999-03-17,11.9093,11.9093,11.6333,11.8058,721221.27710604
1999-03-18,11.7358,11.7704,11.6333,11.6649,731923.77767009
1999-03-19,11.6649,11.6649,11.4885,11.521,674086.02760877
1999-03-22,11.521,11.593,11.3831,11.5565,758233.49956684
1999-03-23,11.521,11.5565,11.2727,11.3131,911937.07679325
1999-03-24,11.4175,11.6333,11.3131,11.5565,1173359.8100856
1999-03-25,11.5565,11.5565,11.2727,11.2727,783401.52668505
1999-03-26,11.3131,11.3131,11.1358,11.3131,975699.46162538
1999-03-29,11.2027,11.3831,11.2027,11.2393,1341663.8875599
1999-03-30,11.2027,11.2393,10.8854,10.8854,749995.03004484
1999-03-31,10.92,11.0323,10.8155,10.8519,1038022.8036166
1999-04-01,10.781,10.8854,10.781,10.8854,1042648.4434394
1999-04-05,10.8854,10.92,10.781,10.8854,740167.32139111
1999-04-06,10.8854,10.9554,10.781,10.8155,639381.55086034
1999-04-07,10.8155,10.8155,10.4627,10.4627,819834.27561826
1999-04-08,10.4982,10.8155,10.4627,10.711,1029927.4265068
1999-04-09,10.6381,10.7465,10.5691,10.6795,809130.7602144
1999-04-12,10.6381,10.781,10.5691,10.781,952859.4770156
1999-04-13,10.781,10.8854,10.6007,10.7465,822725.55421744
1999-04-14,10.7465,10.781,10.6007,10.6007,551037.71631623
1999-04-15,10.8155,10.8854,10.6795,10.7465,1304216.2988236
1999-04-16,10.9554,11.0323,10.8854,11.0323,776024.65615593
1999-04-19,11.2393,11.4531,11.0648,11.1358,927266.23201988
1999-04-20,11.2027,11.4531,11.1673,11.4531,1388512.9522327
1999-04-21,11.4531,11.6333,11.3131,11.4175,1316216.7794959
1999-04-22,11.521,11.6649,11.4531,11.521,748260.66882126
1999-04-23,11.521,11.7033,11.4885,11.521,669604.49503806
1999-04-26,11.5565,11.9093,11.5565,11.8728,1308698.8462341
1999-04-27,11.8728,12.0551,11.7033,12.0206,850778.77089601
1999-04-28,12.0551,12.1596,11.9093,12.0206,563758.73324876
1999-04-29,12.1221,12.2147,11.9093,11.9516,727582.2929922
1999-04-30,11.9516,11.9832,11.593,11.7358,695197.74003378
1999-05-03,11.8058,11.9093,11.7358,11.8058,875789.49784473
1999-05-04,11.8058,11.8728,11.7358,11.8728,645022.03048627
1999-05-05,12.0206,12.0896,11.7358,11.7704,888802.78864056
1999-05-06,11.7704,11.7704,11.6333,11.6649,1461530.6760696
1999-05-07,11.6649,11.7358,11.593,11.7033,619715.98515484
1999-05-10,11.7033,12.0206,11.6649,11.9516,1426247.7406334
