Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,19.519,19.9777,19.4039,19.9777,356084.62344466
2005-02-28,19.9191,19.9191,19.3423,19.7165,405599.2091394
2005-03-01,19.8188,20.0373,19.6381,19.9857,547416.06500201
2005-03-02,19.8923,20.3173,19.8665,20.1138,311407.48445861
2005-03-03,20.1138,20.2141,19.7752,20.081,272881.14435863
2005-03-04,20.1962,20.3252,19.927,20.2309,218752.7041204
2005-03-07,20.223,20.2368,19.9777,20.1305,221237.39723519
2005-03-08,20.1962,20.2726,19.8923,19.9678,297223.48237693
2005-03-09,19.937,19.937,19.519,19.663,380901.33943502
2005-03-10,19.663,19.663,19.2748,19.5965,418837.4767927
2005-03-11,19.5965,19.81,19.4873,19.6133,259054.68830685
2005-03-14,19.5965,19.8843,19.519,19.8357,217927.83032186
2005-03-15,19.9539,19.9857,19.6988,19.8665,299707.16831981
2005-03-16,19.8188,19.9103,19.6561,19.7077,294389.30060758
2005-03-17,19.6561,19.7245,19.5627,19.6988,478757.1555433
2005-03-18,19.7165,19.7325,19.4376,19.6381,572828.01959425
2005-03-21,19.5965,19.7325,19.4962,19.7325,183656.79156357
2005-03-22,19.6808,19.8486,19.3333,19.5865,354900.1892724
2005-03-23,19.4793,19.5965,19.2568,19.4376,237425.67142808
2005-03-24,19.4376,19.9857,19.3175,19.7573,304905.18257412
2005-03-28,19.8,20.223,19.8,20.1138,448145.17235291
2005-03-29,20.1227,20.1892,19.8665,20.1535,777160.03623292
2005-03-30,20.1227,20.2726,20.0105,20.2458,385862.66828927
2005-03-31,20.2141,20.2458,19.8417,20.1138,468828.45480331
2005-04-01,20.1068,20.1892,19.2658,19.5627,514685.99927398
2005-04-04,19.5627,19.7415,19.376,19.6808,223359.5084605
2005-04-05,19.6808,20.0105,19.6808,19.945,259531.08062275
2005-04-06,19.8923,20.2994,19.8665,19.8665,309520.04428954
2005-04-07,19.8357,20.1892,19.6988,20.071,255863.96767952
2005-04-08,19.9609,20.0045,19.5796,19.663,271699.73170212
2005-04-11,19.663,19.663,19.4643,19.519,235891.74860125
2005-04-12,19.4643,19.8357,19.1596,19.6808,381376.724579
2005-04-13,19.6988,19.7165,19.3423,19.4376,205399.61886877
2005-04-14,19.4873,19.6471,19.2062,19.2568,250430.27519706
2005-04-15,19.2568,19.4555,19.0384,19.2568,318504.01777306
2005-04-18,19.2062,19.512,19.0801,19.3423,258106.93953467
2005-04-19,19.3423,19.3423,19.0971,19.248,278669.36135524
2005-04-20,19.2391,19.2916,19.0901,19.1765,493763.00990775
2005-04-21,19.2837,19.5031,19.1507,19.2391,282690.99881262
2005-04-22,19.2231,19.3601,19.0971,19.1984,574953.15233531
2005-04-25,19.2837,19.4962,19.0801,19.4873,250190.56828124
2005-04-26,19.4039,19.6381,19.0971,19.0971,234946.01417288
2005-04-27,19.107,19.512,18.7764,19.2748,226198.72608942
2005-04-28,19.1924,19.1924,18.5807,19.0384,526381.27955321
2005-04-29,19.0643,19.1228,18.5212,18.8676,367068.84035176
2005-05-02,18.9103,19.3175,18.9103,19.2916,342134.28524733
2005-05-03,19.2391,19.5965,19.1228,19.3423,307863.24648904
2005-05-04,19.3244,19.7662,19.1984,19.7165,344145.60756196
2005-05-05,19.6898,19.8357,19.4296,19.7165,202563.42275558
2005-05-06,19.8357,19.8755,19.3939,19.5965,188500.28130374
2005-05-09,19.5458,19.6471,19.4296,19.5627,279142.73215539
2005-05-10,19.4793,19.4793,19.2161,19.3601,215682.8441229
2005-05-11,19.386,19.4296,18.9452,19.3175,340718.20153456
2005-05-12,19.2916,19.6133,19.0126,19.1228,303136.58869104
2005-05-13,19.107,19.4128,18.8856,19.1228,254445.86962293
2005-05-16,19.0801,19.528,19.0801,19.4793,375344.7719789
2005-05-17,19.0801,19.1228,17.2264,17.2264,2697736.1613149
2005-05-18,17.8024,19.0573,17.702,18.3374,1365710.0094233
2005-05-19,18.3374,18.7853,18.1934,18.4289,581577.32202154
2005-05-20,18.4387,18.9203,18.3374,18.5718,644799.51748206
2005-05-23,18.5986,19.2062,18.5212,19.1844,667607.93267352
2005-05-24,19.0801,19.1228,18.8011,18.8598,582397.15996051
2005-05-25,18.7942,19.1596,18.7674,19.1318,630499.69063014
2005-05-26,19.2231,19.4128,19.0801,19.2231,441405.17789643
2005-05-27,19.2301,19.2658,19.0306,19.1318,232344.48911593
2005-05-31,19.1507,19.5548,19.1228,19.2837,1047443.6842223
2005-06-01,19.1596,19.7752,19.1596,19.376,714169.4903129
2005-06-02,19.376,19.5716,19.3006,19.519,656734.5046771
2005-06-03,19.5379,19.7165,19.3175,19.3601,737218.6195921
2005-06-06,19.3175,19.9956,19.2916,19.8566,828102.79170339
2005-06-07,19.927,20.1305,19.7165,19.7415,690179.66246492
2005-06-08,19.7325,20.081,19.6808,19.6808,606273.17738207
2005-06-09,19.7165,20.1625,19.5865,19.9678,582754.7059904
2005-06-10,19.9609,19.9678,19.6381,19.7077,695852.05469128
2005-06-13,19.6988,19.9003,19.5865,19.7911,363878.11972443
2005-06-14,19.8188,20.1625,19.8,20.0283,504758.30570592
2005-06-15,20.1068,20.2994,19.9678,20.2994,495655.48593641
2005-06-16,20.3173,20.9011,20.2458,20.6122,539500.70092051
2005-06-17,20.7125,20.9319,20.4017,20.5795,616435.54200638
2005-06-20,20.4196,20.6519,20.2368,20.2994,516692.28572904
2005-06-21,20.2905,20.4692,20.1395,20.4017,286478.97238565
2005-06-22,20.4017,20.6787,20.1535,20.2726,278084.19447252
2005-06-23,20.2805,20.775,20.2368,20.2458,321926.38794088
2005-06-24,20.1714,20.1962,19.7831,19.9777,724688.39379518
2005-06-27,19.937,20.2726,19.8357,20.0532,307389.8756889
2005-06-28,20.1305,20.6359,20.1138,20.6281,231639.4687753
2005-06-29,20.6359,20.926,20.6359,20.8753,257045.38033605
2005-06-30,20.9011,20.9755,20.5288,20.5288,235773.90948717
2005-07-01,20.5367,20.8247,20.342,20.7849,198427.9748718
2005-07-05,20.7849,21.1116,20.7849,21.1046,248415.93136668
2005-07-06,21.0868,21.1205,20.5188,20.5457,347099.64278923
2005-07-07,20.3828,20.7125,20.0462,20.5795,327715.61210941
2005-07-08,20.6032,21.1453,20.5099,21.1375,205987.80726724
2005-07-11,21.1116,21.6031,21.0957,21.6031,302899.90329097
2005-07-12,21.5494,21.8454,21.5494,21.6119,604618.39392541
