Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-07-09,2.14003,2.17073,2.14003,2.16298,303519.42736881
1986-07-10,2.17073,2.17073,2.14003,2.15552,935678.86772936
1986-07-11,2.14797,2.15552,2.14797,2.15552,198858.64554458
1986-07-14,2.14003,2.14797,2.11736,2.11736,782873.77967673
1986-07-15,2.11736,2.11736,2.08676,2.10177,244906.08675547
1986-07-16,2.10177,2.11736,2.09471,2.11736,311892.6161164
1986-07-17,2.10177,2.12511,2.10177,2.12511,1471546.6374926
1986-07-18,2.12511,2.15552,2.12511,2.14797,477253.40976973
1986-07-21,2.14003,2.14003,2.10177,2.10177,274214.28613239
1986-07-22,2.11736,2.12511,2.10971,2.11736,458422.39981912
1986-07-23,2.12511,2.12511,2.11736,2.12511,251193.62366747
1986-07-24,2.12511,2.12511,2.11736,2.11736,550519.32100126
1986-07-25,2.11736,2.12511,2.10971,2.10971,422833.79919141
1986-07-28,2.10971,2.10971,2.04066,2.0485,554706.93475523
1986-07-29,2.0485,2.0485,2.02544,2.02544,207230.814912
1986-07-30,2.01789,2.02544,2.00259,2.01044,307706.0217426
1986-07-31,2.01044,2.01044,1.91842,1.92617,768217.13153784
1986-08-01,1.92617,1.92617,1.91842,1.92617,54424.707479187
1986-08-04,1.92617,1.92617,1.91842,1.91842,311892.6161164
1986-08-05,1.91842,1.91842,1.87261,1.87261,420739.99231443
1986-08-06,1.89576,1.95668,1.88046,1.94138,573544.06098688
1986-08-07,1.93402,1.93402,1.91842,1.93402,385154.44982724
1986-08-08,1.93402,1.93402,1.91842,1.93402,218744.71397507
1986-08-11,1.93402,1.93402,1.91842,1.93402,431204.94917865
1986-08-12,1.94138,1.97208,1.92617,1.96443,580869.32691581
1986-08-13,1.97208,1.97208,1.95668,1.96443,796478.42747628
1986-08-14,1.96443,2.00259,1.95668,2.00259,393526.61919466
1986-08-15,2.00259,2.01044,1.99494,2.01044,331777.66516671
1986-08-18,2.01044,2.01044,1.96443,1.97973,443768.80982075
1986-08-19,1.97973,2.00259,1.97208,1.99494,1040336.591413
1986-08-20,1.97973,1.99494,1.97208,1.99494,387248.25670423
1986-08-21,1.99494,1.99494,1.95668,1.95668,302475.58207083
1986-08-22,1.96443,1.97973,1.94138,1.97973,205139.04679536
1986-08-25,1.97973,1.99494,1.96443,1.97973,245960.12585519
1986-08-26,1.97973,2.00259,1.97208,1.99494,332827.62674573
1986-08-27,1.99494,2.0485,1.99494,2.03339,1071734.5201463
1986-08-28,2.01044,2.04066,2.01044,2.01044,485634.75355871
1986-08-29,2.00259,2.02544,2.00259,2.01044,813227.86311198
1986-09-02,2.02544,2.03339,2.00259,2.01044,252235.43020509
1986-09-03,2.01044,2.02544,1.95668,1.96443,223976.17302701
1986-09-04,1.95668,1.96443,1.95668,1.96443,412365.78418666
1986-09-05,1.95668,1.96443,1.88046,1.89576,10989502.378405
1986-09-08,1.89576,1.89576,1.77333,1.78098,430158.04574017
1986-09-09,1.77333,1.81159,1.74273,1.77333,1072783.4623452
1986-09-10,1.75803,1.75803,1.73518,1.74273,446906.4619957
1986-09-11,1.73518,1.74273,1.62805,1.62805,684485.2440619
1986-09-12,1.6357,1.6357,1.49071,1.59773,2139286.5234395
1986-09-15,1.59773,1.66591,1.57488,1.60519,837298.48715592
1986-09-16,1.62805,1.62805,1.60519,1.62805,929395.40833807
1986-09-17,1.62805,1.71241,1.61294,1.71241,870790.22276612
1986-09-18,1.70437,1.75058,1.68151,1.71241,438535.31200845
1986-09-19,1.71968,1.71968,1.68151,1.71241,344338.46766828
1986-09-22,1.71241,1.91842,1.71241,1.90311,1850422.7248294
1986-09-23,1.88761,1.90311,1.81934,1.83464,319219.92080567
1986-09-24,1.84966,1.86506,1.82689,1.85741,540057.42227755
1986-09-25,1.85741,1.86506,1.77333,1.78844,985915.96145458
1986-09-26,1.78844,1.78844,1.75058,1.75058,313983.36485286
1986-09-29,1.77333,1.77333,1.70437,1.70437,902189.17087951
1986-09-30,1.70437,1.71241,1.68151,1.68916,1592956.8549525
1986-10-01,1.68151,1.70437,1.68151,1.68151,126644.7346524
1986-10-02,1.68916,1.68916,1.651,1.651,584013.09537182
1986-10-03,1.67445,1.67445,1.64335,1.64335,2053463.8872271
1986-10-06,1.66591,1.68151,1.64335,1.68151,1430726.577813
1986-10-07,1.66591,1.68151,1.60519,1.6357,2140334.4462581
1986-10-08,1.62805,1.6357,1.58988,1.59773,1155471.5045231
1986-10-09,1.59773,1.62805,1.58988,1.62805,1202562.791032
1986-10-10,1.61294,1.67445,1.60519,1.651,319219.92080567
1986-10-13,1.651,1.67445,1.651,1.651,180019.48055258
1986-10-14,1.67445,1.68151,1.651,1.66591,8873235.4980499
1986-10-15,1.66591,1.66591,1.62805,1.6357,8889989.0112063
1986-10-16,1.651,1.75058,1.6357,1.74273,5065638.5178303
1986-10-17,1.75058,1.79638,1.75058,1.78098,2202087.4778067
1986-10-20,1.75803,1.78098,1.71968,1.73518,639487.76443002
1986-10-21,1.71968,1.73518,1.68916,1.71968,998474.7251958
1986-10-22,1.71241,1.71241,1.68151,1.68916,1592956.8549525
1986-10-23,1.70437,1.71968,1.68916,1.71968,1175354.5148131
1986-10-24,1.71968,1.78844,1.71968,1.78844,1759366.5908047
1986-10-27,1.78098,1.79638,1.78098,1.79638,719025.92187094
1986-10-28,1.78098,1.83464,1.78098,1.83464,514933.77851407
1986-10-29,1.84966,1.88046,1.82689,1.86506,1291529.1957004
1986-10-30,1.88761,1.94138,1.88046,1.93402,5537662.5073085
1986-10-31,1.92617,1.97208,1.92617,1.97208,616456.90816335
1986-11-03,1.97208,2.0485,1.97208,2.03339,1647378.5042912
1986-11-04,2.04066,2.07921,2.03339,2.07146,2451181.1783163
1986-11-05,2.07146,2.07146,2.04066,2.07146,392484.81265704
