Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,9.81886,9.9863,9.69942,9.95793,7634281.1252593
2005-02-28,9.72488,10.1752,9.64655,10.1145,9260843.2759394
2005-03-01,10.1243,10.188,10.0636,10.1429,6687877.2446451
2005-03-02,10.0842,10.4151,9.95793,10.3602,7175619.8537433
2005-03-03,10.327,10.4513,10.1645,10.3436,4901457.6205767
2005-03-04,10.464,10.6931,10.4209,10.6697,8380432.1327931
2005-03-07,10.6628,10.7872,10.4866,10.5962,7563932.1112816
2005-03-08,10.8293,11.0025,10.7225,10.7744,9845404.5134941
2005-03-09,10.7744,10.8655,10.5962,10.8018,5661717.2441551
2005-03-10,10.7744,10.794,10.5767,10.7372,4662372.0917807
2005-03-11,10.6364,10.7225,10.2575,10.3965,6404213.6778666
2005-03-14,10.4093,10.6364,10.3534,10.5962,3462259.2800748
2005-03-15,10.6824,10.6931,10.3848,10.4455,3608356.4352589
2005-03-16,10.3534,10.7441,10.327,10.6971,7637762.060862
2005-03-17,10.7284,10.9056,10.7117,10.8067,6048637.3317327
2005-03-18,10.7617,11.1181,10.6198,11.1005,6563017.0651216
2005-03-21,11.1121,11.214,10.8547,11.1582,5149947.191067
2005-03-22,11.1357,11.1974,10.9232,10.9545,2942475.3124507
2005-03-23,10.931,11.1121,10.9164,10.9497,2974169.3945374
2005-03-24,11.1406,11.3658,11.072,11.1582,7925952.478166
2005-03-28,11.1406,11.1924,10.7313,10.7313,6200830.2098266
2005-03-29,10.749,10.8018,10.327,10.4004,9250919.3409876
2005-03-30,10.5208,10.7284,10.4914,10.6462,6695366.1589171
2005-03-31,11.0838,11.1582,10.8586,11.0025,7326070.2212332
2005-04-01,11.0612,11.1357,10.8293,10.9164,4113340.2981638
2005-04-04,10.9497,10.9497,10.6931,10.7812,3897766.4057054
2005-04-05,10.8185,10.8469,10.5767,10.6256,6200479.8691836
2005-04-06,10.6364,10.8293,10.5659,10.5962,3752536.4202181
2005-04-07,10.5962,10.8224,10.5698,10.8018,4689886.5997812
2005-04-08,10.8293,10.8586,10.7039,10.7744,2587598.6262017
2005-04-11,10.796,10.796,10.4914,10.6364,2976080.4363545
2005-04-12,10.61,10.794,10.4758,10.6893,3554899.3558463
2005-04-13,10.6364,10.6462,10.3906,10.4209,4600558.9283992
2005-04-14,10.2771,10.2771,9.75914,9.7797,8941485.8196152
2005-04-15,9.56529,9.67495,9.24162,9.32543,11072161.5993
2005-04-18,9.42333,9.48207,9.25425,9.43507,6911460.9660343
2005-04-19,9.81886,9.83845,9.62599,9.75914,12112947.044888
2005-04-20,10.188,10.327,10.0157,10.1194,19198545.695772
2005-04-21,10.2575,10.6628,10.2096,10.6314,8460534.5077068
2005-04-22,10.3534,10.4093,10.0724,10.2711,11092882.767308
2005-04-25,10.3388,10.4699,10.3143,10.4425,9595175.4966037
2005-04-26,10.4209,10.5659,10.3602,10.511,7565326.324045
2005-04-27,10.4699,10.5208,10.2751,10.327,5225864.8848879
2005-04-28,10.2222,10.327,9.85998,9.90107,6030876.1846683
2005-04-29,9.9863,10.0724,9.73271,9.89425,5144196.7017938
2005-05-02,9.89425,10.0362,9.82669,9.94517,3046431.4931348
2005-05-03,9.97157,10.1067,9.8776,9.91679,4924096.980211
2005-05-04,9.91679,10.0157,9.77481,9.86586,7847419.9970378
2005-05-05,9.8776,9.91679,9.59564,9.68278,6870883.7569122
2005-05-06,9.80712,10.2164,9.76893,10.2096,6860612.5455211
2005-05-09,10.1752,10.2575,10.1302,10.1988,3143077.5047729
2005-05-10,10.1752,10.1938,9.9422,10.0676,2332318.7799231
2005-05-11,10.0676,10.1586,9.94517,10.095,2043608.4693615
2005-05-12,10.0636,10.2771,9.92263,9.97552,3338977.1655473
