Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,24.3736,24.6458,24.2694,24.6359,710968.68407343
2005-02-28,24.6359,24.6548,24.0826,24.2226,1193200.0793234
2005-03-01,24.1094,24.334,24.0448,24.1889,1247567.4200061
2005-03-02,24.2068,24.5147,24.0448,24.3836,659477.72516753
2005-03-03,24.4184,24.7054,24.3438,24.5326,858603.48412742
2005-03-04,24.7779,24.8872,24.5574,24.6637,867000.0623629
2005-03-07,24.6637,25.0679,24.626,24.758,659920.71011041
2005-03-08,24.2068,24.5405,23.9366,23.9714,1944393.8097782
2005-03-09,24.1184,24.2792,23.0775,24.0062,1373985.2548641
2005-03-10,24.026,24.171,23.9535,23.9794,840259.88035639
2005-03-11,23.9794,24.163,23.4757,23.5929,1333098.7514205
2005-03-14,23.7022,24.0448,23.6923,23.8383,1625268.4637122
2005-03-15,23.883,23.883,23.5929,23.6108,853074.22661312
2005-03-16,23.5651,23.7439,23.5483,23.6188,1165355.4553116
2005-03-17,23.6357,23.6357,23.3645,23.4201,846227.08889376
2005-03-18,23.4201,23.4857,23.2135,23.3933,1123803.4676696
2005-03-21,23.3188,23.4201,22.7567,22.9851,1530233.0917053
2005-03-22,22.9057,23.2046,22.9057,22.9503,1527583.2363197
2005-03-23,23.0675,23.0675,22.7467,22.7467,1561175.5899654
2005-03-24,22.7865,23.1589,22.1716,22.8787,1429017.0729613
2005-03-28,22.9413,23.3933,22.9413,23.2671,855732.1362704
2005-03-29,23.1857,23.5026,23.141,23.2592,809319.39566423
2005-03-30,23.2135,23.874,23.2135,23.8025,1217510.8916318
2005-03-31,23.8025,23.9794,23.6188,23.9188,917390.60639932
2005-04-01,23.9794,24.5147,23.9794,24.0638,1674773.0378629
2005-04-04,23.9962,24.0727,23.7826,23.9794,832305.28027983
2005-04-05,24.0727,24.3736,24.0727,24.1889,771304.24007749
2005-04-06,24.2982,24.2982,23.9366,23.9962,1846492.123834
2005-04-07,24.026,24.6637,23.9624,24.6458,1094633.9159649
2005-04-08,25.8367,26.9264,25.8367,26.2251,5452623.132747
2005-04-11,26.2161,26.3274,25.9728,26.1446,2759241.4561727
2005-04-12,26.1357,27.2124,25.9817,27.111,2532712.044576
2005-04-13,26.9264,26.9432,25.8367,26.2251,3043009.5563093
2005-04-14,26.2251,26.3363,25.6907,25.7921,1690682.238016
2005-04-15,25.7364,25.7364,25.1057,25.1345,2014234.4131589
2005-04-18,25.2735,25.9907,25.0779,25.8199,2113907.0320906
2005-04-19,25.8367,26.4486,25.7921,26.3463,2124737.00716
2005-04-20,26.3463,26.3463,25.4663,25.6103,2766534.5991869
2005-04-21,25.6729,25.8735,25.3639,25.6013,2767418.5555047
2005-04-22,25.6539,25.7563,25.2309,25.3203,2272809.7582371
2005-04-25,25.5029,25.7265,25.2309,25.6341,1485371.8051831
2005-04-26,25.1613,25.4761,24.6806,24.6806,2388617.0969292
2005-04-27,24.5574,24.7481,24.4024,24.5147,2298224.0057668
2005-04-28,24.5147,24.5147,23.883,23.9794,1978211.6830312
2005-04-29,24.1005,24.1889,23.4489,23.8552,1728474.8943474
2005-05-02,24.0906,24.3638,24.0727,24.2226,955180.24237878
2005-05-03,24.3836,24.6637,24.2416,24.2416,1272986.7014557
2005-05-04,24.6637,25.2109,24.3438,25.1772,2557905.8064182
2005-05-05,25.2309,25.3828,24.9577,25.2735,1344589.1767683
2005-05-06,25.4761,25.6639,25.2388,25.2567,922029.86689202
2005-05-09,25.2567,25.3371,25.1146,25.1772,1168448.2956401
2005-05-10,25.0967,25.1613,24.7382,24.8345,1049108.1520286
2005-05-11,24.8693,24.9915,24.7481,24.8425,889983.93341058
2005-05-12,24.7978,24.9219,24.2326,24.2694,1106569.3398237
