Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,4.20658,4.31432,4.20658,4.24497,125942.37689197
1985-07-02,4.24497,4.35291,4.24497,4.27556,150821.69550782
1985-07-03,4.27556,4.38389,4.27556,4.38389,194737.9678911
1985-07-05,4.38389,4.40678,4.35291,4.38389,140322.47730074
1985-07-08,4.38389,4.38389,4.32981,4.38389,134885.54711764
1985-07-09,4.38389,4.38389,4.31432,4.31432,48588.521995029
1985-07-10,4.31432,4.35291,4.27556,4.27556,188520.96088354
1985-07-11,4.27556,4.32981,4.20658,4.20658,191633.05684638
1985-07-12,4.20658,4.24497,4.1677,4.24497,127885.384035
1985-07-15,4.24497,4.26036,4.02107,4.26036,68024.751926539
1985-07-16,4.27556,4.38389,4.27556,4.35291,136825.47501004
1985-07-17,4.35291,4.49963,4.35291,4.42257,633590.71382777
1985-07-18,4.42257,4.51484,4.40678,4.47635,240613.67008739
1985-07-19,4.47635,4.51484,4.46066,4.47635,78517.811632382
1985-07-22,4.47635,4.47635,4.40678,4.44518,43925.51013514
1985-07-23,4.44518,4.47635,4.42257,4.44518,76184.766077126
1985-07-24,4.44518,4.51484,4.42257,4.46066,205623.11884291
1985-07-25,4.46066,4.59189,4.42257,4.55351,197852.11668769
1985-07-26,4.53041,4.53041,4.40678,4.44518,94845.024851675
1985-07-29,4.44518,4.44518,4.31432,4.32981,70353.691814298
1985-07-30,4.32981,4.38389,4.24497,4.24497,239441.50201695
1985-07-31,4.22128,4.22128,4.1677,4.20658,342064.71394197
1985-08-01,4.20658,4.38389,4.20658,4.38389,207179.16682434
1985-08-02,4.38389,4.38389,4.31432,4.38389,32260.282358861
1985-08-05,4.38389,4.42257,4.35291,4.42257,165587.72866133
1985-08-06,4.42257,4.42257,4.31432,4.31432,78126.746803279
1985-08-07,4.31432,4.38389,4.31432,4.35291,89795.05383018
1985-08-08,4.35291,4.36801,4.32981,4.32981,45480.531699686
1985-08-09,4.32981,4.42257,4.32981,4.40678,83184.929159768
1985-08-12,4.38389,4.38389,4.32981,4.35291,28376.320906557
1985-08-13,4.35291,4.38389,4.32981,4.36801,42758.474149075
1985-08-14,4.36801,4.42257,4.35291,4.38389,68800.723083501
