Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,6.44741,6.54405,6.38583,6.50005,2007845.7932866
2005-02-28,6.44741,6.66692,6.3597,6.37709,2989686.8172399
2005-03-01,6.39476,6.60574,6.39476,6.55299,3092367.3216168
2005-03-02,6.50005,6.51773,6.36835,6.38583,1832622.3459323
2005-03-03,6.38583,6.42983,6.20118,6.20118,5329247.3817682
2005-03-04,6.27189,6.3597,6.08715,6.25402,11645105.87111
2005-03-07,6.28034,6.4033,6.24558,6.29831,3507821.7507922
2005-03-08,6.29831,6.53531,6.1838,6.22741,3707632.7647083
2005-03-09,6.20118,6.28034,6.0785,6.08715,3078360.4826921
2005-03-10,6.11327,6.28909,6.08715,6.23674,2468897.5383305
2005-03-11,6.28034,6.28909,6.03451,6.09599,1669810.279438
2005-03-14,6.09599,6.17505,6.0785,6.13125,1269540.7013
2005-03-15,6.15747,6.19294,5.86784,5.91165,2192783.5133879
2005-03-16,5.90299,6.01692,5.84122,5.88531,2683117.5647103
2005-03-17,5.8589,5.97293,5.76215,5.79731,2669164.6883111
2005-03-18,5.76215,5.77148,5.4899,5.56896,6577411.7958526
2005-03-21,5.53381,5.63035,5.51631,5.54264,2228044.4602251
2005-03-22,5.56896,5.71836,5.52507,5.56012,3061978.2744855
2005-03-23,5.53381,5.67455,5.50748,5.51631,2223472.9179723
2005-03-24,5.69193,5.70106,5.53381,5.56012,2616342.5029939
2005-03-28,5.61286,5.66542,5.53381,5.53381,2049281.885728
2005-03-29,5.56012,5.58654,5.33167,5.33167,1996368.0659335
2005-03-30,5.3848,5.53381,5.35829,5.51631,1460983.4511235
2005-03-31,5.54264,5.62161,5.46338,5.5779,2660572.4288298
2005-04-01,5.63918,5.68309,5.4459,5.4899,2631078.3450928
2005-04-04,5.46338,5.53381,5.35829,5.49854,2001717.4830818
2005-04-05,5.51631,5.59529,5.35829,5.3848,1657532.2776504
2005-04-06,5.36693,5.48126,5.2969,5.31439,1373730.1200684
2005-04-07,5.2969,5.34062,5.22638,5.23542,2153425.4872579
2005-04-08,5.22638,5.27893,5.1649,5.18238,2899498.1284309
2005-04-11,5.17364,5.22638,4.99813,5.05057,3589017.0247417
2005-04-12,5.17364,5.19132,5.02426,5.12983,6560454.3267613
2005-04-13,5.12983,5.12983,4.96297,4.99813,2543653.9630135
2005-04-14,4.97181,5.0331,4.78716,4.81367,3520273.8580866
2005-04-15,4.68197,4.71703,4.51501,4.59416,4659410.553005
2005-04-18,4.57629,4.62912,4.43603,4.58513,3086779.6548274
2005-04-19,4.74366,4.82241,4.65555,4.68197,3737499.4953194
2005-04-20,4.74366,4.74366,4.53268,4.56774,3529556.4306297
2005-04-21,4.72577,5.12983,4.72577,5.00706,7306226.6104812
2005-04-22,4.99813,4.99813,4.83117,4.85758,2147705.4595571
2005-04-25,4.86622,4.93684,4.83117,4.85758,2162773.222096
2005-04-26,4.83117,4.92741,4.71703,4.76968,4697953.0322877
2005-04-27,4.7082,4.76968,4.54142,4.63778,6164576.0764041
2005-04-28,4.83117,4.99813,4.54142,4.54977,7835787.3451829
2005-04-29,4.65555,4.66409,4.40942,4.58513,2974704.5802132
2005-05-02,4.61115,4.62049,4.41826,4.49741,2316134.7195056
2005-05-03,4.49741,4.54142,4.41826,4.45333,2141992.5589825
2005-05-04,4.47974,4.58513,4.44458,4.58513,1960435.13293
2005-05-05,4.59416,4.66409,4.51501,4.53268,1717990.6694034
2005-05-06,4.57629,4.60271,4.48848,4.54142,1096820.9114957
2005-05-09,4.55891,4.61115,4.49741,4.61115,1626484.480444
2005-05-10,4.57629,4.61115,4.53268,4.56774,2175943.1327952
2005-05-11,4.64692,4.71703,4.52355,4.66409,1736328.7646183
2005-05-12,4.67303,4.71703,4.63778,4.66409,1964196.2191398
2005-05-13,4.68197,4.97181,4.67303,4.82241,2782992.0177621
2005-05-16,4.83117,4.94528,4.77833,4.90139,3432394.3581037
2005-05-17,4.91022,4.96297,4.83971,4.96297,2412103.5075058
