Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-07-31,19.6784,20.5348,19.3401,19.6784,66009671.637703
2014-08-01,19.5946,19.6784,19.3972,19.6784,7547953.7525008
2014-08-04,19.7653,19.7919,19.5946,19.6784,4038822.0886678
2014-08-05,19.6706,19.6884,19.3972,19.6784,5200862.8155515
2014-08-06,19.5078,19.6617,19.3972,19.6617,8173204.1765791
2014-08-07,19.5867,19.6784,19.5078,19.6203,3728624.8220502
2014-08-08,19.6203,19.7052,19.5078,19.638,3336694.3278201
2014-08-11,19.5946,19.6203,19.5078,19.6203,2065744.209437
2014-08-12,19.5867,19.6784,19.5344,19.6784,1811132.7540317
2014-08-13,19.6784,19.8738,19.5779,19.8343,1939449.4921949
2014-08-14,19.8511,19.8659,19.638,19.6884,1626675.7959126
2014-08-15,19.6962,19.7475,19.6784,19.6784,2276900.9656117
2014-08-18,19.7308,19.8265,19.6962,19.8265,1254796.2489904
2014-08-19,19.8511,20.9127,19.8511,20.8861,3333210.7759878
2014-08-20,20.7944,21.8954,20.7598,21.555,4147407.1459842
2014-08-21,21.7938,21.8362,21.3232,21.7247,2755833.0908366
2014-08-22,21.6044,21.7583,21.4761,21.7001,1042648.2464695
2014-08-25,21.7089,21.7337,21.2877,21.4939,1385428.9359276
2014-08-26,21.3913,21.4761,21.341,21.4317,1111485.1361381
2014-08-27,21.3913,21.853,21.3478,21.7938,1438189.9991164
2014-08-28,21.7337,22.1096,21.6567,21.9823,1147944.3524634
2014-08-29,22.0839,22.1954,21.7751,22.0671,1146712.896113
2014-09-02,21.9911,22.1618,21.8362,22.0671,2189207.0838456
2014-09-03,22.2378,22.2467,21.93,22.0671,1164639.4545235
2014-09-04,21.8451,22.0325,21.8284,21.9911,1305978.2101266
2014-09-05,21.9911,22.2625,21.9221,22.0503,1273752.5684313
2014-09-08,22.0928,22.2279,21.0666,21.2551,2962607.2813661
2014-09-09,21.6468,21.9034,21.1338,21.4248,4217586.9818785
2014-09-10,21.555,21.6567,21.1259,21.1338,2307746.1599413
2014-09-11,21.1762,21.409,21.0756,21.0933,2371397.7568623
2014-09-12,20.9897,21.1762,20.9127,20.9641,1293545.0619373
2014-09-15,20.8338,20.8585,20.4658,20.6651,1315525.7976331
