Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-07-23,1.33956,1.35379,1.31773,1.35379,508793.86866544
1987-07-24,1.35379,1.36139,1.33225,1.34667,186628.34623233
1987-07-27,1.33956,1.3682,1.33956,1.33956,222182.00184593
1987-07-28,1.35379,1.36139,1.33956,1.35379,368823.62133902
1987-07-29,1.36139,1.41868,1.33956,1.41868,795406.74783279
1987-07-30,1.41868,1.41868,1.40446,1.41147,544341.4501921
1987-07-31,1.40446,1.41868,1.40446,1.41868,2010742.4599057
1987-08-03,1.41868,1.41868,1.38984,1.41147,1506384.6994093
1987-08-04,1.41868,1.41868,1.40446,1.41147,299942.46297897
1987-08-05,1.41868,1.46195,1.41868,1.45484,2041846.8468285
1987-08-06,1.46906,1.49049,1.45484,1.48338,2899459.3314633
1987-08-07,1.46906,1.46906,1.44752,1.44752,722085.43191233
1987-08-10,1.45484,1.46906,1.44031,1.46906,742084.36319498
1987-08-11,1.46906,1.49049,1.46906,1.47618,1779667.9947651
1987-08-12,1.48338,1.54097,1.47618,1.50522,1359750.166351
1987-08-13,1.52645,1.54839,1.51953,1.54839,833177.44518312
1987-08-14,1.54097,1.54097,1.4982,1.51223,655434.47581071
1987-08-17,1.51223,1.51953,1.46195,1.47618,753192.85587858
1987-08-18,1.46906,1.46906,1.41147,1.41868,1275315.2960079
1987-08-19,1.41147,1.41868,1.39715,1.40446,717647.29904758
1987-08-20,1.41147,1.41147,1.38984,1.41147,1624145.0478033
1987-08-21,1.41868,1.43301,1.38263,1.41868,2890574.9669513
1987-08-24,1.41147,1.41147,1.38263,1.38984,1341972.3261963
1987-08-25,1.39715,1.43301,1.39715,1.41147,766524.46438585
1987-08-26,1.44031,1.44752,1.41868,1.4259,848729.1324706
1987-08-27,1.41868,1.41868,1.38263,1.38984,2210697.3529062
1987-08-28,1.40446,1.43301,1.38984,1.41868,3954824.8525793
1987-08-31,1.4259,1.44752,1.41868,1.43301,799851.96713232
1987-09-01,1.43301,1.44031,1.38263,1.38263,768746.56786171
1987-09-02,1.38263,1.40446,1.38263,1.38984,1424181.0436724
1987-09-03,1.38984,1.39715,1.38263,1.38263,1439730.7062643
1987-09-04,1.38984,1.39715,1.38263,1.38263,1890762.0327315
1987-09-08,1.38263,1.38263,1.33225,1.36139,1826325.0813231
1987-09-09,1.35379,1.38263,1.35379,1.3682,375482.8453318
1987-09-10,1.38263,1.38984,1.33956,1.34667,773188.75011776
1987-09-11,1.33956,1.40446,1.32503,1.39715,3059430.534768
1987-09-14,1.39715,1.49049,1.37551,1.49049,1224218.0518894
1987-09-15,1.46906,1.46906,1.44031,1.44752,1233104.4410971
1987-09-16,1.41868,1.43301,1.39715,1.40446,1501941.5048055
1987-09-17,1.40446,1.41147,1.38263,1.38263,735421.0898109
1987-09-18,1.43301,1.44752,1.41147,1.41147,1401961.0212617
1987-09-21,1.43301,1.45484,1.41868,1.41868,839841.73091502
1987-09-22,1.41868,1.46906,1.38984,1.46906,937602.13567853
1987-09-23,1.46906,1.46906,1.43301,1.44752,1917420.1880069
1987-09-24,1.44752,1.45484,1.39715,1.41868,468804.10488274
1987-09-25,1.41868,1.41868,1.40446,1.41147,1575260.7960303
1987-09-28,1.43301,1.43301,1.40446,1.41868,839841.73091502
1987-09-29,1.41147,1.41868,1.38263,1.38984,566562.4849506
1987-09-30,1.38263,1.41147,1.3682,1.41147,679872.55230595
1987-10-01,1.40446,1.4259,1.40446,1.41868,1193117.7143578
1987-10-02,1.41147,1.41868,1.38984,1.40446,397702.86774248
1987-10-05,1.41147,1.41868,1.36139,1.38263,833177.44518312
1987-10-06,1.3682,1.37551,1.35379,1.3682,686538.8627335
1987-10-07,1.35379,1.3682,1.31773,1.35379,1279760.5153073
1987-10-08,1.35379,1.35379,1.32503,1.33956,617661.75376474
1987-10-09,1.33956,1.3682,1.32503,1.36139,1228661.2464932
1987-10-12,1.35379,1.38263,1.34667,1.3682,284393.81273496
1987-10-13,1.37551,1.4259,1.3682,1.41868,777633.96941729
1987-10-14,1.38984,1.38984,1.3682,1.38263,1590816.532709
1987-10-15,1.36139,1.36139,1.28918,1.28918,1284204.722259
1987-10-16,1.29629,1.30331,1.21677,1.22428,1341972.3261963
1987-10-19,1.00835,1.10179,0.863537,0.907395,6892052.8566974
1987-10-20,0.857215,1.03719,0.835483,0.914409,2521752.3579601
1987-10-21,0.943549,1.10179,0.943549,1.06564,2828365.1807579
1987-10-22,0.950562,1.04411,0.950562,0.986716,2968337.4527799
1987-10-23,0.986716,1.06564,0.986716,1.05122,2006294.2035627
1987-10-26,1.00835,1.00835,0.972393,0.979505,2646173.9550425
1987-10-27,1.04411,1.04411,0.994027,1.01527,1330862.821165
1987-10-28,1.00084,1.01527,0.994027,1.00835,1195334.7560946
1987-10-29,1.01527,1.07275,1.01527,1.05882,957602.07930901
1987-10-30,1.12333,1.12333,1.07275,1.07275,2526196.5649117
1987-11-02,1.06564,1.08026,1.00084,1.05882,1244214.9584763
1987-11-03,1.02988,1.02988,0.994027,1.02988,2523980.5355228
1987-11-04,1.00835,1.02257,1.00084,1.01527,1313089.0304016
1987-11-05,1.00835,1.05122,1.00835,1.04411,2110718.8940581
1987-11-06,1.03719,1.04411,1.01527,1.01527,2479537.453658
1987-11-09,1.01527,1.01527,0.972393,1.00084,1424181.0436724
1987-11-10,0.994027,0.994027,0.943549,0.994027,1070912.1466643
1987-11-11,1.00084,1.02257,1.00084,1.00835,1030923.3952295
1987-11-12,1.02988,1.02988,1.00084,1.02257,408813.38512174
1987-11-13,1.01527,1.02988,1.01527,1.01527,1082021.6516958
1987-11-16,1.03719,1.04411,1.02257,1.02257,453249.38055179
1987-11-17,1.02257,1.02257,0.964886,0.979505,655434.47581071
1987-11-18,0.994027,0.994027,0.950562,0.964886,2304019.6248049
1987-11-19,0.979505,0.986716,0.979505,0.986716,590999.549098
1987-11-20,0.994027,1.00084,0.972393,0.994027,1968522.4938645
1987-11-23,1.00084,1.01527,0.994027,1.01527,1959636.1046568
1987-11-24,1.02988,1.04411,1.02257,1.02257,1453060.2900758
1987-11-25,1.01527,1.02988,0.994027,1.00835,1717459.2209195
1987-11-27,1.00835,1.00835,0.979505,0.986716,588781.49501346
1987-11-30,0.964886,0.964886,0.885664,0.900185,4183668.1031137
1987-12-01,0.936141,0.943549,0.922015,0.922015,4030364.2225843
1987-12-02,0.922015,0.929028,0.900185,0.914409,1213106.5221623
1987-12-03,0.900185,0.922015,0.871341,0.900185,1293097.1855538
1987-12-04,0.885664,0.900185,0.885664,0.900185,2250691.1660801
1987-12-07,0.900185,0.900185,0.885664,0.900185,1244214.9584763
1987-12-08,0.900185,0.936141,0.893171,0.936141,1039808.7720894
1987-12-09,0.943549,0.950562,0.893171,0.929028,1768557.4773858
1987-12-10,0.922015,0.922015,0.900185,0.900185,1113127.0509664
1987-12-11,0.907395,0.936141,0.907395,0.929028,2090720.9751232
1987-12-14,0.922015,0.972393,0.914409,0.936141,3050546.170256
1987-12-15,0.936141,0.943549,0.922015,0.936141,1439730.7062643
1987-12-16,0.936141,0.950562,0.922015,0.950562,3066099.8822391
1987-12-17,0.950562,0.986716,0.922015,0.936141,3441582.7275709
1987-12-18,0.950562,0.979505,0.936141,0.950562,2215146.621597
1987-12-21,0.957675,0.994027,0.950562,0.979505,2364007.3075225
1987-12-22,0.972393,1.02257,0.936141,1.01527,2837251.5699656
1987-12-23,1.00835,1.04411,0.994027,1.02988,1986296.2846278
1987-12-24,1.02257,1.02988,1.01527,1.02988,968707.53494914
1987-12-28,1.01527,1.01527,0.994027,1.00835,1777446.903637
1987-12-29,1.00835,1.00835,0.986716,0.994027,3994813.6040142
1987-12-30,0.994027,1.09468,0.986716,1.00084,2719496.2833107
1987-12-31,0.986716,1.01527,0.972393,1.01527,1555269.9635302
1988-01-04,0.994027,1.04411,0.994027,1.02988,1193117.7143578
1988-01-05,1.04411,1.05122,1.01527,1.04411,1219775.8696333
1988-01-06,1.03719,1.04411,1.01527,1.02988,1253104.3847276
1988-01-07,1.02988,1.04411,1.01527,1.04411,3248284.0215197
1988-01-08,1.04411,1.04411,1.00084,1.00084,3912607.9235816
1988-01-11,1.00084,1.01527,0.972393,1.01527,1299759.44659
1988-01-12,1.01527,1.01527,0.986716,1.00835,1162006.2410004
1988-01-13,1.00084,1.02257,0.994027,1.01527,1093129.1320316
1988-01-14,1.01527,1.02988,1.01527,1.02988,675429.35770207
1988-01-15,1.05882,1.08026,1.04411,1.08026,2188482.3922347
1988-01-18,1.08026,1.09468,1.06564,1.09468,899835.48771951
1988-01-19,1.08026,1.08026,1.05882,1.05882,3157192.9642272
1988-01-20,1.05882,1.05882,1.00835,1.01527,3021662.8744612
1988-01-21,1.02257,1.04411,1.01527,1.02988,1244214.9584763
1988-01-22,1.02988,1.03719,1.01527,1.02988,824292.06832319
1988-01-25,1.02988,1.06564,1.02257,1.05122,797627.83896081
1988-01-26,1.05122,1.06564,1.03719,1.05122,906497.74875575
1988-01-27,1.05882,1.08026,1.05122,1.05882,2335126.0364234
1988-01-28,1.06564,1.08026,1.06564,1.07275,842065.85908652
1988-01-29,1.08738,1.12333,1.08026,1.11602,1806332.2241275
1988-02-01,1.11602,1.11602,1.09468,1.09468,1337530.1439403
1988-02-02,1.10179,1.13073,1.08026,1.13073,1257544.5422879
1988-02-03,1.13073,1.13073,1.1091,1.11602,1182003.1475873
1988-02-04,1.11602,1.11602,1.08026,1.09468,1579707.0276776
1988-02-05,1.09468,1.11602,1.09468,1.1091,422142.96893336
1988-02-08,1.08738,1.09468,1.08026,1.08026,690984.08203302
1988-02-09,1.09468,1.09468,1.08026,1.09468,359933.18273998
1988-02-10,1.13073,1.15197,1.11602,1.15197,1299759.44659
1988-02-11,1.14516,1.14516,1.1091,1.11602,650991.28120684
1988-02-12,1.12333,1.15909,1.12333,1.14516,2097393.3596378
1988-02-16,1.14516,1.15909,1.13073,1.15197,337717.2097206
1988-02-17,1.13795,1.15197,1.11602,1.11602,633212.42870439
1988-02-18,1.1091,1.12333,1.10179,1.1091,268829.97727359
1988-02-19,1.12333,1.15197,1.11602,1.14516,1086464.8462997
1988-02-22,1.15197,1.22428,1.14516,1.22428,699871.4835886
1988-02-23,1.20255,1.20255,1.17361,1.18131,2315122.0434016
1988-02-24,1.18131,1.19574,1.15197,1.18803,784302.30454049
1988-02-25,1.17361,1.20986,1.13795,1.17361,1577485.9365496
1988-02-26,1.18131,1.20255,1.15909,1.16689,950932.73183799
1988-02-29,1.15909,1.16689,1.14516,1.15909,1519719.3449601
1988-03-01,1.16689,1.16689,1.11602,1.13073,844284.92551889
1988-03-02,1.15197,1.15909,1.14516,1.15197,1288650.9539064
1988-03-03,1.16689,1.17361,1.15197,1.16689,1173113.7213361
1988-03-04,1.16689,1.18803,1.12333,1.13073,1288650.9539064
1988-03-07,1.13073,1.16689,1.13073,1.15909,630996.39931549
1988-03-08,1.16689,1.18803,1.16689,1.18131,406589.25695023
1988-03-09,1.17361,1.20986,1.15909,1.15909,1213106.5221623
1988-03-10,1.15197,1.17361,1.15197,1.17361,1126454.6100823
1988-03-11,1.16689,1.18131,1.15909,1.18131,773188.75011776
1988-03-14,1.18131,1.20255,1.18131,1.18803,1937422.1563331
1988-03-15,1.18803,1.19574,1.18803,1.19574,297718.33480747
1988-03-16,1.20986,1.20986,1.19574,1.20255,2797258.7691394
1988-03-17,1.20255,1.21677,1.19574,1.21677,1193117.7143578
1988-03-18,1.24601,1.24601,1.22428,1.23861,2317347.1839209
1988-03-21,1.23861,1.23861,1.18803,1.18803,1162006.2410004
1988-03-22,1.18131,1.18803,1.17361,1.17361,2288464.900474
1988-03-23,1.17361,1.20255,1.17361,1.18803,1828551.2341903
1988-03-24,1.18131,1.18803,1.16689,1.17361,755415.97170226
1988-03-25,1.18803,1.18803,1.18131,1.18803,1281984.6434789
1988-03-28,1.17361,1.18803,1.15909,1.17361,1122012.4278263
1988-03-29,1.17361,1.17361,1.16689,1.17361,293280.20194271
1988-03-30,1.16689,1.17361,1.15909,1.15909,1404184.1370855
1988-03-31,1.15909,1.15909,1.13073,1.15909,1217549.7167661
1988-04-04,1.15909,1.15909,1.12333,1.13073,913165.07153113
1988-04-05,1.13795,1.14516,1.13073,1.14516,857615.52167834
1988-04-06,1.15197,1.20255,1.14516,1.20255,1030923.3952295
1988-04-07,1.19574,1.21677,1.19574,1.21677,635440.60626719
1988-04-08,1.22428,1.23861,1.21677,1.2314,1764118.3321732
1988-04-11,1.22428,1.27466,1.22428,1.25302,3399371.8726601
1988-04-12,1.24601,1.26765,1.23861,1.26765,1142012.3714568
