Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-03-14,9.77882,9.77882,9.77882,9.77882,
2006-03-15,11.1488,11.495,10.9174,11.2198,13177292.095146
2006-03-16,11.2198,11.3355,11.1206,11.2966,1179579.4537661
2006-03-17,11.2918,11.6943,11.2422,11.6438,521552.26205681
2006-03-20,11.7157,11.9248,11.5232,11.5942,513919.12770955
2006-03-21,11.5883,11.5883,11.1702,11.2646,499199.99287017
2006-03-22,11.1984,11.3141,11.1702,11.2471,187177.3714902
2006-03-23,11.215,11.2646,11.1702,11.2198,192993.23981865
2006-03-24,11.3141,11.6321,11.2869,11.4075,184088.94486061
2006-03-27,11.4746,11.9851,11.3803,11.5232,202987.68869855
2006-03-28,11.5115,11.5728,11.4279,11.5018,209711.67581285
2006-03-29,11.6165,11.6613,11.5232,11.5942,148832.74995921
2006-03-30,11.6165,11.847,11.6165,11.847,240604.1696855
2006-03-31,11.8694,12.0842,11.8694,11.9851,181907.60856978
2006-04-03,12.0123,12.0123,11.5446,11.5942,530274.52187883
2006-04-04,11.5883,11.5942,11.5018,11.5446,400159.50906865
2006-04-05,11.5232,11.5271,11.4678,11.4901,222070.52456668
2006-04-06,11.4075,11.4901,11.1984,11.2918,236424.56068695
2006-04-07,11.2918,11.2918,11.1265,11.2257,61240.939231467
2006-04-10,11.1984,11.3355,11.1751,11.32,79596.66300266
2006-04-11,11.3044,11.3044,11.1488,11.2198,297666.52836551
2006-04-12,11.8032,11.8032,11.2043,11.2198,1208112.6900003
2006-04-13,11.2422,11.3803,11.1751,11.3521,390163.00329455
2006-04-17,11.3521,11.5018,11.3521,11.4512,369084.98005998
2006-04-18,11.4124,11.4415,11.1654,11.2918,338737.56314826
2006-04-19,11.2918,11.6379,11.2918,11.5232,439050.23600767
2006-04-20,11.5446,12.0726,11.5115,11.9189,302392.24277209
2006-04-21,11.9637,12.1504,11.7381,11.847,730172.75550069
2006-04-24,11.847,12.056,11.777,11.8762,167915.58582734
2006-04-25,11.8635,12.1941,11.8635,12.0123,422512.80670238
2006-04-26,11.9413,12.1056,11.8694,11.9851,263503.57272726
2006-04-27,11.9899,12.0346,11.7585,11.8188,95043.938386081
2006-04-28,11.8188,11.8266,11.2315,11.5115,421967.72974145
2006-05-01,11.5115,11.7157,11.5115,11.705,274405.11194592
2006-05-02,11.7099,11.7323,11.5174,11.5232,225339.95788518
2006-05-03,11.5232,11.5271,11.4347,11.4619,200081.29720497
2006-05-04,11.4124,11.4571,11.2257,11.4415,173548.39057268
2006-05-05,11.4075,11.4678,11.2753,11.4279,190629.86839181
2006-05-08,11.4075,11.6379,11.3851,11.5728,192993.23981865
2006-05-09,11.5835,11.6379,11.4746,11.6,155194.72369568
2006-05-10,11.6613,11.6817,11.5339,11.6321,134841.75566386
2006-05-11,11.6817,12.0123,11.6379,12.0123,103764.14131391
2006-05-12,11.8266,11.8694,11.6107,11.8587,89589.054988367
2006-05-15,11.8188,11.8266,11.705,11.7711,131205.16673205
2006-05-16,11.7546,11.9851,11.7478,11.8917,153739.4710547
2006-05-17,11.847,11.847,11.7546,11.8266,178456.14011527
2006-05-18,11.7925,11.951,11.7925,11.8305,125026.25657868
2006-05-19,11.7818,11.8266,11.6613,11.8266,301119.02526712
2006-05-22,11.8032,11.8869,11.6661,11.8762,120119.53548319
2006-05-23,11.8032,11.847,11.742,11.7546,85956.579844942
2006-05-24,11.7323,11.8266,11.5883,11.777,68330.025064884
2006-05-25,11.7546,11.7818,11.5942,11.6778,91226.342765358
2006-05-26,11.6379,11.6613,11.6107,11.6379,80322.746652506
2006-05-30,11.6272,11.6778,11.5339,11.6272,124482.20806485
2006-05-31,11.6379,11.7711,11.6165,11.7264,125392.3837449
2006-06-01,11.6817,12.1056,11.6486,12.1056,72871.647441262
2006-06-02,12.056,12.337,12.0123,12.337,126299.47408366
2006-06-05,12.2875,12.3487,12.1941,12.3254,122483.93535713
2006-06-06,12.3254,12.3254,12.0891,12.129,113214.54167998
2006-06-07,12.129,12.1717,11.9413,12.0463,95770.022035928
2006-06-08,11.9967,12.0181,11.8032,12.0181,73778.737780022
2006-06-09,12.0346,12.0619,11.5446,11.5446,263503.57272726
2006-06-12,11.567,11.567,11.0545,11.1751,100495.73644251
2006-06-13,11.1206,11.1751,10.7132,10.7249,547902.10510599
2006-06-14,10.7094,10.7094,9.97037,10.3515,419422.3231786
2006-06-15,10.3943,10.5149,10.3233,10.4497,337282.31050728
2006-06-16,10.477,10.9894,10.4721,10.9174,164643.06716755
2006-06-19,11.0108,11.1265,10.1697,10.6598,190994.96711092
2006-06-20,10.7696,11.0711,10.6267,11.0166,113214.54167998
2006-06-21,10.9942,11.4512,10.9174,11.3803,89046.034921626
2006-06-22,11.4182,11.567,11.4124,11.4678,65239.541541104
2006-06-23,11.5018,12.0502,11.4619,11.8149,157556.03822833
2006-06-26,11.8266,12.1669,11.7974,12.1338,66148.688774056
2006-06-27,12.024,12.4421,12.024,12.1552,214618.39690834
2006-06-28,12.1776,12.1776,11.8363,11.8587,192812.23312973
2006-06-29,11.8587,12.1056,11.8587,12.0463,166461.36163346
2006-06-30,12.056,12.056,11.1488,11.1488,1390202.3337061
2006-07-03,11.2646,11.3569,10.8464,10.9554,315294.11159267
2006-07-05,10.9058,10.9554,10.7531,10.9291,99766.567451373
2006-07-06,10.9291,10.9398,10.6763,10.7249,151014.08625004
2006-07-07,10.686,10.8464,10.653,10.7094,132477.35578993
2006-07-10,10.7094,10.8183,10.6928,10.7813,76871.278197994
2006-07-11,10.7638,10.9291,10.7307,10.9291,93042.580337071
2006-07-12,10.9233,11.0166,10.7531,10.9612,110489.15687531
2006-07-13,10.9058,11.0604,10.8416,10.9291,95224.945074995
2006-07-14,10.8066,10.8669,10.5868,10.758,77413.269817639
2006-07-17,10.7531,10.8669,10.7473,10.7969,52519.707856539
2006-07-18,10.8017,11.0108,10.7969,11.0108,39980.880860888
2006-07-19,11.0011,11.6321,11.0011,11.6272,164282.08223682
