Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-03-11,5.23965,5.33292,5.23965,5.27692,143722.61500278
1987-03-12,5.23965,5.23965,5.18405,5.18405,52340.67736795
1987-03-13,5.18405,5.18405,5.07194,5.18405,442328.79852816
1987-03-16,5.15574,5.15574,5.07194,5.15574,213228.20065669
1987-03-17,5.15574,5.59421,5.12784,5.59421,517836.33194344
1987-03-18,5.59421,5.77109,5.59421,5.59421,933990.77777809
1987-03-19,5.64981,6.00457,5.64981,6.00457,1975672.413943
1987-03-20,6.03208,6.17208,6.03208,6.17208,829740.9290675
1987-03-23,6.17208,6.17208,6.06017,6.06017,275863.80898667
1987-03-24,5.94827,6.06017,5.94827,5.94827,429028.37792471
1987-03-25,5.94827,5.97637,5.77109,5.77109,1238173.4240538
1987-03-26,5.77109,5.85539,5.77109,5.77109,120554.75545307
1987-03-27,5.77109,5.85539,5.70592,5.70592,776541.25365846
1987-03-30,5.59421,5.59421,5.44473,5.51011,120130.27394445
1987-03-31,5.482,5.64981,5.482,5.51011,728487.53847687
1987-04-01,5.51011,5.59421,5.41703,5.59421,416585.95185996
1987-04-02,5.56601,5.56601,5.51011,5.56601,151447.57635825
1987-04-03,5.56601,5.59421,5.482,5.59421,594203.86690218
1987-04-06,5.59421,5.64981,5.56601,5.59421,358234.29520918
1987-04-07,5.59421,5.59421,5.482,5.51011,190920.34265044
1987-04-08,5.51011,5.59421,5.482,5.482,243687.50853178
1987-04-09,5.482,5.51011,5.15574,5.18405,588625.39714705
1987-04-10,5.18405,5.36082,5.12784,5.36082,1017223.2725488
1987-04-13,5.36082,5.36082,5.23965,5.23965,267712.35911781
1987-04-14,5.21155,5.21155,4.95076,5.04413,572320.49040456
1987-04-15,5.12784,5.482,5.12784,5.36082,946006.71532945
1987-04-16,5.482,5.8827,5.482,5.85539,1424800.7835036
1987-04-20,5.79909,5.79909,5.64981,5.64981,1218436.5391566
1987-04-21,5.64981,6.00457,5.59421,5.8827,446616.7642169
1987-04-22,5.8827,5.94827,5.77109,5.77109,625952.6753413
1987-04-23,5.77109,5.79909,5.70592,5.70592,118409.26735512
1987-04-24,5.70592,5.70592,5.59421,5.64981,450049.74587409
1987-04-27,5.59421,5.59421,5.44473,5.5382,285302.75241477
1987-04-28,5.5382,5.8827,5.5382,5.8267,470214.12278716
1987-04-29,5.8827,6.23706,5.8827,6.11588,651691.50799996
1987-04-30,6.11588,6.34916,6.11588,6.29316,1021517.2592518
1987-05-01,6.29316,6.70362,6.26556,6.58255,2039171.0343236
1987-05-04,6.58255,6.75932,6.49844,6.49844,690734.77527161
1987-05-05,6.63806,6.84353,6.63806,6.84353,1383185.5396207
1987-05-06,6.75932,6.75932,6.67552,6.70362,265141.38600886
1987-05-07,6.67552,6.67552,6.61025,6.61025,391276.61822184
1987-05-08,6.63806,6.75932,6.63806,6.63806,828879.92402165
1987-05-11,6.63806,6.81543,6.44243,6.44243,735353.50179125
1987-05-12,6.44243,6.44243,6.26556,6.29316,145011.11206442
1987-05-13,6.26556,6.26556,6.17208,6.20936,274578.32243219
1987-05-14,6.20936,6.29316,6.17208,6.17208,656408.97270925
1987-05-15,6.17208,6.17208,5.79909,5.79909,359523.79577319
1987-05-18,5.79909,5.9112,5.70592,5.9112,1187550.742768
1987-05-19,5.9112,6.11588,5.70592,5.77109,464206.15401147
1987-05-20,5.77109,5.97637,5.70592,5.97637,244544.49956811
1987-05-21,5.97637,6.03208,5.94827,6.00457,945147.71728836
1987-05-22,6.00457,6.11588,5.85539,5.8827,585622.91801279
1987-05-26,5.94827,6.14448,5.94827,6.14448,751227.9060108
1987-05-27,6.14448,6.41434,6.08818,6.37756,677005.85915001
1987-05-28,6.37756,6.67552,6.34916,6.63806,1544499.5514227
1987-05-29,6.73143,7.04841,6.73143,6.8808,4658805.9809016
1987-06-01,6.81543,6.81543,6.61025,6.67552,192206.83270731
1987-06-02,6.63806,6.63806,6.41434,6.41434,690303.2692463
1987-06-03,6.41434,6.61025,6.37756,6.37756,341506.91396285
1987-06-04,6.37756,6.41434,6.23706,6.23706,384406.64089792
1987-06-05,6.23706,6.26556,6.17208,6.20936,257844.92017155
1987-06-08,6.20936,6.41434,6.14448,6.41434,539715.69443152
1987-06-09,6.52635,6.70362,6.52635,6.55414,798849.1116647
1987-06-10,6.55414,6.61025,6.52635,6.52635,238540.54480196
1987-06-11,6.52635,6.61025,6.47014,6.55414,410145.47355659
1987-06-12,6.55414,6.58255,6.41434,6.52635,212368.19911322
1987-06-15,6.52635,6.55414,6.34916,6.37756,44188.223996708
1987-06-16,6.34916,6.34916,6.20936,6.29316,452623.72949019
1987-06-17,6.26556,6.34916,6.20936,6.29316,190059.33760459
1987-06-18,6.26556,6.26556,6.00457,6.08818,354804.32405914
1987-06-19,6.06017,6.14448,6.06017,6.11588,152305.57089696
1987-06-22,6.06017,6.14448,6.00457,6.06017,595060.85793851
1987-06-23,6.11588,6.11588,6.03208,6.06017,202073.26815118
1987-06-24,5.94827,6.17208,5.8827,6.11588,395990.06892159
1987-06-25,6.11588,6.23706,6.03208,6.20936,469356.12824846
1987-06-26,6.17208,6.20936,6.08818,6.17208,277151.30254592
1987-06-29,6.17208,6.17208,6.11588,6.17208,256558.4301147
1987-06-30,6.17208,6.23706,6.11588,6.11588,565889.04362265
1987-07-01,6.17208,6.20936,6.06017,6.06017,409292.4965298
1987-07-02,6.06017,6.11588,6.03208,6.11588,372397.72786326
1987-07-06,6.11588,6.11588,5.8267,5.8827,985905.97013503
1987-07-07,5.8827,6.11588,5.8827,6.03208,1114614.1824617
1987-07-08,5.94827,6.06017,5.85539,6.00457,351801.84492488
1987-07-09,5.97637,6.23706,5.97637,6.17208,98244.890442061
1987-07-10,6.14448,6.23706,6.14448,6.20936,103823.3601972
1987-07-13,6.17208,6.34916,6.17208,6.34916,456052.69713785
1987-07-14,6.52635,6.63806,6.49844,6.61025,1040820.6311191
1987-07-15,6.63806,6.63806,6.55414,6.55414,130426.20840887
1987-07-16,6.63806,6.63806,6.55414,6.55414,477077.07559439
1987-07-17,6.58255,6.63806,6.58255,6.58255,519982.82354377
1987-07-20,6.55414,6.55414,6.37756,6.44243,234247.5616013
1987-07-21,6.37756,6.47014,6.37756,6.47014,122703.25405817
1987-07-22,6.47014,6.47014,6.41434,6.41434,135574.17564108
1987-07-23,6.49844,6.49844,6.29316,6.34916,173758.44487165
1987-07-24,6.41434,6.41434,6.17208,6.29316,226526.61425537
1987-07-27,6.34916,6.34916,6.11588,6.14448,121414.75699655
1987-07-28,6.20936,6.34916,6.11588,6.34916,1022802.7458064
1987-07-29,6.34916,6.47014,6.34916,6.47014,122703.25405817
1987-07-30,6.47014,6.70362,6.47014,6.70362,144153.11752571
1987-07-31,6.67552,6.70362,6.63806,6.67552,83661.993791288
1987-08-03,6.63806,6.63806,6.58255,6.58255,236394.05320163
1987-08-04,6.61025,6.61025,6.23706,6.44243,1184113.7471013
