Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,43.7548,44.2578,43.4004,44.1682,317666.81389104
2005-02-28,44.1682,44.5844,43.9471,44.5326,225611.21883289
2005-03-01,44.4082,44.9897,44.4082,44.7955,162394.16724916
2005-03-02,44.8802,45.2218,44.5675,45.0236,227647.66042786
2005-03-03,44.9808,45.6968,44.8702,45.4976,215433.02750808
2005-03-04,45.4886,46.354,45.2129,46.3461,191457.64312856
2005-03-07,46.2476,46.5103,46.2476,46.4069,196551.75960357
2005-03-08,46.1838,46.1838,45.8023,45.894,124512.1361
2005-03-09,45.6719,45.8562,45.3123,45.5415,80516.763515806
2005-03-10,45.0972,45.8213,44.8802,45.4509,113428.19018019
2005-03-11,45.5853,45.9457,45.4608,45.6719,124963.00507245
2005-03-14,45.7944,46.5103,45.7426,46.5103,194170.89026348
2005-03-15,46.4696,46.7314,46.0882,46.1399,188630.92562863
2005-03-16,46.1399,46.2933,45.7327,45.884,130166.57526239
2005-03-17,45.7595,45.9806,45.6968,45.894,143395.41232956
2005-03-18,45.894,46.1579,45.7595,45.9806,157982.88128924
2005-03-21,45.894,46.2476,45.8023,46.0513,136268.87090965
2005-03-22,45.866,46.2476,45.5415,45.654,120664.18531501
2005-03-23,45.5415,45.6101,45.2945,45.4339,94881.308395564
2005-03-24,45.4339,45.9279,45.3283,45.4509,83682.887948234
2005-03-28,45.3622,45.6898,45.0146,45.1312,162394.16724916
2005-03-29,44.6551,45.2666,43.6911,43.7548,286566.89641667
2005-03-30,43.9282,44.9628,43.9282,44.7776,118176.87474757
2005-03-31,44.7776,45.2576,44.4799,45.2576,146337.60851953
2005-04-01,45.3035,45.9009,45.3035,45.7327,334175.24575564
2005-04-04,45.6719,45.9717,45.4886,45.8302,205371.31903586
2005-04-05,45.8302,46.1259,45.645,45.7426,205708.71764331
2005-04-06,45.9199,46.2296,45.8302,46.1489,150521.95374945
2005-04-07,45.9806,46.2933,45.884,46.2476,86964.491070711
2005-04-08,46.0692,46.1579,45.5573,45.7426,119760.43904505
2005-04-11,45.7327,45.866,45.4419,45.7675,102003.83316537
2005-04-12,45.7426,46.628,45.3453,46.5103,106076.71635533
2005-04-13,46.5193,46.5193,45.8023,45.9457,201751.31314342
2005-04-14,45.9806,46.1071,45.7944,45.884,264742.42815965
2005-04-15,45.8472,46.1259,45.1312,45.2756,321284.81145844
2005-04-18,45.2039,45.2039,44.3912,44.7338,262366.57963217
2005-04-19,44.7248,45.1859,44.5675,45.1412,145433.86224957
2005-04-20,45.0515,45.8023,44.92,45.8023,322187.55356588
2005-04-21,46.4257,46.856,45.8472,46.837,325015.27522833
2005-04-22,46.846,47.1656,46.3461,46.6527,255922.86872736
2005-04-25,46.7314,47.559,46.4347,47.559,422048.50390893
2005-04-26,47.335,47.4773,46.864,47.1478,295270.97715891
2005-04-27,47.1478,47.2105,46.583,47.1656,196321.80638599
2005-04-28,47.2005,47.2005,46.2296,46.6457,193151.66530348
2005-04-29,46.6897,47.2812,46.3989,47.2812,211135.21191317
2005-05-02,47.1736,47.3708,46.7763,47.3618,229795.56406281
2005-05-03,47.344,47.8717,47.2812,47.6287,270282.3927945
2005-05-04,47.6287,47.9265,47.6287,47.6627,433922.72573368
2005-05-05,47.6627,47.8358,47.4415,47.7054,294940.6076891
2005-05-06,47.7502,48.0441,47.5949,47.9534,241218.9169151
2005-05-09,47.8358,48.0778,47.5312,48.0251,120779.66400506
2005-05-10,47.9265,48.0688,47.4853,47.818,168837.87815397
2005-05-11,47.8448,48.3248,47.2891,48.2093,156176.39291184
