Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,1.43683,1.4444,1.42984,1.4444,2470121.7386599
1983-04-07,1.45866,1.50224,1.45866,1.49545,4209457.1504325
1983-04-08,1.49545,1.50224,1.49545,1.49545,3204217.5974315
1983-04-11,1.49545,1.51689,1.48798,1.50941,1478104.0451429
1983-04-12,1.50941,1.53134,1.50941,1.53134,2691667.1917722
1983-04-13,1.5459,1.57492,1.5459,1.57492,2645379.4992921
1983-04-14,1.56764,1.57492,1.56066,1.56764,3994516.5265427
1983-04-15,1.5459,1.5459,1.52417,1.52417,2909914.2972862
1983-04-18,1.52417,1.52417,1.51689,1.51689,1633523.9327827
1983-04-19,1.50224,1.50941,1.48069,1.50224,1931127.6140326
1983-04-20,1.51689,1.55318,1.51689,1.5459,2589163.2111599
1983-04-21,1.5459,1.5459,1.49545,1.50941,615050.31925846
1983-04-22,1.50224,1.51689,1.4444,1.48798,2086539.3676463
1983-04-25,1.48069,1.50224,1.45866,1.46613,2774339.3999116
1983-04-26,1.46613,1.48069,1.4444,1.48069,1921203.0853936
1983-04-27,1.46613,1.48069,1.45167,1.45167,1772400.2280153
1983-04-28,1.45167,1.45167,1.4444,1.45167,15339890.750607
1983-04-29,1.45167,1.45866,1.4444,1.45866,5548683.8835897
1983-05-02,1.46613,1.47342,1.45866,1.46613,3359629.3510451
1983-05-03,1.45866,1.46613,1.45167,1.45866,2046858.5378953
1983-05-04,1.4444,1.45866,1.42984,1.43683,7688128.9907309
1983-05-05,1.4444,1.46613,1.42257,1.46613,7926211.9357308
1983-05-06,1.46613,1.53134,1.46613,1.52417,6090983.4730881
1983-05-09,1.50941,1.52417,1.49545,1.50224,2122914.7325264
1983-05-10,1.50224,1.52417,1.50224,1.51689,2820633.1929113
1983-05-11,1.52417,1.52417,1.49545,1.50224,2995892.9870501
1983-05-12,1.50224,1.51689,1.48798,1.50224,2737968.1020447
1983-05-13,1.50224,1.5459,1.50224,1.53873,7155747.8293521
1983-05-16,1.51689,1.56066,1.51689,1.55318,3465442.8635414
1983-05-17,1.57492,1.5821,1.56066,1.57492,2142755.6557785
1983-05-18,1.60374,1.61121,1.58948,1.58948,4966697.3638206
1983-05-19,1.58948,1.58948,1.56764,1.56764,6725874.7155986
1983-05-20,1.56764,1.56764,1.5459,1.56066,4758372.7534392
1983-05-23,1.56066,1.56066,1.53134,1.55318,1038311.4865166
1983-05-24,1.55318,1.56066,1.53134,1.53873,2976049.0135381
1983-05-25,1.53873,1.55318,1.53134,1.5459,6401812.0640817
1983-05-26,1.55318,1.55318,1.53873,1.53873,2334545.8245321
1983-05-27,1.53873,1.53873,1.50941,1.50941,1679813.6587694
1983-05-31,1.50941,1.50941,1.48798,1.48798,1633523.9327827
1983-06-01,1.49545,1.49545,1.46613,1.46613,3313338.6083053
1983-06-02,1.47342,1.50941,1.47342,1.50941,3114930.3925369
1983-06-03,1.51689,1.53873,1.51689,1.53873,1375597.0142709
1983-06-06,1.53873,1.53873,1.51689,1.53134,992010.57624416
1983-06-07,1.53134,1.53134,1.49545,1.50224,2013798.8054189
1983-06-08,1.50224,1.53134,1.49545,1.52417,2688365.7939142
1983-06-09,1.53134,1.55318,1.53134,1.55318,2876846.4307837
1983-06-10,1.55318,1.59685,1.55318,1.58948,3048796.6930383
1983-06-13,1.60374,1.61858,1.59685,1.61858,1276395.4482698
1983-06-14,1.62586,1.66244,1.62586,1.65467,4655860.6388008
1983-06-15,1.66244,1.68389,1.64041,1.68389,4050734.8481815
1983-06-16,1.69096,1.73464,1.69096,1.72038,8580948.1685066
1983-06-17,1.72038,1.72038,1.70582,1.71281,1415277.8440219
1983-06-20,1.72038,1.73464,1.71281,1.72038,1378903.4958952
1983-06-21,1.72745,1.73464,1.69835,1.72745,3987907.6303072
1983-06-22,1.72745,1.7492,1.71281,1.72745,5059288.0000797
1983-06-23,1.72745,1.72745,1.70582,1.70582,1203648.7855227
1983-06-24,1.67622,1.67622,1.65467,1.66913,3204217.5974315
1983-06-27,1.66913,1.67622,1.66244,1.66244,2377532.1191541
1983-06-28,1.66244,1.67622,1.61858,1.62586,1874913.3594069
1983-06-29,1.61121,1.63314,1.60374,1.62586,3478670.8235451
1983-06-30,1.63314,1.63314,1.60374,1.61121,5244460.1218182
1983-07-01,1.61121,1.61121,1.57492,1.58948,4126791.0428127
1983-07-05,1.58948,1.58948,1.53134,1.53873,2542869.4181603
1983-07-06,1.55318,1.5821,1.55318,1.57492,4288816.7764281
1983-07-07,1.5821,1.59685,1.57492,1.58948,2992582.4384126
1983-07-08,1.60374,1.61858,1.60374,1.61121,1425198.305648
1983-07-11,1.62586,1.6476,1.62586,1.6476,1352445.5423814
1983-07-12,1.65467,1.65467,1.61121,1.61121,1927822.1491617
1983-07-13,1.60374,1.60374,1.57492,1.57492,3187682.1390503
1983-07-14,1.57492,1.60374,1.57492,1.57492,5089046.3346981
1983-07-15,1.57492,1.5821,1.56066,1.57492,1468185.6170234
1983-07-18,1.5821,1.58948,1.56764,1.56764,1276395.4482698
1983-07-19,1.57492,1.58948,1.56764,1.5821,1352445.5423814
1983-07-20,1.61121,1.6476,1.61121,1.6476,1616987.4576483
1983-07-21,1.65467,1.68389,1.65467,1.66913,3088477.5227894
1983-07-22,1.65467,1.66244,1.64041,1.65467,1808778.6431551
1983-07-25,1.6476,1.67622,1.64041,1.67622,1116017.8717001
1983-07-26,1.66913,1.71281,1.65467,1.71281,1984035.387034
1983-07-27,1.71281,1.71281,1.63314,1.6476,1180495.2801268
1983-07-28,1.58948,1.6476,1.58948,1.61121,1382212.011026
1983-07-29,1.56066,1.5821,1.50941,1.57492,2521376.2708492
1983-08-01,1.57492,1.58948,1.53134,1.53873,1231752.8625758
1983-08-02,1.52417,1.52417,1.49545,1.50941,2397376.0926661
1983-08-03,1.50941,1.50941,1.48069,1.48798,1712885.5922849
1983-08-04,1.48798,1.49545,1.38618,1.43683,5158486.5158208
1983-08-05,1.4444,1.45167,1.42984,1.45167,3232319.640978
1983-08-08,1.4444,1.4444,1.40801,1.42257,739055.5812079
1983-08-09,1.42257,1.42984,1.40801,1.42984,3219093.7144809
