Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-01-05,0.183749,0.188077,0.183749,0.188077,2054953.841005
1988-01-06,0.190276,0.200846,0.190276,0.200846,2283283.8486082
1988-01-07,0.198736,0.198736,0.192396,0.194545,2855983.1351688
1988-01-08,0.194545,0.196655,0.183749,0.183749,1190311.0136074
1988-01-11,0.183749,0.183749,0.177448,0.177448,868398.46200042
1988-01-12,0.181579,0.181579,0.173149,0.175319,400518.19683107
1988-01-13,0.173149,0.175319,0.173149,0.175319,209607.61636109
1988-01-14,0.173149,0.175319,0.173149,0.173149,1572099.7196981
1988-01-15,0.175319,0.175319,0.168781,0.168781,875881.33321304
1988-01-18,0.166632,0.166632,0.166632,0.166632,879627.83988957
1988-01-19,0.166632,0.168781,0.166632,0.166632,175921.51112174
1988-01-20,0.166632,0.168781,0.166632,0.168781,127266.62081501
1988-01-21,0.168781,0.168781,0.166632,0.166632,2953301.0294946
1988-01-22,0.166632,0.166632,0.166632,0.166632,48655.904520769
1988-01-25,0.168781,0.17096,0.168781,0.17096,142236.42009642
1988-01-26,0.17096,0.177448,0.17096,0.177448,677504.10895513
1988-01-27,0.177448,0.177448,0.177448,0.177448,56138.775733388
1988-01-28,0.175319,0.185908,0.173149,0.185908,696213.31541477
1988-01-29,0.185908,0.188077,0.185908,0.188077,41176.075950278
1988-02-01,0.190276,0.200846,0.190276,0.196655,995673.19652778
1988-02-02,0.194545,0.196655,0.194545,0.196655,699960.83630534
1988-02-03,0.196655,0.200846,0.196655,0.200846,471632.85713012
1988-02-04,0.200846,0.209493,0.200846,0.203054,1497237.5385085
1988-02-05,0.203054,0.203054,0.200846,0.200846,26195.120314386
1988-02-08,0.192396,0.192396,0.190276,0.190276,722424.66315385
1988-02-09,0.192396,0.192396,0.192396,0.192396,149724.36237926
1988-02-10,0.192396,0.196655,0.192396,0.196655,411744.53207809
1988-02-11,0.192396,0.196655,0.192396,0.192396,1063035.264866
1988-02-12,0.190276,0.192396,0.188077,0.190276,7815588.1864319
1988-02-16,0.192396,0.192396,0.190276,0.190276,928291.85812268
1988-02-17,0.192396,0.196655,0.190276,0.192396,381802.90508717
1988-02-18,0.192396,0.192396,0.188077,0.188077,198378.23847195
1988-02-19,0.188077,0.190276,0.188077,0.190276,1313833.156174
1988-02-22,0.188077,0.192396,0.188077,0.192396,643809.89000343
1988-02-23,0.192396,0.196655,0.192396,0.196655,325647.90192909
1988-02-24,0.198736,0.205164,0.198736,0.205164,1246452.831983
1988-02-25,0.205164,0.211573,0.205164,0.209493,3230282.8847625
1988-02-26,0.211573,0.211573,0.207293,0.207293,1650706.3791361
1988-02-29,0.209493,0.213741,0.209493,0.213741,1205280.8128889
1988-03-01,0.213741,0.215862,0.211573,0.211573,490343.07780382
1988-03-02,0.211573,0.215862,0.205164,0.209493,3028169.2959685
1988-03-03,0.205164,0.205164,0.198736,0.200846,1935181.247757
1988-03-04,0.198736,0.198736,0.196655,0.196655,2032501.1705109
1988-03-07,0.196655,0.196655,0.194545,0.196655,939516.16494161
1988-03-08,0.198736,0.198736,0.198736,0.198736,239558.3712784
1988-03-09,0.198736,0.198736,0.196655,0.198736,486600.62798346
1988-03-10,0.196655,0.196655,0.196655,0.196655,116036.22871182
1988-03-11,0.196655,0.198736,0.196655,0.196655,456656.97256447
1988-03-14,0.198736,0.198736,0.196655,0.196655,501578.54097723
1988-03-15,0.196655,0.200846,0.196655,0.200846,887109.69688815
1988-03-16,0.200846,0.200846,0.200846,0.200846,520295.86114921
1988-03-17,0.200846,0.205164,0.200846,0.205164,595144.85755628
1988-03-18,0.205164,0.209493,0.205164,0.205164,243303.86374089
1988-03-21,0.207293,0.207293,0.200846,0.200846,1736800.980857
1988-03-22,0.200846,0.203054,0.200846,0.200846,1283875.3017584
1988-03-23,0.200846,0.203054,0.200846,0.200846,894596.62495694
1988-03-24,0.200846,0.203054,0.198736,0.198736,2376861.3215418
1988-03-25,0.200846,0.200846,0.196655,0.196655,131003.99956516
1988-03-28,0.196655,0.196655,0.192396,0.192396,980694.26931997
1988-03-29,0.192396,0.196655,0.192396,0.196655,142236.42009642
1988-03-30,0.196655,0.200846,0.196655,0.200846,175921.51112174
1988-03-31,0.200846,0.200846,0.192396,0.194545,823476.89358766
1988-04-04,0.194545,0.194545,0.192396,0.192396,640065.411755
1988-04-05,0.194545,0.196655,0.192396,0.194545,288221.37529747
1988-04-06,0.196655,0.196655,0.190276,0.192396,1265163.0526566
1988-04-07,0.192396,0.200846,0.192396,0.200846,797281.77327327
1988-04-08,0.200846,0.205164,0.198736,0.205164,647550.3113957
1988-04-11,0.205164,0.215862,0.205164,0.213741,636327.01879081
1988-04-12,0.213741,0.215862,0.211573,0.215862,872142.94024886
1988-04-13,0.215862,0.215862,0.205164,0.209493,1587073.5758356
1988-04-14,0.209493,0.211573,0.205164,0.207293,1620759.681075
1988-04-15,0.207293,0.209493,0.200846,0.205164,606376.2638735
1988-04-18,0.205164,0.205164,0.200846,0.200846,542749.54585728
1988-04-19,0.200846,0.200846,0.198736,0.198736,464134.77270687
1988-04-20,0.198736,0.198736,0.196655,0.196655,224585.52935486
1988-04-21,0.198736,0.200846,0.198736,0.200846,396770.6759405
1988-04-22,0.200846,0.200846,0.196655,0.200846,2994480.1480871
1988-04-25,0.200846,0.200846,0.196655,0.200846,1122930.6894164
1988-04-26,0.200846,0.203054,0.200846,0.200846,93580.51557566
1988-04-27,0.200846,0.200846,0.198736,0.198736,127266.62081501
1988-04-28,0.198736,0.200846,0.198736,0.200846,220851.19324686
1988-04-29,0.198736,0.198736,0.190276,0.194545,774824.03170902
1988-05-02,0.194545,0.194545,0.192396,0.192396,501578.54097723
1988-05-03,0.190276,0.190276,0.188077,0.188077,1298859.3000365
1988-05-04,0.188077,0.188077,0.175319,0.179597,2010052.5568731
1988-05-05,0.179597,0.183749,0.179597,0.183749,5622133.2756525
1988-05-06,0.183749,0.185908,0.181579,0.181579,1995076.6723073
1988-05-09,0.181579,0.183749,0.179597,0.181579,572692.18706224
1988-05-10,0.179597,0.183749,0.179597,0.179597,1280142.9940785
1988-05-11,0.179597,0.179597,0.175319,0.175319,823476.89358766
1988-05-12,0.175319,0.179597,0.175319,0.179597,243303.86374089
1988-05-13,0.179597,0.179597,0.175319,0.179597,318160.9738603
1988-05-16,0.179597,0.179597,0.179597,0.179597,209607.61636109
1988-05-17,0.181579,0.183749,0.179597,0.179597,273250.56180202
1988-05-18,0.179597,0.179597,0.177448,0.179597,138497.0129182
1988-05-19,0.177448,0.177448,0.17096,0.17096,516547.32604459
1988-05-20,0.17096,0.175319,0.17096,0.175319,310678.10264767
1988-05-23,0.175319,0.175319,0.17096,0.173149,157215.34730423
1988-05-24,0.173149,0.175319,0.17096,0.175319,329391.36596349
1988-05-25,0.175319,0.179597,0.175319,0.179597,729906.52015243
1988-05-26,0.179597,0.179597,0.175319,0.177448,325647.90192909
1988-05-27,0.177448,0.177448,0.175319,0.175319,153470.86905579
1988-05-31,0.175319,0.177448,0.173149,0.177448,2182224.5186762
1988-06-01,0.175319,0.177448,0.175319,0.177448,902090.65252404
1988-06-02,0.177448,0.177448,0.175319,0.175319,816004.16451547
1988-06-03,0.175319,0.175319,0.173149,0.175319,1033094.6520892
1988-06-06,0.175319,0.175319,0.168781,0.168781,5255304.2267029
1988-06-07,0.17096,0.175319,0.17096,0.175319,1310093.7489958
1988-06-08,0.173149,0.177448,0.17096,0.173149,3885342.4369359
1988-06-09,0.173149,0.175319,0.173149,0.175319,5977730.9182848
1988-06-10,0.175319,0.179597,0.175319,0.179597,1605790.8960075
1988-06-13,0.179597,0.179597,0.175319,0.177448,1029352.2022688
1988-06-14,0.179597,0.183749,0.175319,0.181579,6756293.3429581
1988-06-15,0.181579,0.183749,0.181579,0.183749,1437352.2560985
1988-06-16,0.185908,0.192396,0.183749,0.192396,1006896.4891327
1988-06-17,0.192396,0.192396,0.190276,0.192396,419219.28957836
1988-06-20,0.192396,0.192396,0.188077,0.192396,2126081.6860865
1988-06-21,0.192396,0.198736,0.192396,0.198736,2088647.0457425
1988-06-22,0.198736,0.205164,0.196655,0.203054,2855983.1351688
1988-06-23,0.203054,0.205164,0.200846,0.205164,935783.85726169
1988-06-24,0.205164,0.207293,0.203054,0.207293,306931.59597115
1988-06-27,0.205164,0.211573,0.205164,0.207293,587658.94370152
1988-06-28,0.205164,0.205164,0.200846,0.203054,4091197.4613363
1988-06-29,0.205164,0.209493,0.205164,0.209493,2010052.5568731
1988-06-30,0.209493,0.213741,0.209493,0.213741,1456064.5052003
1988-07-01,0.211573,0.213741,0.211573,0.211573,999409.56106387
1988-07-05,0.211573,0.211573,0.209493,0.209493,763595.66803391
1988-07-06,0.209493,0.209493,0.203054,0.205164,2433017.3389139
1988-07-07,0.203054,0.205164,0.200846,0.203054,1605790.8960075
1988-07-08,0.203054,0.205164,0.200846,0.200846,1583329.0975871
1988-07-11,0.200846,0.200846,0.198736,0.200846,411744.53207809
1988-07-12,0.200846,0.200846,0.198736,0.198736,1354997.0615558
1988-07-13,0.200846,0.203054,0.200846,0.203054,917053.35230714
