Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-09-01,6.66931,6.66931,6.47842,6.47842,52984.215662277
1987-09-02,6.44996,6.44996,6.22983,6.22983,184027.92261474
1987-09-03,6.25868,6.28754,6.1916,6.22983,41326.025479596
1987-09-04,6.28754,6.31628,6.25868,6.25868,51921.466303755
1987-09-08,6.1916,6.22983,5.87611,6.03885,98193.633472678
1987-09-09,6.00041,6.00041,5.87611,5.90496,82299.470587657
1987-09-10,5.819,6.06769,5.75201,6.06769,572919.06417464
1987-09-11,6.06769,6.31628,6.06769,6.31628,63934.240155538
1987-09-14,6.35392,6.35392,6.16293,6.22983,57926.350756472
1987-09-15,6.31628,6.31628,6.16293,6.1916,56866.606344301
1987-09-16,6.25868,6.31628,6.1916,6.1916,181553.85012129
1987-09-17,6.31628,6.31628,6.06769,6.09635,87596.189350954
1987-09-18,6.09635,6.13419,5.9436,5.9436,23311.372121447
1987-09-21,5.90496,6.06769,5.90496,5.9436,52278.053270422
1987-09-22,5.9436,5.97195,5.87611,5.87611,156471.56295191
1987-09-23,5.9436,6.03885,5.9436,6.03885,147645.03387812
1987-09-24,6.00041,6.06769,5.97195,6.00041,261027.66949275
1987-09-25,5.97195,5.97195,5.90496,5.90496,47684.491952631
1987-09-28,5.97195,6.00041,5.9436,5.9436,269150.03947225
1987-09-29,5.90496,5.9436,5.90496,5.90496,64639.400898609
1987-09-30,5.9436,5.9436,5.84776,5.90496,184380.50298627
1987-10-01,5.97195,6.00041,5.9436,6.00041,97483.464485694
1987-10-02,6.00041,6.00041,5.97195,6.00041,19778.556864611
1987-10-05,6.00041,6.00041,5.97195,5.97195,29318.259871728
1987-10-06,5.9436,5.97195,5.90496,5.90496,125388.39792493
1987-10-07,5.90496,5.90496,5.78077,5.78077,31437.748696073
1987-10-08,5.75201,5.819,5.72366,5.75201,161419.7079388
1987-10-09,5.72366,5.72366,5.65648,5.65648,99959.540276705
1987-10-12,5.58978,5.58978,5.46559,5.46559,96076.1479459
1987-10-13,5.58978,5.65648,5.53237,5.62752,144113.22027006
1987-10-14,5.56124,5.56124,5.49403,5.56124,41326.025479596
1987-10-15,5.53237,5.53237,5.40859,5.49403,55101.701189056
1987-10-16,5.43673,5.43673,4.86349,4.90191,181198.26480341
1987-10-19,4.5482,4.64364,4.17572,4.17572,570091.40966088
1987-10-20,4.17572,4.29971,3.60217,4.01308,659809.09113375
1987-10-21,4.08017,4.29971,3.85993,4.01308,320719.92705325
1987-10-22,4.04184,4.04184,3.72615,3.85993,330613.21208068
1987-10-23,3.66905,3.76479,3.63061,3.72615,440461.02914092
1987-10-26,3.60217,3.60217,3.03829,3.03829,330254.62181646
1987-10-27,3.03829,3.21999,2.9048,3.03829,545719.29147848
1987-10-28,2.78022,3.16288,2.53202,2.8473,671111.69599854
1987-10-29,2.78022,3.09569,2.78022,3.03829,490969.16901218
1987-10-30,3.21999,3.72615,3.21999,3.5736,729039.04840379
1987-11-02,3.5736,3.88869,3.41108,3.88869,210164.94595239
1987-11-03,3.98433,3.98433,3.72615,3.79335,81240.727824267
1987-11-04,3.79335,3.79335,3.60217,3.66905,162120.86208674
1987-11-05,3.69811,3.69811,3.47786,3.53546,123270.91239815
1987-11-06,3.41108,3.60217,3.41108,3.53546,198508.75906726
1987-11-09,3.41108,3.50652,3.16288,3.35357,205216.80096549
1987-11-10,3.38232,3.44942,3.28728,3.44942,92190.752317528
1987-11-11,3.41108,3.50652,3.35357,3.41108,286814.11575643
1987-11-12,3.44942,3.53546,3.41108,3.47786,252904.29786447
1987-11-13,3.50652,3.5736,3.47786,3.5736,153298.33960808
1987-11-16,3.53546,3.63061,3.53546,3.5736,72054.606837468
1987-11-17,3.53546,3.5736,3.53546,3.53546,21194.88824345
1987-11-18,3.53546,3.60217,3.47786,3.47786,158238.47140471
1987-11-19,3.47786,3.5736,3.47786,3.5736,43798.094675476
1987-11-20,3.44942,3.47786,3.41108,3.47786,53333.791087464
1987-11-23,3.50652,3.50652,3.44942,3.47786,84769.536485972
1987-11-24,3.44942,3.72615,3.44942,3.69811,189326.64467559
1987-11-25,3.69811,3.79335,3.69811,3.69811,100662.69772222
1987-11-27,3.66905,3.66905,3.41108,3.53546,72054.606837468
1987-11-30,3.41108,3.50652,3.41108,3.41108,170602.82397925
1987-12-01,3.41108,3.47786,3.35357,3.38232,46980.332858343
1987-12-02,3.35357,3.47786,3.31553,3.47786,15543.585811052
1987-12-03,3.44942,3.44942,3.21999,3.25853,405141.8914116
1987-12-04,3.19144,3.21999,3.12425,3.12425,61105.58399299
1987-12-07,3.12425,3.25853,3.09569,3.19144,105261.26728392
1987-12-08,3.21999,3.28728,3.19144,3.19144,46273.168817705
1987-12-09,3.19144,3.41108,3.19144,3.31553,394542.44399231
1987-12-10,3.35357,3.38232,3.21999,3.28728,128215.05078991
1987-12-11,3.35357,3.35357,3.16288,3.21999,399488.58568163
1987-12-14,3.21999,3.31553,3.19144,3.21999,427394.52076965
1987-12-15,3.19144,3.31553,3.19144,3.28728,226762.2662829
1987-12-16,3.28728,3.47786,3.28728,3.47786,196035.6882226
1987-12-17,3.47786,3.47786,3.38232,3.38232,172722.31280359
1987-12-18,3.38232,3.47786,3.35357,3.47786,279391.89827608
1987-12-21,3.47786,3.85993,3.47786,3.76479,350742.34601927
1987-12-22,3.79335,3.8223,3.69811,3.76479,192502.87296576
1987-12-23,3.72615,3.79335,3.66905,3.76479,73819.511992712
1987-12-24,3.76479,3.79335,3.69811,3.69811,63934.240155538
1987-12-28,3.69811,3.69811,3.44942,3.47786,173075.89482391
1987-12-29,3.35357,3.53546,3.35357,3.47786,124683.23718186
1987-12-30,3.44942,3.47786,3.35357,3.44942,122565.75165508
1987-12-31,3.38232,3.53546,3.35357,3.44942,133162.19412803
1988-01-04,3.31553,3.47786,3.31553,3.44942,156471.56295191
1988-01-05,3.50652,3.66905,3.50652,3.63061,61105.58399299
1988-01-06,3.66905,3.66905,3.5736,3.60217,39206.536655251
1988-01-07,3.53546,3.63061,3.47786,3.60217,502630.3641412
1988-01-08,3.53546,3.60217,3.41108,3.41108,66052.7273311
1988-01-11,3.35357,3.41108,3.31553,3.35357,43091.932283622
1988-01-12,3.38232,3.41108,3.31553,3.38232,31437.748696073
1988-01-13,3.31553,3.35357,3.28728,3.35357,45210.419459185
1988-01-14,3.31553,3.47786,3.31553,3.44942,28961.672905062
1988-01-15,3.41108,3.53546,3.41108,3.50652,128926.22142568
1988-01-18,3.53546,3.53546,3.41108,3.44942,43445.514303942
1988-01-19,3.47786,3.47786,3.41108,3.47786,21194.88824345
1988-01-20,3.47786,3.47786,3.35357,3.35357,37794.211871543
1988-01-21,3.38232,3.38232,3.21999,3.38232,128573.64105415
1988-01-22,3.38232,3.41108,3.31553,3.41108,55101.701189056
1988-01-25,3.41108,3.41108,3.35357,3.41108,33557.237520418
1988-01-26,3.41108,3.41108,3.35357,3.41108,36379.88379027
1988-01-27,3.35357,3.38232,3.31553,3.31553,19778.556864611
1988-01-28,3.21999,3.35357,3.21999,3.35357,76294.586134941
1988-01-29,3.35357,3.38232,3.28728,3.31553,126804.72930377
1988-02-01,3.35357,3.38232,3.31553,3.38232,75234.841722767
1988-02-02,3.38232,3.38232,3.31553,3.35357,13780.683953374
1988-02-03,3.38232,3.41108,3.31553,3.31553,31792.332365175
1988-02-04,3.28728,3.31553,3.28728,3.28728,44504.257067331
1988-02-05,3.31553,3.38232,3.28728,3.28728,23311.372121447
1988-02-08,3.28728,3.38232,3.28728,3.35357,23311.372121447
1988-02-09,3.35357,3.38232,3.31553,3.31553,44504.257067331
1988-02-10,3.31553,3.41108,3.31553,3.41108,53690.37805413
1988-02-11,3.41108,3.44942,3.35357,3.44942,136696.01103364
1988-02-12,3.41108,3.50652,3.41108,3.50652,191090.54818207
1988-02-16,3.53546,3.66905,3.47786,3.66905,135987.84534422
1988-02-17,3.69811,3.76479,3.5736,3.5736,195683.10785107
1988-02-18,3.5736,3.72615,3.5736,3.66905,60044.837932035
1988-02-19,3.72615,3.72615,3.66905,3.66905,35321.141026881
1988-02-22,3.72615,3.91804,3.72615,3.91804,136696.01103364
1988-02-23,3.91804,4.08017,3.91804,4.04184,122918.33202662
