Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,19.8696,20.3146,19.8569,20.2649,4232913.240467
2005-02-28,20.222,20.222,19.6783,19.8696,4281823.7379359
2005-03-01,19.8696,20.2083,19.8569,20.0746,2512914.7418918
2005-03-02,19.9085,20.6709,19.893,20.4795,5172567.1236857
2005-03-03,21.1101,21.3804,20.8505,21.2398,8076494.3309514
2005-03-04,21.2398,21.4508,21.1101,21.2887,4204681.8927228
2005-03-07,21.1959,21.4165,21.0944,21.2604,3376829.4334166
2005-03-08,21.1959,21.2038,20.6787,20.7665,3872369.811139
2005-03-09,20.9324,20.9324,20.213,20.5811,3674768.8194166
2005-03-10,20.5752,20.9647,20.5138,20.9178,3193200.6740084
2005-03-11,21.0016,21.1598,20.9178,21.1598,2771448.6827936
2005-03-14,21.1959,21.2516,20.8963,21.0661,2783746.7472115
2005-03-15,21.0397,21.0944,20.9178,20.9178,1749065.9056847
2005-03-16,20.6221,20.9178,19.9496,20.4854,6108582.7142487
2005-03-17,20.4971,20.5752,20.2649,20.4854,3122770.8691188
2005-03-18,20.4971,20.5752,20.1302,20.2649,4279310.4369264
2005-03-21,20.2307,20.2307,19.8696,19.9652,3190405.612796
2005-03-22,20.0121,20.3801,19.9496,20.137,2759431.3539958
2005-03-23,20.0999,20.1077,19.7368,19.9202,3556541.2137137
2005-03-24,19.9008,20.2951,19.8784,20.1624,2019056.7287261
2005-03-28,20.1624,20.5235,20.1624,20.4083,2838526.0535604
2005-03-29,20.2307,20.4923,19.9652,20.0579,3109072.200347
2005-03-30,20.0746,20.343,20.0746,20.336,2175009.4641355
2005-03-31,20.3801,20.4386,20.1624,20.2649,2529963.7956212
2005-04-01,20.4971,20.4971,19.5006,19.8861,4678141.491784
2005-04-04,19.9202,20.1859,19.8081,20.137,3400582.3308089
2005-04-05,20.3497,20.9871,20.1936,20.5859,2916784.6937592
2005-04-06,20.9363,21.073,20.4854,20.5382,3352234.3291632
2005-04-07,20.5752,20.5752,20.2717,20.2873,3295493.9718024
2005-04-08,20.336,20.4307,19.8784,19.9281,2698079.3505512
2005-04-11,20.0746,20.1438,19.5758,19.7368,2897636.2703728
2005-04-12,19.7143,19.9202,19.4557,19.9008,2897074.7991321
2005-04-13,19.9008,20.0999,19.5689,19.73,2680891.9781768
2005-04-14,19.7631,19.7788,18.4495,18.9111,5785636.3418078
2005-04-15,18.9287,18.9424,17.9976,18.0493,4936533.0157106
2005-04-18,17.9234,18.0668,17.5379,18.0668,6803544.7668953
2005-04-19,18.7491,19.1356,18.5344,18.6496,4641112.0536328
2005-04-20,18.7843,18.999,18.104,18.2337,4089532.1330178
2005-04-21,18.6047,18.794,18.47,18.6983,3394576.2278666
2005-04-22,18.7491,18.9618,18.0668,18.4329,3360477.0958251
2005-04-25,18.7843,18.9745,18.6427,18.8311,3634660.510685
2005-04-26,20.0003,20.1077,19.1571,19.8627,8985262.1730239
2005-04-27,19.7934,20.213,19.5758,19.9574,3426853.6521237
2005-04-28,19.8569,19.9008,19.408,19.4557,3504697.3363874
2005-04-29,19.6451,19.6704,18.7843,19.1766,4590811.1976357
2005-05-02,19.5347,19.85,19.4294,19.5689,3374311.0094943
2005-05-03,19.5347,19.8861,19.3776,19.6558,4562016.3294858
2005-05-04,19.607,20.0179,19.5417,20.0003,3250641.8458372
2005-05-05,20.1779,20.665,20.1438,20.2649,3151420.2465457
2005-05-06,20.4464,20.5382,20.1859,20.2873,2401537.4951575
2005-05-09,20.1859,20.5615,20.1779,20.5459,2787376.843207
