Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,8.895,8.935,8.725,8.88,732232
2005-02-28,8.84,9.055,8.8,9.005,883868
2005-03-01,9.045,9.215,8.965,9.18,812408
2005-03-02,9.16,9.295,9.025,9.15,843524
2005-03-03,9.215,9.215,8.9,9.025,851480
2005-03-04,9.09,9.19,9.055,9.115,562672
2005-03-07,9.17,9.275,9.095,9.14,559136
2005-03-08,9.09,9.26,8.935,8.945,648164
2005-03-09,8.97,8.975,8.785,8.795,433940
2005-03-10,8.795,8.93,8.635,8.865,1252148
2005-03-11,8.91,8.97,8.785,8.785,910476
2005-03-14,8.845,8.91,8.775,8.805,1487024
2005-03-15,8.885,8.945,8.745,8.775,766192
2005-03-16,8.705,8.81,8.68,8.78,1764516
2005-03-17,8.75,9.195,8.73,9.09,2275292
2005-03-18,9.11,9.19,8.92,9.09,3333604
2005-03-21,9.19,9.19,8.99,9.145,4260512
2005-03-22,9.16,9.56,9.125,9.375,4311040
2005-03-23,9.32,9.38,9.135,9.135,1318868
2005-03-24,9.14,9.315,9.14,9.24,794472
2005-03-28,9.28,9.28,8.445,8.445,4216204
2005-03-29,8.5,8.5,7.8,7.985,5899176
2005-03-30,7.95,8.365,7.95,8.325,3286100
2005-03-31,8.32,8.64,8.285,8.455,2879124
2005-04-01,8.41,8.66,8.295,8.42,1441492
2005-04-04,8.38,8.555,8.325,8.475,994436
2005-04-05,8.6,8.675,8.525,8.62,1578952
2005-04-06,8.67,8.825,8.57,8.6,1254668
2005-04-07,8.57,8.72,8.545,8.66,780992
2005-04-08,8.625,8.68,8.385,8.41,1209424
2005-04-11,8.42,8.63,8.375,8.48,1375864
2005-04-12,8.465,8.695,8.34,8.655,1528396
2005-04-13,8.69,8.695,8.5,8.53,1203352
2005-04-14,8.595,8.6,7.92,7.97,2723100
2005-04-15,7.985,7.985,7.52,7.645,2895072
2005-04-18,7.725,7.73,7.57,7.66,1995720
2005-04-19,7.65,7.75,7.585,7.66,2471656
2005-04-20,7.75,8.41,7.73,8.17,4389264
2005-04-21,8.385,8.49,8.285,8.49,1505032
2005-04-22,8.5,9.095,8.43,8.93,4927624
2005-04-25,8.94,9.045,8.775,9.0,2241044
2005-04-26,9.0,9.115,8.75,8.825,1553428
2005-04-27,8.76,8.87,8.57,8.765,1557932
2005-04-28,8.71,8.805,8.58,8.58,1071940
2005-04-29,8.58,8.74,8.34,8.605,1600660
2005-05-02,8.66,8.8,8.62,8.74,1439352
2005-05-03,8.74,8.935,8.67,8.805,1305600
2005-05-04,8.79,9.055,8.725,9.04,1201948
2005-05-05,9.045,9.065,8.875,9.025,1624208
2005-05-06,8.965,9.045,8.885,9.005,1077212
2005-05-09,9.025,9.33,9.01,9.33,2118040
2005-05-10,9.25,9.35,9.18,9.23,1625452
2005-05-11,9.19,9.27,8.985,9.125,877532
2005-05-12,9.155,9.27,9.05,9.09,941804
2005-05-13,9.085,9.125,8.955,9.08,1010276
2005-05-16,9.12,9.31,9.085,9.31,1005840
2005-05-17,9.24,9.375,9.2,9.31,859368
2005-05-18,9.375,9.74,9.345,9.725,1664760
2005-05-19,9.73,9.805,9.615,9.805,1122308
2005-05-20,9.75,9.805,9.645,9.785,819052
2005-05-23,9.75,9.875,9.74,9.865,1125656
2005-05-24,9.885,10.19,9.825,10.105,1955560
2005-05-25,10.05,10.09,9.885,9.96,1662400
2005-05-26,10.01,10.1,9.965,10.025,1326220
2005-05-27,9.995,10.275,9.9,10.26,1231160
2005-05-31,10.19,10.27,9.93,9.935,1153684
2005-06-01,9.945,10.195,9.88,10.02,904840
2005-06-02,9.975,10.07,9.9,10.0,1722284
2005-06-03,9.995,10.01,9.805,9.875,1268464
2005-06-06,9.805,9.85,9.705,9.795,1086324
2005-06-07,9.785,10.215,9.755,9.795,1749300
2005-06-08,9.85,9.865,9.55,9.66,804948
2005-06-09,9.63,9.705,9.455,9.685,497160
2005-06-10,9.645,9.745,9.52,9.555,456740
2005-06-13,9.51,9.715,9.51,9.64,520628
2005-06-14,9.625,9.715,9.6,9.665,634632
2005-06-15,9.685,9.75,9.385,9.42,1323808
2005-06-16,9.41,9.49,9.285,9.365,1201392
2005-06-17,9.375,9.57,9.29,9.5,1556524
2005-06-20,9.46,9.595,9.25,9.5,890492
2005-06-21,9.5,9.855,9.5,9.785,1615460
2005-06-22,9.86,10.0,9.805,9.865,1272688
2005-06-23,9.9,9.98,9.65,9.65,1077436
2005-06-24,9.695,9.805,9.5,9.705,12947732
2005-06-27,9.775,9.785,9.66,9.715,1949400
2005-06-28,9.745,9.935,9.7,9.905,1243916
2005-06-29,9.95,10.055,9.69,9.75,1308156
2005-06-30,9.77,9.91,9.67,9.74,1618148
2005-07-01,9.77,9.835,9.635,9.65,934912
2005-07-05,9.625,9.69,9.555,9.66,1145556
2005-07-06,9.635,9.825,9.59,9.75,1231584
2005-07-07,9.705,9.795,9.705,9.78,783380
2005-07-08,9.8,9.995,9.795,9.99,997740
2005-07-11,9.975,10.125,9.9,10.045,772584
2005-07-12,10.035,10.095,9.95,10.055,305008
2005-07-13,10.01,10.07,9.84,9.985,538524
2005-07-14,10.125,10.295,10.08,10.24,1458040
2005-07-15,10.205,10.325,10.125,10.23,753488
2005-07-18,10.25,10.25,10.1,10.165,457708
2005-07-19,10.15,10.82,10.135,10.685,2926604
2005-07-20,10.76,11.135,10.66,11.08,2551896
2005-07-21,11.03,11.135,10.85,10.855,1947684
2005-07-22,10.845,10.91,10.785,10.845,752252
2005-07-25,10.91,10.965,10.85,10.935,1070044
2005-07-26,10.96,11.005,10.8,10.9,1839816
2005-07-27,9.375,9.425,8.785,9.385,14262288
2005-07-28,9.375,10.045,9.25,9.76,4831976
2005-07-29,9.73,9.99,9.63,9.74,1555428
2005-08-01,9.74,9.915,9.545,9.58,1930596
2005-08-02,9.555,9.705,9.51,9.66,1505772
2005-08-03,9.645,9.66,9.385,9.42,2032844
2005-08-04,9.44,9.44,9.07,9.195,3005260
2005-08-05,9.18,9.325,9.18,9.3,871984
2005-08-08,9.365,9.365,8.94,9.01,2267544
2005-08-09,9.0,9.1,8.94,9.08,1289008
2005-08-10,9.115,9.19,9.025,9.115,1292248
2005-08-11,9.1,9.27,9.1,9.17,1301424
2005-08-12,9.135,9.19,8.975,9.07,1097672
2005-08-15,9.1,9.27,9.0,9.2,1026132
2005-08-16,9.24,9.33,9.2,9.275,1445744
2005-08-17,9.22,9.305,9.145,9.16,633216
2005-08-18,9.16,9.16,8.925,9.0,854140
2005-08-19,9.025,9.08,8.91,8.95,1004852
2005-08-22,8.95,9.09,8.95,9.005,891668
2005-08-23,9.0,9.025,8.94,8.955,853180
2005-08-24,8.955,9.005,8.885,8.9,980940
2005-08-25,8.91,8.92,8.78,8.785,846952
2005-08-26,8.785,8.805,8.42,8.545,4119088
2005-08-29,8.505,8.505,8.34,8.465,2177444
2005-08-30,8.59,8.935,8.5,8.85,2067636
2005-08-31,8.9,9.2,8.865,9.13,3027104
2005-09-01,9.15,9.25,9.125,9.18,1703960
2005-09-02,9.16,9.25,9.125,9.18,1155876
2005-09-06,9.18,9.195,8.69,8.795,2312812
2005-09-07,8.785,8.92,8.685,8.795,1629404
2005-09-08,8.76,8.895,8.555,8.595,1316404
2005-09-09,8.575,8.63,8.265,8.315,2586668
2005-09-12,8.27,8.365,7.785,8.1,12313980
2005-09-13,8.125,8.23,8.1,8.15,3751864
2005-09-14,8.215,8.705,8.19,8.56,5828284
2005-09-15,8.625,8.73,8.525,8.605,4028076
2005-09-16,8.625,8.67,8.515,8.6,3266876
2005-09-19,8.58,8.625,8.445,8.5,1700548
2005-09-20,8.445,8.57,8.445,8.49,1165688
2005-09-21,8.465,8.535,8.285,8.3,2304108
2005-09-22,8.25,8.34,8.05,8.19,1724964
2005-09-23,8.165,8.25,8.125,8.19,1091980
2005-09-26,8.24,8.285,8.045,8.125,1165988
2005-09-27,8.105,8.355,8.055,8.265,1296784
2005-09-28,8.27,8.555,8.27,8.545,2274120
2005-09-29,8.54,8.59,8.385,8.475,1932504
2005-09-30,8.485,8.495,8.35,8.42,1532760
2005-10-03,8.41,8.6,8.41,8.58,1683204
2005-10-04,8.585,8.67,8.465,8.475,759276
2005-10-05,8.5,8.6,8.35,8.405,1348188
2005-10-06,8.4,8.42,8.04,8.15,1555976
2005-10-07,8.18,8.26,8.03,8.075,2094292
2005-10-10,8.075,8.075,7.85,7.885,2206700
2005-10-11,7.9,7.9,7.76,7.76,1531380
2005-10-12,7.745,7.775,7.61,7.675,1593540
2005-10-13,7.705,7.925,7.61,7.79,3798736
2005-10-14,7.81,7.835,7.725,7.745,2850584
2005-10-17,7.75,7.855,7.66,7.8,1939652
2005-10-18,7.87,7.87,7.73,7.735,1250916
2005-10-19,7.725,7.825,7.675,7.75,1636284
2005-10-20,7.75,7.91,7.675,7.845,1379264
2005-10-21,6.76,7.41,6.66,7.105,10645288
2005-10-24,7.15,7.395,7.105,7.375,2552572
2005-10-25,7.335,7.415,7.325,7.37,2407960
2005-10-26,7.35,7.375,7.175,7.275,2421292
2005-10-27,7.245,7.285,7.165,7.225,1720332
2005-10-28,7.235,7.265,7.14,7.195,1894712
2005-10-31,7.205,7.3,7.175,7.22,1618880
2005-11-01,7.215,7.4,7.2,7.285,2169444
2005-11-02,7.285,7.52,7.265,7.475,2625724
2005-11-03,7.5,7.5,7.33,7.365,1749948
2005-11-04,7.355,7.4,7.28,7.36,1687056
2005-11-07,7.31,7.375,7.31,7.33,2098312
2005-11-08,7.315,7.4,7.27,7.37,1196936
2005-11-09,7.385,7.395,7.315,7.37,943700
2005-11-10,7.375,7.48,7.33,7.43,2080204
2005-11-11,7.42,7.595,7.42,7.56,2368144
2005-11-14,7.53,7.665,7.53,7.65,1186720
2005-11-15,7.65,7.67,7.535,7.595,682160
2005-11-16,7.55,7.59,7.425,7.48,623096
2005-11-17,7.53,7.53,7.45,7.505,1213400
2005-11-18,7.555,7.63,7.525,7.575,594444
2005-11-21,7.575,7.74,7.535,7.69,1231128
2005-11-22,7.69,7.905,7.69,7.895,927640
2005-11-23,7.955,7.985,7.89,7.925,840764
2005-11-25,7.93,8.025,7.86,7.95,725220
2005-11-28,7.99,8.05,7.84,7.905,1398272
2005-11-29,7.87,8.055,7.87,8.015,1490684
2005-11-30,7.99,8.175,7.99,8.145,1616392
2005-12-01,8.145,8.5,8.125,8.485,1977376
2005-12-02,8.525,8.565,8.395,8.43,1451240
2005-12-05,8.385,8.555,8.385,8.48,1828544
2005-12-06,8.5,8.7,8.48,8.635,1784380
2005-12-07,8.67,8.7,8.505,8.535,1478784
2005-12-08,8.5,8.51,8.29,8.465,1470868
2005-12-09,8.465,8.555,8.44,8.51,469264
2005-12-12,8.525,8.595,8.385,8.48,790136
2005-12-13,8.48,8.57,8.43,8.51,1263796
2005-12-14,8.48,8.57,8.475,8.55,1444572
2005-12-15,8.535,8.61,8.49,8.6,1008952
2005-12-16,8.635,8.65,8.575,8.615,1474056
2005-12-19,8.59,8.68,8.535,8.57,1039540
2005-12-20,8.555,8.555,8.44,8.5,1817900
2005-12-21,8.45,8.635,8.43,8.58,893868
2005-12-22,8.52,8.615,8.48,8.59,1036988
2005-12-23,8.55,8.685,8.55,8.64,387132
2005-12-27,8.64,8.7,8.455,8.47,705016
2005-12-28,8.525,8.525,8.35,8.49,1495092
2005-12-29,8.475,9.49,8.475,8.965,3177992
2005-12-30,8.92,9.02,8.78,8.875,971808
2006-01-03,8.895,9.035,8.835,9.015,1817932
2006-01-04,9.01,9.1,8.9,9.03,848884
2006-01-05,8.995,9.085,8.945,9.0,872960
2006-01-06,8.95,9.1,8.875,9.07,682368
2006-01-09,8.98,9.205,8.875,9.17,1234848
2006-01-10,9.105,9.43,9.105,9.43,1287416
2006-01-11,9.39,9.58,9.35,9.455,1221120
2006-01-12,9.385,9.44,9.28,9.44,932276
2006-01-13,9.385,9.43,9.19,9.205,1649508
2006-01-17,9.205,9.24,8.81,8.875,2076900
2006-01-18,8.69,8.885,8.65,8.875,1611964
2006-01-19,8.875,9.265,8.875,9.115,1876172
2006-01-20,9.155,9.18,8.855,8.935,1107292
2006-01-23,8.9,8.92,8.715,8.795,1149852
2006-01-24,8.775,8.925,8.68,8.755,3964920
2006-01-25,9.76,10.485,9.75,10.44,8886252
2006-01-26,10.31,10.355,10.16,10.25,3543304
2006-01-27,10.07,10.15,9.905,9.975,3565008
