Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,28.5689,29.1801,28.4714,29.0865,2083674.4986812
2005-02-28,29.0471,29.061,28.4871,28.7106,2580035.2022742
2005-03-01,28.7332,28.998,28.7332,28.7412,2732050.5575897
2005-03-02,28.7412,28.8011,28.5335,28.6131,2418141.607495
2005-03-03,28.6505,28.7686,28.1723,28.4025,2603796.0158778
2005-03-04,28.6201,28.8347,28.2047,28.6505,3744267.3135298
2005-03-07,28.626,28.8562,28.4871,28.7529,1909235.4788191
2005-03-08,28.6505,28.7529,28.4321,28.5403,2970022.4469413
2005-03-09,28.4025,28.5777,28.2383,28.3208,1576904.1506423
2005-03-10,28.4262,28.7843,28.3474,28.7843,2207668.655897
2005-03-11,28.685,28.6929,28.3041,28.3888,2032424.908031
2005-03-14,28.3957,28.6201,28.2607,28.5777,2210471.994992
2005-03-15,28.5777,28.6131,28.2844,28.3386,1939931.9911039
2005-03-16,28.252,28.252,27.7531,28.126,3072261.5141393
2005-03-17,28.1122,28.1723,27.7924,27.9832,1605865.2141506
2005-03-18,27.9341,28.061,27.4606,27.69,4554933.2347954
2005-03-21,27.69,27.7608,27.1536,27.2806,3056642.4751522
2005-03-22,27.3179,27.6044,26.8751,26.8889,2470728.3472023
2005-03-23,26.8889,27.378,26.8889,27.3534,3065587.961702
2005-03-24,27.384,27.4322,27.1093,27.1664,2898220.7939964
2005-03-28,27.2746,27.5561,27.2343,27.2806,2590978.283844
2005-03-29,27.1606,27.496,27.1536,27.2343,2687608.640711
2005-03-30,27.3466,27.5345,26.9961,27.503,3325578.1033858
2005-03-31,27.5817,27.6113,27.3534,27.5177,2500890.4062926
2005-04-01,27.5503,27.5965,26.0366,26.4922,6891530.0872866
2005-04-04,26.5976,26.8624,26.1153,26.6193,5345323.4649998
2005-04-05,26.6113,26.6763,26.3752,26.4342,3071326.7290841
2005-04-06,26.5011,26.7609,26.3968,26.5474,2298290.9866431
2005-04-07,26.4834,26.7323,26.4037,26.6685,2750608.0730765
2005-04-08,26.6261,26.7943,26.3752,26.4342,3656572.2825054
2005-04-11,26.5248,26.5248,26.2984,26.3348,2943998.8438616
2005-04-12,26.3348,26.691,26.1153,26.5612,5555533.2542832
2005-04-13,26.5248,26.5976,26.0603,26.0976,3203192.3861071
2005-04-14,26.0976,26.1566,25.9745,26.0139,3126850.9292204
2005-04-15,25.9313,25.9992,25.5405,25.5484,3394449.4083969
2005-04-18,25.4136,25.7304,25.4136,25.6163,3612129.349556
2005-04-19,25.5937,25.7531,25.4293,25.5484,3126850.9292204
2005-04-20,25.5405,25.7738,25.2472,25.2562,2344335.2470351
2005-04-21,25.4756,25.8043,25.2472,25.7975,2064588.6264241
2005-04-22,25.6606,26.0366,25.5937,25.8112,2596715.0190848
2005-04-25,26.075,26.3081,25.8644,26.0366,2148671.5260668
2005-04-26,25.9263,26.2088,25.6911,25.7668,2097954.3564697
2005-04-27,25.6026,26.4342,25.5858,26.4115,4239957.4104527
2005-04-28,26.261,26.5248,26.1852,26.1852,1998123.3768595
2005-04-29,26.3348,26.8702,26.1646,26.825,5639619.202138
2005-05-02,26.9754,27.0611,26.7856,26.9587,2503559.6240534
2005-05-03,27.7304,27.8317,27.2275,27.627,6189631.4875448
2005-05-04,27.7224,28.5964,27.6821,28.3208,5228543.4098401
2005-05-05,28.3612,28.6201,28.1329,28.5403,3500151.2445819
2005-05-06,28.6201,28.6683,28.3386,28.4094,3318502.1869464
2005-05-09,28.4794,28.626,28.2844,28.626,2901155.2062131
2005-05-10,28.3386,28.6201,28.0758,28.252,3270321.1298468
2005-05-11,28.252,28.6595,28.0758,28.5886,3045840.6274113
2005-05-12,28.561,28.7332,28.3681,28.3888,2988173.5341432
2005-05-13,28.4714,28.4714,27.7224,27.9272,3470926.0026883
2005-05-16,27.8878,28.2323,27.5729,28.2116,2527181.2359695
2005-05-17,28.0374,28.4714,27.8632,28.4025,3094147.6772791
2005-05-18,28.4094,28.5886,28.1723,28.2323,8222187.4686976
2005-05-19,28.2914,28.4626,28.1565,28.4094,3456110.6756344
2005-05-20,28.4094,28.4094,27.9775,28.0216,3728918.5493519
2005-05-23,28.2844,28.6131,28.126,28.3386,3188244.9698607
2005-05-24,28.4321,28.6043,28.2982,28.3523,4065517.3745199
2005-05-25,28.3681,28.4321,28.188,28.313,3040623.1043045
2005-05-26,28.4025,28.6131,28.3386,28.5265,2254510.531798
2005-05-27,28.6358,28.6929,28.4626,28.5826,1793254.0552391
2005-05-31,28.6595,28.6595,28.3681,28.3828,3323975.7598728
2005-06-01,28.3957,28.685,28.3957,28.5886,2632352.6832428
2005-06-02,28.5886,28.8011,28.4478,28.7332,2849238.057105
2005-06-03,28.7332,28.9026,28.6043,28.7529,3008994.8551766
2005-06-06,28.7529,28.8425,28.6358,28.7106,2948936.9475227
2005-06-07,28.7332,29.1092,28.6358,28.8897,2528250.1423587
2005-06-08,29.0117,29.0955,28.8691,28.9586,4826672.2021237
2005-06-09,28.9586,29.4516,28.8562,29.4162,4352866.2361991
2005-06-10,29.432,29.432,29.2105,29.3306,4575491.3935142
2005-06-13,29.2598,29.3306,29.0471,29.118,2437359.5689446
2005-06-14,29.1092,29.432,29.0778,29.2598,2221411.012279
2005-06-15,29.37,29.4015,29.0384,29.3041,1857981.823886
2005-06-16,29.3041,29.3041,29.1013,29.1673,1618545.7766383
2005-06-17,29.3848,29.3937,29.1013,29.1407,3199853.577747
2005-06-20,29.0471,29.2105,28.8897,29.1249,1522580.9460878
2005-06-21,29.1476,29.2598,29.0314,29.1092,1442772.6559311
2005-06-22,29.1092,29.2519,28.9026,29.0314,2798120.5556474
2005-06-23,29.0314,29.0471,28.6772,28.7412,2067660.208187
2005-06-24,28.6772,28.8897,28.5777,28.5886,1842102.6707965
2005-06-27,28.5265,29.0314,28.4478,28.9026,2734326.555985
2005-06-28,28.9203,29.1673,28.6595,29.1544,2034828.931336
2005-06-29,29.3179,29.8956,29.3109,29.8739,4906354.499512
2005-06-30,29.8956,30.0049,29.6101,29.6181,5284200.7152397
2005-07-01,29.686,29.7824,29.5797,29.6702,1957815.8517085
2005-07-05,29.552,30.249,29.5196,30.179,2674532.8267164
2005-07-06,30.0599,30.236,30.0049,30.0294,2314171.1558035
2005-07-07,29.746,30.304,29.559,30.304,3039027.8732863
2005-07-08,30.121,30.1269,29.7017,29.9929,5754662.7924506
2005-07-11,30.1948,30.7045,30.0983,30.6583,5162745.7187333
2005-07-12,30.6583,30.8237,30.4714,30.7135,3822742.5189121
