Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,9.30245,9.32888,9.19082,9.24811,1306018.8248273
2005-02-28,9.24811,9.30758,9.14517,9.2702,1535309.5208412
2005-03-01,9.2702,9.45766,9.1994,9.40243,1252147.8883352
2005-03-02,9.39751,9.50893,9.31645,9.40737,2112518.1183387
2005-03-03,9.46949,9.46949,9.19466,9.29358,1667014.5395898
2005-03-04,9.35432,9.61051,9.31645,9.5405,1450235.789934
2005-03-07,9.5188,9.56218,9.35432,9.42118,1078107.3026702
2005-03-08,9.39751,9.39751,9.24811,9.24811,1582427.5759263
2005-03-09,9.24811,9.35432,9.18589,9.20828,484191.43363343
2005-03-10,9.2702,9.36319,9.14024,9.25659,1139069.8294429
2005-03-11,9.28668,9.35432,9.12998,9.29358,994246.43347845
2005-03-14,9.34554,9.35432,9.20828,9.29358,653574.26523592
2005-03-15,9.30758,9.45273,9.26143,9.28668,817443.44370585
2005-03-16,9.24811,9.31645,9.14024,9.1994,1505617.7330781
2005-03-17,9.22267,9.29358,9.08137,9.26626,1062026.7439571
2005-03-18,9.24121,9.33372,9.19082,9.25659,1626034.8222667
2005-03-21,9.25659,9.25659,9.11302,9.20828,1001961.69429
2005-03-22,9.25659,9.49514,9.18589,9.3837,2131187.6703288
2005-03-23,9.32532,9.46949,9.25187,9.35432,1654342.3656806
2005-03-24,9.34554,9.5405,9.34554,9.46555,929677.77270922
2005-03-28,9.45766,9.72982,9.45766,9.55331,1151180.1928251
2005-03-29,9.58586,9.6253,9.35925,9.39258,942960.4338698
2005-03-30,9.36319,9.66474,9.35925,9.60065,1054976.7317119
2005-03-31,9.61446,9.6253,9.34554,9.49514,1222466.2415565
2005-04-01,9.50499,9.57205,9.18589,9.2131,1409759.0654293
2005-04-04,9.2702,9.35432,9.24811,9.34061,1940736.9439629
2005-04-05,9.34061,9.50006,9.30758,9.41624,1149326.4209055
2005-04-06,9.46555,9.57205,9.36319,9.42512,1117205.8674165
2005-04-07,9.46555,9.4902,9.14024,9.3837,2875946.6235764
2005-04-08,9.34554,9.57205,9.24811,9.52866,1723694.5287169
2005-04-11,9.59572,9.60065,9.41624,9.52471,1347240.9116738
