Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,14.1709,14.4468,14.1709,14.4066,1302436.0202239
2005-02-28,14.3044,14.381,14.0825,14.1464,1891939.7621672
2005-03-01,14.1297,14.5931,14.113,14.5931,1901443.3530851
2005-03-02,14.705,15.0958,14.5872,14.7718,2740460.4065962
2005-03-03,14.7718,14.7963,14.2563,14.4066,1773801.2966936
2005-03-04,14.488,14.5038,14.2651,14.3535,1289561.205864
2005-03-07,14.2142,14.3535,14.0482,14.2877,1386293.9302252
2005-03-08,14.2563,14.2651,14.0482,14.1709,1342499.5988698
2005-03-09,14.1464,14.1464,13.8803,14.0482,1719293.4005687
2005-03-10,14.0482,14.3368,14.0216,14.2799,1275368.4570224
2005-03-11,14.2799,14.5204,14.2219,14.5204,1708709.1848555
2005-03-14,14.4801,14.7442,14.4801,14.5626,1667445.817323
2005-03-15,14.5872,14.6795,14.4399,14.4723,1724594.6748937
2005-03-16,14.4242,14.5292,14.2877,14.3535,1320123.230585
2005-03-17,14.4242,14.5106,14.2052,14.2799,1600431.8025741
2005-03-18,14.2142,14.4153,14.113,14.1964,2697027.6415012
2005-03-21,14.2711,14.3044,14.0973,14.1876,1377029.6859867
2005-03-22,14.2386,14.2651,13.9667,14.0216,1194762.6063718
2005-03-23,14.0039,14.2318,13.9824,13.9824,1049313.1570312
2005-03-24,14.0482,14.3142,14.0482,14.1297,892551.26697419
2005-03-28,14.1297,14.2219,14.056,14.113,1069885.768
2005-03-29,13.9303,14.1876,13.839,13.9067,1106938.6709677
2005-03-30,13.8626,14.0393,13.8233,13.948,1277295.4524159
2005-03-31,13.9225,14.0039,13.8459,13.8626,1287035.3345237
2005-04-01,13.8803,13.948,13.7094,13.7408,1295341.1735479
2005-04-04,13.675,13.733,13.516,13.675,1393991.726834
2005-04-05,13.6318,13.7094,13.5081,13.6486,1435612.5866409
2005-04-06,13.6486,13.7968,13.6064,13.7565,1074817.3280926
2005-04-07,13.7163,13.9392,13.7163,13.9303,1683206.0322907
2005-04-08,13.9303,14.0659,13.9225,13.9392,1187180.9183649
2005-04-11,13.9568,14.0216,13.7251,13.7879,1283785.312166
2005-04-12,13.7251,14.0039,13.6407,13.9067,1065554.1023507
2005-04-13,13.839,13.9667,13.7732,13.9225,864757.51576238
2005-04-14,13.9225,14.1709,13.889,13.9667,1566148.1916122
2005-04-15,13.9156,14.1374,13.898,13.9392,1903851.0788305
2005-04-18,13.8312,13.9667,13.5631,13.6573,1599229.9766945
2005-04-19,13.733,13.8547,13.5631,13.6318,1140507.2973808
2005-04-20,13.6141,13.6141,13.2755,13.2755,1109100.9390546
2005-04-21,13.4051,13.6573,13.3187,13.572,828189.41713257
2005-04-22,13.5808,13.7801,13.3019,13.3431,1718337.0323475
2005-04-25,13.3667,13.5631,13.3598,13.5386,1459197.9102809
2005-04-26,13.5445,13.6318,13.2578,13.2666,1389778.2067796
2005-04-27,13.2755,13.7879,13.2155,13.7487,1367400.8199983
2005-04-28,13.7487,13.9156,13.6486,13.9156,1630514.1154399
2005-04-29,14.0904,14.1297,13.5445,14.0393,2031257.8625286
2005-05-02,14.5449,14.92,14.3221,14.4723,5150316.8466361
2005-05-03,14.4635,14.7865,14.3535,14.7217,2265488.6339911
2005-05-04,14.7138,15.1783,14.602,14.9789,2271261.4721994
2005-05-05,14.9004,15.2273,14.7865,15.0604,1557726.2439861
2005-05-06,15.087,15.2352,15.0172,15.0958,1205108.493902
2005-05-09,15.0339,15.087,14.866,14.9632,1259727.4061462
2005-05-10,14.92,15.138,14.8562,15.1301,1217022.8660547
2005-05-11,15.0958,15.3678,15.0694,15.3088,1524885.8425762
2005-05-12,15.3353,15.5592,15.2951,15.4855,1869077.5710481
2005-05-13,15.46,15.574,15.3854,15.4522,2060729.0774894
2005-05-16,15.3756,15.5917,15.3756,15.5837,1031988.531427
2005-05-17,15.46,15.7016,15.4207,15.6712,930812.1068006
2005-05-18,15.7329,15.8764,15.68,15.8116,1928995.7206245
2005-05-19,15.9756,15.9991,15.7242,15.7939,2178749.3973681
2005-05-20,15.7477,15.9206,15.7477,15.8607,1182610.9245327
2005-05-23,15.843,15.9206,15.6712,15.7477,1285712.3075596
2005-05-24,15.7654,15.8116,15.6967,15.7939,1239758.7636068
2005-05-25,15.7085,15.7329,15.5288,15.5837,1061223.4551979
2005-05-26,15.627,15.6888,15.5592,15.68,799556.42479802
2005-05-27,15.6093,15.7329,15.5101,15.6534,584213.67107985
2005-05-31,15.5917,15.5917,15.2784,15.3442,1337207.4910133
2005-06-01,15.3442,15.5288,15.2618,15.4286,849962.83548451
2005-06-02,15.4207,15.5101,15.3756,15.4945,1476524.5728781
2005-06-03,15.5189,15.6004,15.3599,15.3756,773209.95712434
2005-06-06,15.3442,15.403,15.2196,15.3265,1289924.8091174
2005-06-07,15.3353,15.4207,15.2538,15.3353,1128588.8512421
2005-06-08,15.3756,15.4286,15.2029,15.2352,1069885.768
2005-06-09,15.245,15.3943,15.1616,15.3599,1031149.2903042
2005-06-10,15.412,15.5101,15.2538,15.2695,1237109.654189
2005-06-13,15.2096,15.4207,15.1154,15.3943,1346348.4971743
2005-06-14,15.3599,15.5288,15.352,15.5012,854175.33704236
2005-06-15,15.5012,15.6367,15.4679,15.6093,1646756.0792558
2005-06-16,15.6004,15.6967,15.574,15.6181,1027896.2124571
2005-06-17,15.6534,15.6712,15.4768,15.5012,9970514.531054
2005-06-20,15.403,15.5288,15.2618,15.3029,1146037.7334203
2005-06-21,15.2862,15.2862,15.0251,15.0781,1517662.6653402
2005-06-22,15.1301,15.2096,15.1056,15.138,743373.10191712
2005-06-23,15.138,15.1704,14.9632,15.0427,890390.01738382
2005-06-24,15.0427,15.0604,14.874,14.9632,1560376.3719004
2005-06-27,14.92,14.92,14.4556,14.4949,2989489.9323226
2005-06-28,14.5872,14.646,14.4801,14.646,1210281.437667
2005-06-29,14.646,14.8915,14.5783,14.6176,2070830.5258576
2005-06-30,14.6795,14.9475,14.5626,14.7963,1410831.5481003
2005-07-01,14.8238,14.9102,14.7138,14.7963,1284269.0980075
2005-07-05,14.7365,14.8238,14.6795,14.7275,938149.35564554
2005-07-06,14.7138,14.9632,14.7138,14.8405,936582.90801596
2005-07-07,14.6873,14.9789,14.5626,14.9789,975924.37263755
2005-07-08,14.9789,15.2538,14.92,15.1783,1246252.697343
2005-07-11,15.2618,15.5288,15.087,15.1154,1237109.654189
2005-07-12,15.0958,15.2695,15.0694,15.1301,1167937.4453392
2005-07-13,15.1301,15.2538,15.087,15.2273,596362.29742947
2005-07-14,15.3088,15.5288,15.3088,15.3943,1117290.6694769
2005-07-15,15.7939,16.5499,15.7939,16.1846,5112664.0492251
