Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,1.09018,1.10015,1.09018,1.09532,2499475.1178396
1985-07-02,1.09532,1.11546,1.09532,1.11546,2969050.7423103
1985-07-03,1.12039,1.14566,1.12039,1.12533,1453318.8735146
1985-07-05,1.13035,1.14566,1.13035,1.14566,796503.250068
1985-07-08,1.14566,1.14566,1.13035,1.13559,802451.34914105
1985-07-09,1.13559,1.14566,1.12533,1.12533,1052095.2252084
1985-07-10,1.12533,1.13559,1.12533,1.13035,695455.47194714
1985-07-11,1.13035,1.14566,1.10518,1.11031,502271.42642701
1985-07-12,1.11031,1.11546,1.10518,1.11546,439862.48367455
1985-07-15,1.11546,1.12533,1.11546,1.12533,451742.47170564
1985-07-16,1.13035,1.15572,1.13035,1.15572,1423599.6539253
1985-07-17,1.15572,1.17596,1.14566,1.15572,3649646.6044628
1985-07-18,1.15572,1.1659,1.14566,1.15572,3376220.4634251
1985-07-19,1.16075,1.17596,1.16075,1.1659,974823.63326473
1985-07-22,1.1659,1.17596,1.15572,1.17596,2933389.5024411
1985-07-23,1.17596,1.19609,1.17596,1.18603,1875349.2175562
1985-07-24,1.18099,1.18099,1.1659,1.1659,1337407.4330703
1985-07-25,1.1659,1.17113,1.15572,1.1659,2389512.7896005
1985-07-26,1.1659,1.20122,1.1659,1.20122,3010663.1206492
1985-07-29,1.20122,1.20122,1.18099,1.19609,1387934.3615273
1985-07-30,1.19096,1.19096,1.18099,1.18099,2469749.8194572
1985-07-31,1.18099,1.18603,1.17596,1.17596,2606464.9162403
1985-08-01,1.17596,1.18603,1.17596,1.18099,2642128.182374
1985-08-02,1.18099,1.18603,1.17596,1.18603,582518.58760549
1985-08-05,1.18603,1.18603,1.1659,1.17596,876746.35871774
1985-08-06,1.17596,1.17596,1.15572,1.15572,1280942.5368622
1985-08-07,1.15572,1.17113,1.14082,1.17113,2395454.8098805
1985-08-08,1.17113,1.17596,1.15572,1.17596,7141778.5083322
1985-08-09,1.17596,1.18099,1.16075,1.16075,2294400.9529665
1985-08-12,1.16075,1.17113,1.15572,1.1659,436883.87504319
1985-08-13,1.15572,1.15572,1.13559,1.14566,1248251.8005668
1985-08-14,1.14566,1.15572,1.14566,1.15572,463630.56479424
1985-08-15,1.1659,1.1659,1.15572,1.15572,534962.16272237
1985-08-16,1.15572,1.1659,1.15572,1.16075,612231.72840167
1985-08-19,1.16075,1.1659,1.15572,1.16075,199126.06580005
1985-08-20,1.16075,1.1659,1.15572,1.15572,502271.42642701
1985-08-21,1.16075,1.17596,1.16075,1.1659,2092304.3835926
1985-08-22,1.1659,1.1659,1.14082,1.14566,1144228.4532111
1985-08-23,1.14566,1.15069,1.14566,1.14566,757867.45409617
1985-08-26,1.14566,1.15572,1.14566,1.15069,454719.05407264
1985-08-27,1.15069,1.1659,1.15069,1.1659,145625.59437263
1985-08-28,1.1659,1.1659,1.15572,1.1659,422024.26524853
1985-08-29,1.1659,1.1659,1.15572,1.1659,481464.73069151
1985-08-30,1.1659,1.17596,1.1659,1.17596,656822.71537186
1985-09-03,1.17596,1.18603,1.17596,1.17596,416086.29749736
1985-09-04,1.17596,1.18603,1.17596,1.17596,707344.57816792
1985-09-05,1.17596,1.17596,1.17596,1.17596,555763.79279694
1985-09-06,1.17596,1.17596,1.17596,1.17596,172379.37604899
1985-09-09,1.17596,1.18603,1.17113,1.18603,1515731.8687958
1985-09-10,1.18603,1.18603,1.17596,1.17596,439862.48367455
1985-09-11,1.17596,1.17596,1.15572,1.15572,1007518.4220888
1985-09-12,1.15572,1.1659,1.14566,1.15069,356643.80579002
1985-09-13,1.15069,1.1659,1.14566,1.15069,855938.64985004
1985-09-16,1.15069,1.15572,1.14566,1.15572,142650.02513781
1985-09-17,1.15572,1.15572,1.14566,1.15572,573596.94556201
1985-09-18,1.15069,1.15069,1.14082,1.14082,633043.48979812
1985-09-19,1.14566,1.15572,1.14566,1.15572,338816.73181806
1985-09-20,1.15572,1.1659,1.14566,1.14566,1090733.0474446
1985-09-23,1.15069,1.1659,1.15069,1.15572,407168.70798264
1985-09-24,1.15572,1.1659,1.15572,1.1659,1319583.3984949
1985-09-25,1.1659,1.1659,1.15572,1.15572,1598950.5466803
1985-09-26,1.15572,1.1659,1.15572,1.16075,383390.49554108
1985-09-30,1.16075,1.1659,1.15572,1.15572,508214.45983913
1985-10-01,1.16075,1.1659,1.16075,1.16075,511196.10786705
1985-10-02,1.16075,1.17596,1.15572,1.15572,1533567.0478252
1985-10-03,1.15572,1.17596,1.15069,1.1659,716258.1151539
1985-10-04,1.1659,1.17596,1.1659,1.17596,193182.01925575
1985-10-07,1.17596,1.17596,1.1659,1.1659,597378.19740015
1985-10-08,1.1659,1.1659,1.13559,1.14082,410138.19842432
1985-10-09,1.14082,1.14566,1.14082,1.14566,71333.624192503
1985-10-10,1.14566,1.15572,1.14566,1.15069,624119.82149026
1985-10-11,1.15069,1.15069,1.14082,1.14082,847028.15226063
1985-10-14,1.14082,1.14566,1.14082,1.14566,89163.73756102
1985-10-15,1.14566,1.16075,1.14566,1.16075,196150.49656524
1985-10-16,1.16075,1.16075,1.15572,1.15572,508214.45983913
1985-10-17,1.15572,1.16075,1.15572,1.15572,300178.90958185
1985-10-18,1.15572,1.15572,1.15572,1.15572,591430.09832709
1985-10-21,1.15572,1.15572,1.14566,1.14566,320978.51339204
1985-10-22,1.14566,1.14566,1.11546,1.12533,4547199.6589161
1985-10-23,1.12533,1.14082,1.12533,1.13035,172379.37604899
1985-10-24,1.13035,1.14566,1.12533,1.14082,924295.69167554
1985-10-25,1.14082,1.14082,1.12533,1.13035,413113.76765912
1985-10-28,1.13035,1.14082,1.11031,1.11546,427971.3511894
1985-10-29,1.11546,1.12533,1.11031,1.12533,496327.37988272
1985-10-30,1.12533,1.14082,1.12039,1.14082,725177.730933
1985-10-31,1.14566,1.15572,1.14566,1.15572,636011.9671076
1985-11-01,1.15572,1.17596,1.15069,1.17596,760837.95767003
1985-11-04,1.17596,1.19096,1.17113,1.19096,1536534.5120025
1985-11-05,1.19096,1.21139,1.19096,1.20122,1964510.9288528
1985-11-06,1.20122,1.22137,1.19609,1.22137,1031291.5688694
1985-11-07,1.22137,1.23153,1.21139,1.21139,740036.32759546
1985-11-08,1.21139,1.21139,1.20122,1.21139,1019406.5151774
1985-11-11,1.21139,1.21139,1.21139,1.21139,832164.48993722
1985-11-12,1.21139,1.21652,1.19609,1.20615,1429550.7923948
1985-11-13,1.20615,1.20615,1.19609,1.19609,555763.79279694
1985-11-14,1.21139,1.21139,1.19609,1.21139,695455.47194714
1985-11-15,1.21139,1.21139,1.20122,1.21139,1307693.2791419
1985-11-18,1.21139,1.22137,1.20122,1.21139,2223073.4075671
1985-11-19,1.21139,1.21652,1.21139,1.21139,3718003.6462884
1985-11-20,1.21139,1.23153,1.21139,1.22137,2214155.8180524
1985-11-21,1.23153,1.25166,1.23153,1.25166,897550.01505668
1985-11-22,1.25166,1.26173,1.2415,1.25166,4556115.2221664
1985-11-25,1.25166,1.25166,1.24672,1.25166,912406.58545477
1985-11-26,1.25166,1.25669,1.25166,1.25166,725177.730933
1985-11-27,1.25166,1.28187,1.25166,1.272,992656.7860298
1985-11-29,1.2869,1.3023,1.2869,1.29204,784618.19637597
