Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,0.952088,0.966872,0.944795,0.944795,982095.95669462
1982-01-04,0.952088,0.952088,0.944795,0.952088,1782092.3505807
1982-01-05,0.937403,0.952088,0.922619,0.922619,5164141.9775047
1982-01-06,0.907835,0.922619,0.892657,0.900245,5788522.1808602
1982-01-07,0.892657,0.900245,0.885658,0.892657,4578786.8051242
1982-01-08,0.900245,0.907835,0.892657,0.900245,2412969.1161735
1982-01-11,0.885658,0.900245,0.878069,0.892657,4929997.8793279
1982-01-12,0.870678,0.878069,0.856288,0.856288,8715310.2181097
1982-01-13,0.841405,0.856288,0.826719,0.833816,6881188.5513447
1982-01-14,0.841405,0.856288,0.833816,0.8486,1912164.6264294
1982-01-15,0.863286,0.878069,0.8486,0.878069,5281215.0412053
1982-01-18,0.878069,0.885658,0.863286,0.885658,3251981.4095244
1982-01-19,0.885658,0.885658,0.878069,0.885658,4929997.8793279
1982-01-20,0.885658,0.885658,0.878069,0.885658,3349540.435819
1982-01-21,0.892657,0.900245,0.885658,0.892657,3895871.5918367
1982-01-22,0.892657,0.900245,0.885658,0.885658,6120230.3783928
1982-01-25,0.885658,0.892657,0.878069,0.892657,3583686.5632203
1982-01-26,0.907835,0.914931,0.900245,0.914931,11817697.197481
1982-01-27,0.922619,0.937403,0.914931,0.929912,12006313.614772
1982-01-28,0.952088,0.966872,0.929912,0.959382,11596558.399126
1982-01-29,0.952088,0.959382,0.944795,0.959382,6360877.1264803
1982-02-01,0.937403,0.944795,0.929912,0.929912,4513749.1452815
1982-02-02,0.937403,0.944795,0.929912,0.937403,5814539.8827891
1982-02-03,0.944795,0.952088,0.937403,0.944795,4669847.2399572
1982-02-04,0.937403,0.944795,0.922619,0.937403,7199888.4052189
1982-02-05,0.952088,0.959382,0.944795,0.952088,8871406.2835608
1982-02-08,0.944795,0.952088,0.937403,0.944795,7316953.3520215
1982-02-09,0.929912,0.937403,0.929912,0.929912,3986928.9828329
1982-02-10,0.937403,0.944795,0.929912,0.944795,4045459.9343158
1982-02-11,0.944795,0.944795,0.937403,0.944795,3947909.0249191
1982-02-12,0.944795,0.944795,0.937403,0.937403,2588580.2336427
1982-02-16,0.929912,0.937403,0.922619,0.937403,4715373.9062307
1982-02-17,0.937403,0.944795,0.929912,0.929912,5495846.1165883
1982-02-18,0.944795,0.944795,0.937403,0.944795,6868183.251523
1982-02-19,0.937403,0.944795,0.922619,0.929912,2959308.3890892
1982-02-22,0.929912,0.944795,0.914931,0.914931,4507247.5099829
1982-02-23,0.914931,0.929912,0.907835,0.922619,3941398.2581104
1982-02-24,0.937403,0.959382,0.922619,0.952088,8442144.1327947
1982-02-25,0.966872,0.981557,0.944795,0.966872,9242130.3805583
1982-02-26,0.966872,0.974166,0.966872,0.966872,3856846.5608617
1982-03-01,0.988949,1.00384,0.966872,0.996534,7895805.8744913
1982-03-02,1.00384,1.01083,0.988949,0.988949,7284437.0586308
1982-03-03,0.974166,0.988949,0.959382,0.974166,7791746.2275103
1982-03-04,0.959382,0.974166,0.937403,0.944795,7238906.3339083
1982-03-05,0.944795,0.952088,0.937403,0.944795,5359263.0739309
1982-03-08,0.922619,0.952088,0.900245,0.900245,4676350.9044802
1982-03-09,0.914931,0.937403,0.885658,0.929912,9027498.2905629
1982-03-10,0.922619,0.929912,0.914931,0.922619,4838948.6052298
1982-03-11,0.914931,0.922619,0.900245,0.900245,2614593.8771227
1982-03-12,0.878069,0.900245,0.856288,0.878069,10204716.358296
1982-03-15,0.892657,0.907835,0.878069,0.900245,3089383.7087746
1982-03-16,0.907835,0.914931,0.900245,0.907835,7199888.4052189
1982-03-17,0.900245,0.907835,0.892657,0.907835,11674610.490301
1982-03-18,0.914931,0.922619,0.907835,0.922619,2907266.8975578
1982-03-19,0.929912,0.944795,0.922619,0.937403,6985258.3444482
1982-03-22,0.959382,0.974166,0.944795,0.974166,9007986.2823816
1982-03-23,0.966872,0.974166,0.952088,0.959382,9443752.0976707
1982-03-24,0.944795,0.959382,0.937403,0.944795,10842098.817637
1982-03-25,0.929912,0.944795,0.922619,0.929912,5203169.0377042
1982-03-26,0.922619,0.922619,0.914931,0.922619,2295898.0816974
1982-03-29,0.929912,0.937403,0.922619,0.937403,3726769.2119518
1982-03-30,0.937403,0.944795,0.937403,0.937403,4890975.8921897
1982-03-31,0.937403,0.937403,0.929912,0.929912,3681242.5456781
1982-04-01,0.937403,0.937403,0.929912,0.937403,4422693.7835098
1982-04-02,0.944795,0.952088,0.944795,0.944795,7609636.5185792
1982-04-05,0.944795,0.952088,0.937403,0.952088,5749501.2083342
1982-04-06,0.966872,0.981557,0.952088,0.974166,7310455.775172
1982-04-07,0.974166,0.981557,0.966872,0.974166,8116940.6143973
1982-04-08,0.996534,1.00384,0.981557,0.996534,6738105.9026131
1982-04-12,0.996534,0.996534,0.988949,0.996534,2113787.3581541
1982-04-13,0.996534,1.00384,0.981557,1.00384,6861680.6016122
1982-04-14,0.996534,0.996534,0.988949,0.996534,3915385.6292426
1982-04-15,1.01083,1.02551,0.988949,1.02551,10770560.537107
1982-04-16,1.02551,1.04039,1.01872,1.0334,10146180.333752
1982-04-19,1.04039,1.06287,1.02551,1.05528,9964064.5371472
1982-04-20,1.04838,1.05528,1.04039,1.04838,8858391.852229
1982-04-21,1.04838,1.05528,1.04838,1.04838,4539763.8033736
1982-04-22,1.05528,1.06287,1.04838,1.06287,7583622.8750993
1982-04-23,1.07766,1.09204,1.06287,1.09204,21085845.279968
1982-04-26,1.09963,1.10692,1.08495,1.09963,4617810.821487
1982-04-27,1.08495,1.09963,1.06987,1.06987,15349348.356843
1982-04-28,1.06987,1.07766,1.06287,1.06987,9300665.3904902
1982-04-29,1.06987,1.06987,1.06287,1.06287,9580337.1695527
1982-04-30,1.06987,1.07766,1.06287,1.07766,8390110.7581613
1982-05-03,1.07766,1.07766,1.06987,1.07766,3908879.9354951
1982-05-04,1.07766,1.08495,1.07766,1.07766,3577178.8402482
1982-05-05,1.06987,1.07766,1.05528,1.06287,8637261.1707719
1982-05-06,1.05528,1.06987,1.04039,1.04039,9912035.2209629
1982-05-07,1.04039,1.04039,1.0334,1.04039,4149530.7420316
1982-05-10,1.04039,1.04838,1.04039,1.04838,15037157.240554
1982-05-11,1.05528,1.06287,1.04039,1.05528,2523538.5153511
1982-05-12,1.05528,1.06287,1.04838,1.05528,2861743.275121
1982-05-13,1.05528,1.05528,1.04838,1.05528,2159315.0390399
1982-05-14,1.06987,1.08495,1.04838,1.07766,6490951.4315536
1982-05-17,1.06987,1.07766,1.06287,1.06287,2445491.4972377
1982-05-18,1.04838,1.06287,1.0334,1.04039,6308841.7226225
1982-05-19,1.01872,1.04039,1.00384,1.00384,8923434.5851329
1982-05-20,1.00384,1.00384,0.996534,1.00384,7967355.3157551
1982-05-21,1.01083,1.01872,1.01083,1.01872,5593408.1867198
1982-05-24,1.02551,1.0334,1.01872,1.02551,4064974.9863339
1982-05-25,1.0334,1.04039,1.01872,1.01872,6302340.087324
1982-05-26,1.00384,1.01083,0.996534,1.00384,13801409.23595
1982-05-27,0.996534,0.996534,0.988949,0.996534,6185264.9943988
1982-05-28,0.996534,1.00384,0.981557,0.988949,3225962.6929832
1982-06-01,0.988949,0.988949,0.981557,0.988949,2848734.9314626
1982-06-02,0.996534,1.00384,0.988949,1.00384,5391786.4696074
1982-06-03,0.996534,1.01083,0.988949,0.996534,2692643.9390727
1982-06-04,0.959382,0.966872,0.944795,0.944795,11564044.13496
1982-06-07,0.944795,0.959382,0.937403,0.944795,5365768.7676784
1982-06-08,0.937403,0.952088,0.922619,0.929912,5287719.7203406
1982-06-09,0.922619,0.929912,0.907835,0.914931,11661605.19048
1982-06-10,0.929912,0.944795,0.922619,0.944795,6978749.6068639
1982-06-11,0.966872,0.974166,0.959382,0.974166,14627410.141805
1982-06-14,0.966872,0.974166,0.959382,0.966872,11277867.676763
1982-06-15,0.966872,0.974166,0.959382,0.966872,8129953.0165047
1982-06-16,0.981557,0.988949,0.974166,0.974166,7889304.2391927
1982-06-17,0.974166,0.974166,0.966872,0.966872,5586903.5075845
1982-06-18,0.966872,0.966872,0.959382,0.959382,5021054.2557119
1982-06-21,0.974166,0.988949,0.966872,0.981557,4910495.0026568
1982-06-22,0.988949,1.00384,0.981557,1.00384,8812868.2297922
1982-06-23,1.02551,1.04838,1.00384,1.04039,12390051.128489
1982-06-24,1.0334,1.04039,1.01872,1.01872,16337950.007286
1982-06-25,1.01872,1.02551,1.01083,1.01872,702427.22146885
1982-06-28,1.02551,1.0334,1.01872,1.02551,2640609.5498272
1982-06-29,1.04039,1.04039,1.0334,1.04039,7115338.7371948
1982-06-30,1.04039,1.04838,1.0334,1.0334,9196602.6996724
1982-07-01,1.0334,1.04039,1.01872,1.02551,5339755.1241984
1982-07-02,1.01083,1.01872,1.00384,1.01083,5495846.1165883
1982-07-06,1.01083,1.01872,1.00384,1.01872,5255203.4269499
1982-07-07,1.02551,1.0334,1.01872,1.02551,3908879.9354951
1982-07-08,1.01872,1.0334,1.01083,1.0334,8474661.4407977
1982-07-09,1.04039,1.06287,1.02551,1.05528,12207937.361109
1982-07-12,1.06287,1.07766,1.05528,1.07766,5925106.23813
1982-07-13,1.06987,1.07766,1.06287,1.06287,8890917.2771299
1982-07-14,1.05528,1.07766,1.05528,1.07766,5925106.23813
1982-07-15,1.08495,1.09963,1.07766,1.09204,10425849.068977
1982-07-16,1.09963,1.10692,1.08495,1.09963,10777066.230855
1982-07-19,1.10692,1.11441,1.09963,1.09963,11577053.493231
1982-07-20,1.09963,1.10692,1.09204,1.10692,11264862.37694
1982-07-21,1.10692,1.1293,1.10692,1.10692,14334733.062922
1982-07-22,1.11441,1.1293,1.09963,1.11441,11583554.113917
1982-07-23,1.12161,1.1293,1.11441,1.12161,5912099.9236961
1982-07-26,1.11441,1.12161,1.10692,1.10692,5847065.3076902
1982-07-27,1.09204,1.10692,1.07766,1.07766,4578786.8051242
1982-07-28,1.06287,1.06987,1.06287,1.06287,7629143.4536993
1982-07-29,1.06987,1.07766,1.05528,1.07766,6529978.4917531
1982-07-30,1.06987,1.08495,1.05528,1.05528,3791807.8864067
1982-08-02,1.06287,1.06987,1.05528,1.06987,2660120.5433963
1982-08-03,1.04838,1.06987,1.0334,1.0334,3336532.0921607
1982-08-04,1.01872,1.0334,0.996534,0.996534,5742998.5584234
1982-08-05,0.988949,0.996534,0.981557,0.988949,7284437.0586308
1982-08-06,0.988949,1.00384,0.974166,0.974166,8221006.3490519
1982-08-09,0.981557,0.996534,0.959382,0.988949,4266600.7618954
1982-08-10,0.988949,0.996534,0.981557,0.981557,3999938.3411035
1982-08-11,0.974166,0.981557,0.966872,0.966872,8090929.0001419
1982-08-12,0.966872,0.974166,0.959382,0.966872,3668233.1874076
1982-08-13,0.974166,0.981557,0.959382,0.981557,2809708.8858753
1982-08-16,0.988949,1.00384,0.974166,0.981557,7199888.4052189
1982-08-17,0.996534,1.02551,0.966872,1.01872,10217725.716567
1982-08-18,1.01872,1.04039,0.988949,0.996534,14250178.321836
1982-08-19,0.981557,0.996534,0.966872,0.974166,8103933.2853512
1982-08-20,1.00384,1.0334,0.974166,1.02551,12292488.043745
1982-08-23,1.04838,1.07766,1.01872,1.06987,20149272.945711
1982-08-24,1.05528,1.06987,1.04039,1.06287,18848485.25204
1982-08-25,1.05528,1.07766,1.04039,1.06287,13801409.23595
1982-08-26,1.07766,1.09963,1.05528,1.06987,15121708.937802
1982-08-27,1.06287,1.06987,1.04838,1.06287,5255203.4269499
1982-08-30,1.06287,1.06987,1.04838,1.06987,5411295.433952
1982-08-31,1.08495,1.09963,1.06287,1.08495,6230794.7045092
1982-09-01,1.10692,1.11441,1.09204,1.09963,10939663.931604
1982-09-02,1.1293,1.15857,1.09963,1.15167,13320116.754387
1982-09-03,1.18824,1.20322,1.17335,1.18824,19752526.073723
1982-09-07,1.17335,1.18824,1.15857,1.17335,9014494.0053536
1982-09-08,1.18824,1.20322,1.17335,1.18084,7167363.9949303
1982-09-09,1.18084,1.18824,1.16616,1.17335,3739780.5994469
1982-09-10,1.16616,1.17335,1.15857,1.17335,5619422.844812
1982-09-13,1.18084,1.20322,1.16616,1.20322,9781954.8282161
1982-09-14,1.21022,1.2179,1.20322,1.20322,8201494.3408704
1982-09-15,1.19553,1.21022,1.18824,1.20322,5599912.8658551
1982-09-16,1.21022,1.2179,1.19553,1.20322,10868118.548789
1982-09-17,1.19553,1.21022,1.17335,1.17335,12142897.672042
1982-09-20,1.16616,1.17335,1.15857,1.17335,7564108.8376933
1982-09-21,1.18084,1.20322,1.15857,1.20322,8663271.770415
1982-09-22,1.19553,1.2248,1.16616,1.16616,12981909.965392
1982-09-23,1.15857,1.17335,1.15167,1.16616,11089258.361757
1982-09-24,1.15857,1.15857,1.15167,1.15857,4689354.1750772
1982-09-27,1.16616,1.17335,1.15167,1.17335,2510533.2155294
1982-09-28,1.15167,1.17335,1.1293,1.1293,6569003.5227281
1982-09-29,1.12161,1.1293,1.11441,1.12161,7264928.0942862
1982-09-30,1.12161,1.1293,1.10692,1.11441,7551095.4209738
1982-10-01,1.11441,1.12161,1.09963,1.12161,10178700.685591
1982-10-04,1.10692,1.11441,1.10692,1.10692,3199954.1225645
1982-10-05,1.12161,1.1293,1.11441,1.11441,8370597.7353676
1982-10-06,1.15857,1.20322,1.11441,1.20322,9632371.5587983
1982-10-07,1.19553,1.21022,1.18084,1.19553,16682661.475416
1982-10-08,1.20322,1.2179,1.18824,1.2179,13118486.920377
1982-10-11,1.26915,1.3139,1.2179,1.29153,19641965.806056
1982-10-12,1.30622,1.33568,1.26915,1.29153,25664629.041256
1982-10-13,1.30622,1.32849,1.28404,1.29882,15212763.284962
1982-10-14,1.27684,1.29153,1.25467,1.26226,9359201.4150344
1982-10-15,1.26226,1.27684,1.25467,1.26915,4715373.9062307
1982-10-18,1.29882,1.3139,1.26226,1.3139,11303883.349466
1982-10-19,1.3139,1.33568,1.29153,1.3139,9599849.1777341
1982-10-20,1.3139,1.37284,1.29882,1.36525,9287659.0760564
1982-10-21,1.38004,1.39482,1.35815,1.38773,8481166.119933
1982-10-22,1.40221,1.43159,1.37284,1.41699,9079532.6798086
1982-10-25,1.37284,1.39482,1.35815,1.35815,5294222.3702514
1982-10-26,1.40221,1.44637,1.35815,1.44637,9196602.6996724
1982-10-27,1.42428,1.44637,1.4095,1.4095,7095821.6559522
1982-10-28,1.39482,1.42428,1.35815,1.38773,9313671.7049241
1982-10-29,1.38004,1.39482,1.36525,1.38773,5788522.1808602
1982-11-01,1.40221,1.42428,1.38004,1.42428,5944624.3339848
1982-11-02,1.46125,1.47593,1.43918,1.45416,10367316.08827
1982-11-03,1.48352,1.4982,1.46125,1.4982,8357592.4355461
1982-11-04,1.49061,1.5055,1.47593,1.48352,8006379.3321178
1982-11-05,1.47593,1.49061,1.46884,1.48352,8546205.8090002
1982-11-08,1.47593,1.49061,1.46125,1.48352,8552710.4881355
1982-11-09,1.5129,1.53517,1.48352,1.52758,9729925.5120318
1982-11-10,1.54995,1.57203,1.52029,1.54226,8773845.2280416
1982-11-11,1.54226,1.56483,1.5129,1.56483,7427521.7365868
1982-11-12,1.58701,1.6016,1.57203,1.58701,9020998.6844889
