Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-10-24,2.83849,3.10097,2.83849,2.91623,17892281.934219
1984-10-25,2.91623,2.9356,2.77045,2.77045,9785613.3481887
1984-10-26,2.70251,2.73129,2.61499,2.65396,6144607.9583699
1984-10-29,2.68283,2.69263,2.55635,2.61499,5821161.498875
1984-10-30,2.62469,2.77045,2.6051,2.62469,4805570.1830377
1984-10-31,2.67323,2.69263,2.54645,2.5951,8068815.1782921
1984-11-01,2.5951,2.68283,2.5951,2.68283,2353817.3747847
1984-11-02,2.67323,2.7216,2.67323,2.67323,1469075.5408948
1984-11-05,2.70251,2.712,2.65396,2.65396,999137.79468946
1984-11-06,2.65396,2.7216,2.65396,2.7216,2373567.8056386
1984-11-07,2.70251,2.7216,2.68283,2.70251,914366.97972914
1984-11-08,2.70251,2.77045,2.70251,2.75077,1811449.7051422
1984-11-09,2.73129,2.75077,2.65396,2.65396,1643554.5283081
1984-11-12,2.67323,2.68283,2.63437,2.68283,361299.86723324
1984-11-13,2.67323,2.68283,2.62469,2.65396,1775237.7460738
1984-11-14,2.67323,2.67323,2.63437,2.65396,397510.82541839
1984-11-15,2.63437,2.65396,2.57582,2.58542,1205715.1106635
1984-11-16,2.57582,2.57582,2.47862,2.50779,2508542.9286938
1984-11-19,2.51748,2.52716,2.46922,2.47862,345668.07130368
1984-11-20,2.50779,2.54645,2.50779,2.54645,271592.6956636
1984-11-21,2.54645,2.55635,2.52716,2.55635,408215.27268863
1984-11-23,2.54645,2.57582,2.52716,2.55635,474055.38024648
1984-11-26,2.57582,2.57582,2.54645,2.55635,173658.2630784
1984-11-27,2.54645,2.54645,2.46922,2.52716,862515.21766442
1984-11-28,2.51748,2.52716,2.49809,2.49809,264185.15809959
1984-11-29,2.49809,2.50779,2.46922,2.46922,466642.8382658
1984-11-30,2.33234,2.42066,2.31316,2.39138,11151815.097239
1984-12-03,2.27459,2.35212,2.27459,2.28449,3574346.5596927
1984-12-04,2.28449,2.33234,2.27459,2.30346,2016380.5680297
1984-12-05,2.33234,2.33234,2.31316,2.31316,1866593.3724965
1984-12-06,2.33234,2.35212,2.31316,2.31316,1197483.8461146
1984-12-07,2.33234,2.3816,2.33234,2.35212,1790877.5490701
1984-12-10,2.34213,2.34213,2.31316,2.31316,3252542.5497508
1984-12-11,2.30346,2.31316,2.28449,2.28449,506151.7070405
1984-12-12,2.31316,2.31316,2.265,2.265,517676.87864564
1984-12-13,2.265,2.28449,2.23572,2.28449,1415585.3328103
1984-12-14,2.28449,2.30346,2.265,2.265,481460.91604381
1984-12-17,2.28449,2.30346,2.28449,2.30346,578580.62959414
1984-12-18,2.30346,2.34213,2.28449,2.34213,858404.58980665
1984-12-19,2.34213,2.3816,2.34213,2.35212,1381835.5467465
1984-12-20,2.36191,2.39138,2.35212,2.3816,2512656.5592016
1984-12-21,2.3816,2.39138,2.37161,2.39138,1394183.4444532
1984-12-24,2.37161,2.39138,2.37161,2.3816,526731.87017942
1984-12-26,2.3816,2.39138,2.37161,2.37161,1403234.4324537
1984-12-27,2.37161,2.39138,2.36191,2.36191,827948.71079906
1984-12-28,2.37161,2.41108,2.36191,2.41108,850992.04782597
1984-12-31,2.39138,2.44993,2.3816,2.44993,448540.8622649
1985-01-02,2.44993,2.44993,2.39138,2.41108,593390.70030549
1985-01-03,2.39138,2.39138,2.34213,2.34213,437841.41941132
1985-01-04,2.34213,2.36191,2.33234,2.36191,227976.20168112
1985-01-07,2.37161,2.41108,2.37161,2.3816,961272.37635118
1985-01-08,2.43045,2.44993,2.39138,2.43045,12764916.74919
1985-01-09,2.43045,2.44993,2.41108,2.41108,1230402.8990101
1985-01-10,2.43045,2.44993,2.41108,2.44993,1547261.5443927
1985-01-11,2.44993,2.46922,2.43045,2.43045,901197.35680424
1985-01-14,2.43045,2.50779,2.43045,2.50779,1001608.9756441
1985-01-15,2.52716,2.54645,2.49809,2.50779,623844.57754641
1985-01-16,2.5951,2.5951,2.54645,2.54645,1964528.8059651
1985-01-17,2.54645,2.5951,2.54645,2.58542,848525.87128796
1985-01-18,2.58542,2.6051,2.57582,2.5951,465003.3913627
1985-01-21,2.5951,2.65396,2.5951,2.65396,1032057.8484684
1985-01-22,2.65396,2.69263,2.63437,2.65396,1050983.5514542
1985-01-23,2.65396,2.69263,2.65396,2.67323,619729.9461553
1985-01-24,2.69263,2.79932,2.69263,2.69263,1822970.873214
1985-01-25,2.69263,2.74097,2.69263,2.7216,791738.75349724
1985-01-28,2.74097,2.74097,2.74097,2.74097,1167032.9715236
1985-01-29,2.73129,2.75077,2.70251,2.75077,1106129.2205751
1985-01-30,2.73129,2.74097,2.67323,2.69263,1599935.0316756
1985-01-31,2.7216,2.75077,2.712,2.74097,2185922.1979504
1985-02-01,2.7216,2.74097,2.69263,2.70251,382701.75559039
1985-02-04,2.69263,2.77045,2.69263,2.75077,1520103.5759747
1985-02-05,2.77045,2.79932,2.77045,2.79932,1990867.0509315
1985-02-06,2.81881,2.89714,2.81881,2.87756,2969430.6877821
1985-02-07,2.87756,2.89714,2.86766,2.87756,895437.27321001
1985-02-08,2.89714,2.9356,2.87756,2.9356,3398220.1183096
1985-02-11,2.91623,2.91623,2.87756,2.91623,2327481.1315848
1985-02-12,2.91623,2.9356,2.91623,2.9356,1548088.2740276
1985-02-13,2.98377,3.07158,2.955,3.0621,4040992.4006085
1985-02-14,3.10097,3.10097,3.0621,3.08118,1523396.4821474
1985-02-15,3.0621,3.10097,3.0621,3.07158,1173618.7838693
1985-02-19,3.0621,3.0621,3.03262,3.0621,809843.73214814
1985-02-20,3.0621,3.12044,3.0621,3.10097,1696230.0173578
1985-02-21,3.12044,3.15931,3.12044,3.13982,1455905.9179699
1985-02-22,3.13982,3.15931,3.07158,3.09107,1608988.0214427
1985-02-25,3.09107,3.09107,3.00334,3.04251,619729.9461553
1985-02-26,3.03262,3.07158,3.03262,3.0621,669105.52284866
1985-02-27,3.0621,3.0621,3.01314,3.01314,1706930.4610946
1985-02-28,3.01314,3.03262,2.9356,3.01314,1269085.0381499
1985-03-01,3.01314,3.07158,3.01314,3.0621,2405660.1288993
1985-03-04,3.08118,3.10097,3.04251,3.04251,1487180.5195458
1985-03-05,3.0621,3.07158,3.04251,3.07158,1624624.821789
1985-03-06,3.0621,3.07158,3.01314,3.01314,1296241.0048013
1985-03-07,3.01314,3.01314,2.98377,3.00334,1344801.8624598
1985-03-08,3.00334,3.00334,2.96468,2.97437,4362789.404367
1985-03-11,2.955,2.955,2.89714,2.91623,3907657.7253398
1985-03-12,2.9451,2.99345,2.9356,2.97437,799144.28929458
1985-03-13,2.97437,3.05251,2.955,3.02283,2263286.47623
1985-03-14,3.01314,3.04251,2.99345,2.99345,2209792.2646122
1985-03-15,2.99345,2.99345,2.91623,2.91623,2311018.6024869
1985-03-18,2.9356,2.955,2.91623,2.9356,1116004.9364438
1985-03-19,2.9451,3.04251,2.92592,3.02283,1159623.4321929
1985-03-20,3.02283,3.03262,3.01314,3.02283,344019.61645057
1985-03-21,3.02283,3.0621,3.01314,3.02283,1837786.9492253
1985-03-22,3.02283,3.0621,3.01314,3.0621,646888.91545665
1985-03-25,3.03262,3.0621,3.01314,3.03262,404921.36563241
1985-03-26,3.03262,3.16911,3.02283,3.16911,3028689.9874108
1985-03-27,3.20767,3.25642,3.19808,3.25642,2729933.3180292
1985-03-28,3.25642,3.33426,3.25642,3.32436,3960333.2143893
1985-03-29,3.31457,3.33426,3.30469,3.30469,2419651.4770424
1985-04-01,3.20767,3.30469,3.20767,3.30469,1494587.0562264
1985-04-02,3.31457,3.37332,3.31457,3.35364,1092957.5958835
1985-04-03,3.33426,3.34414,3.30469,3.33426,966213.73737718
1985-04-04,3.31457,3.33426,3.28509,3.30469,500393.62521295
1985-04-08,3.28509,3.30469,3.23695,3.23695,981852.5394901
1985-04-09,3.20767,3.20767,3.16911,3.16911,532489.95200698
1985-04-10,3.16911,3.23695,3.16911,3.23695,544831.84441365
1985-04-11,3.23695,3.30469,3.23695,3.28509,1468253.8156766
1985-04-12,3.25642,3.28509,3.23695,3.23695,496275.99117183
1985-04-15,3.25642,3.25642,3.19808,3.19808,571171.09026346
1985-04-16,3.17849,3.23695,3.17849,3.22725,852639.50179574
1985-04-17,3.22725,3.25642,3.21765,3.25642,631250.11334375
1985-04-18,3.25642,3.25642,3.19808,3.19808,598328.05779815
1985-04-19,3.17849,3.17849,3.15931,3.15931,438665.14639621
1985-04-22,3.15931,3.20767,3.15931,3.20767,316861.64803255
