Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-10-24,18.0,18.0,18.0,18.0,
2007-10-25,33.0,35.0,28.89,29.82,7487306.0
2007-10-26,29.69,32.98,29.25,32.0,1625582.0
2007-10-29,34.0,35.0,32.65,34.7,668513.0
2007-10-30,35.22,35.6,33.0,35.43,455543.0
2007-10-31,34.93,35.63,32.95,34.2,393584.0
2007-11-01,33.5,33.5,32.14,32.73,453876.0
2007-11-02,32.74,32.97,31.52,32.42,275937.0
2007-11-05,31.61,32.25,31.11,31.5,342379.0
2007-11-06,31.51,31.9,31.35,31.43,223066.0
2007-11-07,31.3,31.3,29.25,29.35,525585.0
2007-11-08,29.25,30.15,29.25,30.0,411088.0
2007-11-09,29.65,30.08,29.06,29.9,213304.0
2007-11-12,29.67,31.16,29.04,29.04,112874.0
2007-11-13,29.3,30.0,28.41,29.13,236667.0
2007-11-14,29.16,30.25,29.1,29.95,244425.0
2007-11-15,29.71,30.69,29.71,30.2,76798.0
2007-11-16,30.2,30.7,30.0,30.69,88818.0
2007-11-19,30.05,30.69,28.75,29.19,238207.0
2007-11-20,29.71,29.72,25.26,27.0,742895.0
2007-11-21,26.33,26.41,23.26,24.35,810361.0
2007-11-23,23.74,24.24,22.85,24.17,100153.0
2007-11-26,24.77,25.33,24.0,24.2,233800.0
2007-11-27,24.44,25.0,23.8,23.87,211115.0
2007-11-28,24.47,25.31,24.2,24.85,417363.0
2007-11-29,24.49,25.02,24.19,24.79,341654.0
2007-11-30,25.0,26.23,24.76,25.74,199068.0
2007-12-03,25.98,26.75,25.55,26.3,319191.0
2007-12-04,26.29,26.66,25.73,25.85,180419.0
2007-12-05,26.08,26.75,26.01,26.54,168430.0
2007-12-06,26.55,27.5,26.55,27.49,102070.0
2007-12-07,27.67,28.85,27.66,27.98,103190.0
2007-12-10,28.23,28.53,26.53,27.5,281467.0
2007-12-11,26.5,26.79,19.35,20.91,3591083.0
2007-12-12,21.12,21.85,18.41,19.55,1121328.0
2007-12-13,19.55,19.76,17.53,18.56,1190276.0
2007-12-14,18.7,18.7,18.1,18.55,173455.0
2007-12-17,18.6,18.6,17.41,17.86,161501.0
2007-12-18,18.0,18.0,17.12,17.7,220884.0
2007-12-19,17.81,17.92,17.1,17.75,143351.0
2007-12-20,17.75,17.75,16.5,16.75,252613.0
2007-12-21,17.0,17.15,15.6,16.58,1079970.0
2007-12-24,16.74,16.83,16.23,16.8,189595.0
2007-12-26,16.7,17.95,16.41,17.35,270613.0
2007-12-27,17.25,17.45,17.0,17.27,123358.0
2007-12-28,17.26,17.48,16.9,17.1,236445.0
2007-12-31,17.0,17.35,16.88,17.15,515246.0
2008-01-02,17.0,17.1,16.23,16.55,213031.0
2008-01-03,16.24,16.86,15.05,15.5,296493.0
2008-01-04,15.75,15.75,14.49,14.49,334323.0
2008-01-07,14.56,14.75,11.83,12.52,993206.0
2008-01-08,12.8,13.75,12.35,13.55,703928.0
2008-01-09,13.49,14.5,13.39,14.5,1019745.0
2008-01-10,14.35,16.26,14.35,16.07,1232662.0
2008-01-11,15.7,16.0,15.21,15.8,417765.0
2008-01-14,15.77,16.41,15.58,16.05,237893.0
2008-01-15,15.65,16.06,15.58,15.61,291563.0
2008-01-16,15.6,16.33,15.59,15.91,297034.0
2008-01-17,15.83,15.92,14.39,14.76,188877.0
2008-01-18,14.66,14.74,12.0,12.5,951079.0
2008-01-22,12.0,12.86,11.78,12.58,1503690.0
2008-01-23,12.28,14.5,12.27,14.25,391619.0
2008-01-24,14.3,14.55,13.99,14.3,579310.0
2008-01-25,14.53,15.68,14.25,15.19,340111.0
2008-01-28,15.11,15.76,14.83,15.5,212308.0
2008-01-29,15.5,16.6,15.14,16.35,233901.0
2008-01-30,16.11,16.53,15.49,15.55,330010.0
2008-01-31,15.4,15.77,15.21,15.24,281690.0
2008-02-01,15.55,15.68,14.1,14.75,374970.0
2008-02-04,14.63,14.88,13.88,14.03,189300.0
2008-02-05,13.71,14.19,13.69,14.0,165919.0
2008-02-06,14.04,14.75,14.0,14.2,92123.0
2008-02-07,14.15,16.25,13.93,15.92,243424.0
2008-02-08,15.75,15.78,15.12,15.55,395631.0
2008-02-11,15.55,15.6,14.79,15.09,125144.0
2008-02-12,15.14,15.86,14.8,14.91,123590.0
2008-02-13,15.02,15.08,14.5,14.93,147478.0
2008-02-14,14.99,15.09,14.33,14.79,174501.0
2008-02-15,14.74,14.79,14.44,14.79,67064.0
2008-02-19,15.05,16.04,14.75,14.78,119370.0
2008-02-20,14.74,15.0,14.4,14.92,72220.0
2008-02-21,15.06,15.53,14.76,14.78,123519.0
2008-02-22,14.79,14.88,13.49,14.0,155277.0
2008-02-25,14.0,14.3,13.9,14.15,275205.0
2008-02-26,14.08,15.48,14.08,15.17,141379.0
2008-02-27,14.96,14.96,14.64,14.82,106448.0
2008-02-28,15.04,15.05,14.58,14.62,192409.0
2008-02-29,14.5,14.68,13.79,14.01,155863.0
2008-03-03,14.25,15.1,14.25,14.75,269544.0
2008-03-04,14.57,14.94,14.03,14.32,65716.0
2008-03-05,14.42,14.79,14.08,14.44,110225.0
2008-03-06,14.34,14.45,14.0,14.3,121343.0
2008-03-07,14.09,14.31,13.42,13.48,117930.0
2008-03-10,13.5,13.66,12.5,12.69,228666.0
2008-03-11,13.04,13.35,12.73,12.82,137858.0
2008-03-12,12.86,13.15,12.14,12.22,176753.0
2008-03-13,12.0,12.0,10.44,10.49,271105.0
2008-03-14,10.8,11.0,10.08,10.7,691423.0
2008-03-17,10.15,11.51,10.14,11.28,175216.0
2008-03-18,11.7,11.93,11.0,11.8,254946.0
2008-03-19,12.0,12.26,11.46,11.5,240100.0
2008-03-20,10.71,13.35,10.35,12.78,745873.0
2008-03-24,13.03,14.96,12.51,13.99,205511.0
2008-03-25,13.88,17.12,13.88,15.02,390051.0
2008-03-26,14.89,14.89,14.29,14.65,131420.0
2008-03-27,14.73,14.73,13.9,14.47,113697.0
2008-03-28,14.4,14.66,14.02,14.02,147101.0
2008-03-31,14.16,14.46,13.63,14.04,163511.0
2008-04-01,14.0,14.84,14.0,14.32,266137.0
2008-04-02,14.35,14.48,13.98,13.98,142847.0
2008-04-03,13.81,14.15,13.81,14.07,100769.0
2008-04-04,14.11,14.11,13.5,13.82,133291.0
2008-04-07,13.89,14.03,13.49,13.52,94993.0
2008-04-08,13.32,14.9,13.32,14.18,194591.0
2008-04-09,14.25,14.27,13.55,13.73,198808.0
2008-04-10,13.76,14.99,13.73,14.91,129359.0
2008-04-11,14.85,14.88,14.24,14.3,120849.0
2008-04-14,14.36,14.85,14.06,14.41,116044.0
