Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-11-10,43.794,47.3703,43.4567,45.98,114546493.39546
1999-11-11,46.3183,51.831,46.3183,50.5284,40135515.240077
1999-11-12,51.2089,51.6243,46.6567,47.5019,20937694.281303
1999-11-15,47.5019,47.7515,45.353,46.4909,12299256.952929
1999-11-17,44.1743,45.9391,43.8798,45.6076,8232820.5619741
1999-11-18,45.7674,46.447,44.5497,44.6745,6690006.8996494
1999-11-19,44.6745,44.6745,43.2861,43.794,7217989.9273354
1999-11-22,43.1554,43.2861,41.1,42.5323,6784575.1878111
1999-11-23,42.7001,45.1415,42.6172,44.5906,4015397.3717822
1999-11-24,44.6657,46.1497,44.6287,45.8113,3089877.5847916
1999-11-26,46.3183,46.995,46.1497,46.7834,1874996.518093
1999-11-29,47.3791,47.5439,45.3433,46.1068,2817098.883746
1999-11-30,45.6007,45.7674,44.7134,44.7134,2390489.2784019
1999-12-01,44.8412,45.6007,44.4141,44.5829,1992953.5447393
1999-12-02,44.6657,45.3901,44.5829,45.3901,1972110.4495155
1999-12-03,45.6426,45.8113,44.8763,44.967,2486050.3879482
1999-12-06,45.005,45.005,44.2455,44.8412,1983310.4593493
1999-12-07,44.6287,46.0219,44.5829,46.0219,2542198.1295552
1999-12-08,46.0219,46.2774,45.1766,46.2774,2515117.0801362
1999-12-09,46.2774,46.5299,45.0937,45.6845,2429480.0818677
1999-12-10,44.9251,45.3433,44.2455,44.7525,1770220.0158399
1999-12-13,44.9251,45.3034,43.9071,44.6657,2010106.3803127
1999-12-14,44.6657,44.6657,43.8214,43.991,2674751.066453
1999-12-15,43.991,44.0358,43.1057,43.1427,2272392.7644536
1999-12-16,43.1427,43.3543,42.8073,43.3163,1934677.5961356
1999-12-17,43.8214,45.7674,43.7823,45.0937,2808310.1580805
1999-12-20,45.8113,46.3631,45.3034,46.3631,2128491.0996424
1999-12-21,46.1925,46.7025,45.6845,46.7025,1793758.4980458
1999-12-22,46.6567,46.6567,44.7134,45.3433,1793049.7794748
1999-12-23,45.005,45.9391,44.4141,45.8552,1673812.7517045
1999-12-27,46.3631,47.1666,45.6845,47.1666,2096590.5588124
1999-12-28,47.0398,47.1666,46.0658,46.7025,1490638.2318979
1999-12-29,46.7025,46.9531,45.7275,46.0219,1282650.3569712
1999-12-30,46.8711,47.0398,46.0219,46.0219,1313845.2561561
1999-12-31,46.6166,47.0398,46.2774,46.7025,920555.68006785
2000-01-03,47.1666,47.2075,45.3433,45.3901,1805100.0464655
2000-01-04,45.3433,45.3433,43.7375,43.9471,1964741.2122757
2000-01-05,43.9071,46.0219,43.8214,46.0219,1987280.7192456
2000-01-06,44.5829,46.1068,43.991,46.0219,2777541.925937
2000-01-07,45.7674,45.7674,44.5009,44.9251,1412092.521907
2000-01-10,45.2644,45.6426,44.967,45.3901,1689549.1757779
2000-01-11,45.4301,45.6426,44.1626,44.1626,1446116.1415242
2000-01-12,44.7525,45.6845,44.2873,45.6007,1556279.3151736
2000-01-13,45.7674,46.3631,45.6007,46.2354,1518710.0514175
2000-01-14,46.6166,46.8711,46.2354,46.7405,1644606.5722145
2000-01-18,46.7025,46.7025,45.6007,46.4909,1390119.1692804
2000-01-19,46.3631,46.4021,45.6426,46.1925,1541536.7381266
2000-01-20,46.1068,46.7834,46.1068,46.6166,2795834.2496904
2000-01-21,46.6166,46.6166,45.1336,45.5139,1800703.1195279
2000-01-24,45.9391,46.1925,44.6657,44.6657,1178729.2400846
2000-01-25,44.4141,45.0937,43.8214,44.5829,1790639.5209482
2000-01-26,44.1626,44.4141,43.6555,44.0748,1323343.7260344
2000-01-27,44.2046,44.2455,43.3163,44.0748,1599800.3790273
2000-01-28,44.0748,44.5829,43.3163,43.9471,1878115.4951904
2000-01-31,42.6367,43.3163,39.9292,40.6049,8146195.8705307
2000-02-01,40.3952,41.6227,39.464,41.5368,6749977.2087152
2000-02-02,40.4371,40.5648,38.7017,39.4201,6721055.1320388
2000-02-03,40.0978,40.2704,38.8304,38.9951,2767334.7374876
2000-02-04,39.3802,39.3802,37.946,38.1605,2474286.2750548
2000-02-07,38.3272,38.4481,37.5668,37.7344,2098575.1759395
2000-02-08,38.0718,40.1826,37.7344,40.1826,2913650.763393
2000-02-09,40.2704,40.3523,39.2515,39.2515,1714649.7106374
2000-02-10,39.2944,39.5869,38.2443,38.6187,1411670.9830754
2000-02-11,38.4481,38.5739,37.3133,37.3133,1437473.0570123
2000-02-14,37.437,37.5668,36.6356,36.8052,2910388.1964258
2000-02-15,36.8481,37.2255,36.2554,37.1855,1677078.3955974
2000-02-16,37.3532,38.1986,36.8901,37.906,2169178.3148541
2000-02-17,38.2443,39.4201,37.9899,39.2515,1468805.3922153
2000-02-18,39.2515,40.2265,37.3971,38.5301,2168046.0061675
2000-02-22,38.5301,38.5301,36.9291,37.2255,1738178.962066
2000-02-23,37.2704,38.0718,36.5917,37.1855,1213183.6293109
2000-02-24,37.3396,37.3396,36.5352,36.7058,1487659.7677444
2000-02-25,37.3006,37.8465,36.7058,37.6808,1363463.7612609
2000-02-28,37.7217,37.7628,37.0022,37.3396,801887.88356659
2000-02-29,37.3396,37.5501,37.0022,37.0881,1064596.832181
2000-03-01,37.0881,37.126,35.217,35.6411,2085537.2157739
2000-03-02,35.3837,36.4084,35.3457,36.1988,1611433.2097541
2000-03-03,36.1988,36.3236,35.685,35.7679,1461292.565106
2000-03-06,36.9165,36.9165,35.6411,35.8107,2029528.961469
2000-03-07,35.8107,35.8516,33.2611,34.3726,3287940.3227986
2000-03-08,35.8107,37.0022,34.8377,36.8755,3225843.8580199
2000-03-09,37.0022,37.0022,35.5963,35.9813,1700893.8011235
2000-03-10,36.4961,36.9165,36.0213,36.2837,1101174.3001944
2000-03-13,35.4715,36.7897,35.3837,35.8107,952313.65667016
2000-03-14,35.6411,36.3236,35.5114,35.685,1520551.078675
2000-03-15,35.9346,37.5949,35.0483,37.3006,3225134.1138069
2000-03-16,37.9314,39.1228,37.3815,38.1829,2318472.804913
2000-03-17,38.7396,38.7396,37.6808,37.6808,882414.10811696
2000-03-20,38.3555,38.6128,37.5112,38.4004,1195741.5627142
2000-03-21,38.2307,39.6346,37.5112,39.5051,1260395.9784569
2000-03-22,39.5051,40.0978,38.5651,38.6128,1081895.3089079
2000-03-23,38.5651,40.6916,38.0191,40.479,2088224.3976205
2000-03-24,40.7335,43.5337,40.6049,43.2773,3045641.6485154
2000-03-27,42.7713,43.4508,42.5178,42.8989,1361618.6314357
2000-03-28,42.431,42.7713,40.7775,40.8993,906380.28300607
2000-03-29,41.5877,41.5877,39.5869,40.0978,1233033.9031502
