Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-11-05,2.05872,2.18919,2.05872,2.12411,4005396.3096341
1987-11-06,2.16012,2.2255,2.12411,2.16012,6361954.9240166
1987-11-09,2.16012,2.18919,2.08036,2.14553,4228884.2760625
1987-11-10,2.14553,2.1747,2.08036,2.12411,2468292.8909905
1987-11-11,2.1384,2.14553,2.09504,2.1384,948582.68891191
1987-11-12,2.1384,2.16012,2.09504,2.14553,16530639.515918
1987-11-13,2.12411,2.14553,2.08036,2.10953,1286295.953624
1987-11-16,2.10953,2.14553,2.07311,2.10953,4002911.4184465
1987-11-17,2.10953,2.12411,2.04404,2.12411,5929875.055561
1987-11-18,2.1384,2.1384,2.09504,2.1384,2115683.5618771
1987-11-19,2.14553,2.14553,2.04404,2.10953,2585005.1239578
1987-11-20,2.12411,2.1384,2.07311,2.12411,4037678.4383644
1987-11-23,2.10953,2.1384,2.09504,2.12411,1234145.9346212
1987-11-24,2.1384,2.14553,2.09504,2.1384,2945074.235374
1987-11-25,2.1384,2.14553,2.04404,2.12411,17285529.432448
1987-11-27,2.06558,2.12411,2.06558,2.12411,747441.37345551
1987-11-30,2.04404,2.10953,2.01498,2.09504,52643759.320857
1987-12-01,2.01498,2.06558,1.9862,2.05872,1281328.2147449
1987-12-02,1.97877,2.00059,1.88452,1.9862,5505245.7736763
1987-12-03,1.96428,1.96428,1.87003,1.96428,4400230.3974723
1987-12-04,1.9862,1.9862,1.89909,1.89909,4832301.0701955
1987-12-07,1.9358,1.95038,1.91368,1.9358,6106178.6983697
1987-12-08,1.96428,1.9862,1.92102,1.97877,3541036.3559444
1987-12-09,1.9862,2.00059,1.9358,1.9862,4134522.7810592
1987-12-10,1.9862,2.09504,1.95038,2.05872,5947249.8806618
1987-12-11,2.04404,2.06558,2.01498,2.04404,2659500.7721845
1987-12-14,1.96428,2.02947,1.92102,1.97877,4862096.2642422
1987-12-15,1.9862,2.00059,1.9358,1.96428,5798265.7364444
1987-12-16,1.9862,2.04404,1.9358,2.04404,5276794.1553607
1987-12-17,2.06558,2.10953,2.00059,2.06558,5130280.5978587
1987-12-18,2.08036,2.08036,2.04404,2.06558,3377145.9298454
1987-12-21,2.08036,2.09504,2.04404,2.08036,2815940.6117129
1987-12-22,2.08036,2.10953,2.06558,2.09504,4050089.6115781
1987-12-23,2.09504,2.1747,2.06558,2.16012,5842960.0601364
1987-12-24,2.1747,2.21816,2.1747,2.18919,1571868.3950655
1987-12-28,2.1747,2.1747,2.08036,2.1747,3002181.7757758
1987-12-29,2.16012,2.1747,2.12411,2.1747,2212526.8828238
1987-12-30,2.1747,2.1747,2.1384,2.1747,4914243.218001
1987-12-31,2.14553,2.21816,2.14553,2.21816,1663741.9336371
1988-01-04,2.16012,2.23979,2.16012,2.23979,4102236.5653368
1988-01-05,2.2255,2.30507,2.21816,2.30507,2895409.1075589
1988-01-06,2.31975,2.42849,2.30507,2.41351,5279272.9160602
1988-01-07,2.41351,2.47899,2.39922,2.46469,8405616.4896261
1988-01-08,2.46469,2.46469,2.37759,2.37759,3056812.5989741
1988-01-11,2.33423,2.42849,2.23979,2.38464,1703469.540198
1988-01-12,2.38464,2.38464,2.2255,2.33423,1805281.621772
1988-01-13,2.30507,2.37759,2.28324,2.33423,2041188.9353982
1988-01-14,2.36301,2.41351,2.29783,2.39922,1137303.6354224
1988-01-15,2.38464,2.47899,2.38464,2.44277,4767737.834483
1988-01-18,2.41351,2.47899,2.41351,2.46469,2679365.597213
1988-01-19,2.46469,2.46469,2.39922,2.41351,2190177.1666078
1988-01-20,2.42849,2.42849,2.36301,2.41351,2038706.0877067
1988-01-21,2.42849,2.42849,2.28324,2.30507,3600635.9397698
1988-01-22,2.29783,2.29783,2.2255,2.28324,16317081.918508
1988-01-25,2.30507,2.30507,2.23979,2.28324,4382835.1374111
1988-01-26,2.28324,2.28324,2.2255,2.25427,1524687.1366899
1988-01-27,2.25427,2.26886,2.20348,2.2255,4581494.6269239
1988-01-28,2.2255,2.28324,2.16012,2.28324,4633640.5589346
1988-01-29,2.2255,2.36301,2.2255,2.36301,10541168.963524
1988-02-01,2.37759,2.44277,2.36301,2.42849,9061180.2375179
1988-02-02,2.44277,2.49376,2.42849,2.45736,9448565.7822815
1988-02-03,2.45736,2.46469,2.39922,2.41351,20496295.958015
1988-02-04,2.38464,2.47899,2.38464,2.41351,4655995.3838909
1988-02-05,2.44277,2.47899,2.44277,2.45736,5030957.4944644
1988-02-08,2.44277,2.46469,2.42849,2.45736,2865606.7612761
1988-02-09,2.44277,2.46469,2.38464,2.41351,2843263.1755481
1988-02-10,2.44277,2.49376,2.44277,2.45736,5872759.3411751
1988-02-11,2.47899,2.49376,2.46469,2.49376,6662415.2558751
1988-02-12,2.49376,2.50805,2.47899,2.50805,1239115.7169964
1988-02-16,2.50805,2.50805,2.45736,2.47899,1075224.2691495
1988-02-17,2.47899,2.49376,2.44277,2.49376,2254743.4675644
1988-02-18,2.47899,2.49376,2.41351,2.47899,2048634.4132288
1988-02-19,2.49376,2.50805,2.46469,2.50805,1345891.4504574
1988-02-22,2.47899,2.49376,2.39922,2.46469,1440247.8367206
1988-02-23,2.50805,2.50805,2.45736,2.49376,17325257.039009
1988-02-24,2.52303,2.60211,2.50805,2.58772,33523148.985598
1988-02-25,2.57334,2.63128,2.57334,2.58772,3908551.9669392
1988-02-26,2.58772,2.60211,2.57334,2.57334,28857225.276185
1988-02-29,2.5519,2.61669,2.5519,2.60211,29550038.891687
1988-03-01,2.60211,2.60211,2.5519,2.57334,15460378.898656
1988-03-02,2.60211,2.64576,2.566,2.63128,1802799.7958285
1988-03-03,2.58772,2.64576,2.58772,2.64576,3106477.7267893
