Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,1.10242,1.1206,1.10242,1.10242,999235.57529923
1985-07-02,1.10609,1.1206,1.10609,1.11358,2912261.356581
1985-07-03,1.11358,1.11358,1.08426,1.09157,1196462.0229931
1985-07-05,1.09532,1.10609,1.09532,1.10609,560983.4862037
1985-07-08,1.09532,1.10609,1.09532,1.10609,560983.4862037
1985-07-09,1.10609,1.10609,1.06977,1.08426,1674160.4422355
1985-07-10,1.08426,1.09907,1.08062,1.09157,4658745.100358
1985-07-11,1.09157,1.12453,1.08426,1.12453,2395109.3229353
1985-07-12,1.12453,1.13174,1.11358,1.13174,1139470.0001614
1985-07-15,1.13174,1.16115,1.12453,1.16115,1593092.9110734
1985-07-16,1.16115,1.20122,1.16115,1.20122,2899122.6390768
1985-07-17,1.20122,1.20122,1.18642,1.19392,3661691.6801837
1985-07-18,1.17941,1.17941,1.1647,1.17182,2101474.6998969
1985-07-19,1.17182,1.18268,1.1647,1.17941,1597474.9116604
1985-07-22,1.17182,1.17182,1.15356,1.16115,571939.00797503
1985-07-23,1.16115,1.16807,1.15356,1.15711,2872815.0264341
1985-07-24,1.15711,1.1647,1.12837,1.12837,1439697.9159375
1985-07-25,1.12837,1.13174,1.09532,1.11358,3479808.9984965
1985-07-26,1.11358,1.1206,1.10609,1.11358,337461.91316409
1985-07-29,1.11358,1.11358,1.09157,1.09532,2947318.4018844
1985-07-30,1.09532,1.10609,1.08426,1.10609,2162829.9923702
1985-07-31,1.10609,1.12453,1.09907,1.09907,4682849.7457143
1985-08-01,1.09907,1.11358,1.09532,1.10242,3771255.2227615
1985-08-02,1.10242,1.11358,1.10242,1.10609,3048121.0651127
1985-08-05,1.10609,1.11358,1.10242,1.10242,363769.52580667
1985-08-06,1.10242,1.11358,1.09532,1.09532,1200852.3484446
1985-08-07,1.09532,1.09532,1.07687,1.08783,957606.04941946
1985-08-08,1.09157,1.1206,1.09157,1.1206,1270963.3172272
1985-08-09,1.1206,1.13174,1.11358,1.12453,714367.03465081
1985-08-12,1.12453,1.12453,1.10609,1.11358,447032.73999851
1985-08-13,1.11002,1.11002,1.09907,1.10609,707804.96015518
1985-08-14,1.11358,1.13924,1.11358,1.1354,874342.83522762
1985-08-15,1.1354,1.14251,1.11358,1.1206,311173.03146678
1985-08-16,1.1206,1.13924,1.11358,1.13924,350613.11796521
1985-08-19,1.1354,1.1354,1.1206,1.12453,230097.17544017
1985-08-20,1.12453,1.16115,1.12453,1.15711,856808.58923152
1985-08-21,1.15711,1.16807,1.15356,1.15356,1270963.3172272
1985-08-22,1.15356,1.15711,1.1354,1.1354,1097851.9209704
1985-08-23,1.1354,1.15356,1.12837,1.13924,1130724.7299328
1985-08-26,1.13924,1.17182,1.12837,1.17182,1084698.6349531
1985-08-27,1.17182,1.17566,1.16115,1.1647,830516.58571
1985-08-28,1.1647,1.18642,1.15711,1.18642,1450659.6813574
1985-08-29,1.18268,1.18268,1.1647,1.17941,922541.71985953
1985-08-30,1.17941,1.18642,1.17566,1.17941,519343.55424322
1985-09-03,1.17941,1.18268,1.17182,1.18268,891868.75635916
1985-09-04,1.18268,1.19728,1.18268,1.19392,1422161.5887254
1985-09-05,1.19392,1.20122,1.18642,1.19045,1691690.5257993
1985-09-06,1.19045,1.19728,1.19045,1.19728,335265.18952624
1985-09-09,1.19728,1.19728,1.17566,1.18268,1948081.7859772
1985-09-10,1.18268,1.19392,1.17566,1.17566,1308215.0049524
1985-09-11,1.17566,1.19045,1.17566,1.18642,1062788.6320185
1985-09-12,1.18642,1.21573,1.18642,1.20824,2278967.0561326
1985-09-13,1.20824,1.21938,1.20122,1.21573,1380532.0628455
1985-09-16,1.21573,1.21573,1.20122,1.21573,501814.51128746
1985-09-17,1.21573,1.21573,1.18642,1.20487,2373204.523041
1985-09-18,1.19392,1.19392,1.1354,1.15029,1619392.1988514
1985-09-19,1.15356,1.1647,1.15356,1.15711,626713.4950075
1985-09-20,1.16115,1.17941,1.16115,1.17182,2623006.6529134
1985-09-23,1.17182,1.18268,1.16115,1.1647,883101.63336111
1985-09-24,1.1647,1.17182,1.1647,1.16807,1025532.7818611
1985-09-25,1.16807,1.17182,1.1647,1.1647,1012389.9019246
1985-09-26,1.1647,1.1647,1.14251,1.14251,414162.01225222
1985-09-30,1.14251,1.15029,1.12837,1.13924,2879393.7506589
1985-10-01,1.13924,1.14644,1.1354,1.14644,2395109.3229353
1985-10-02,1.14644,1.16115,1.1354,1.13924,817361.21847661
1985-10-03,1.13924,1.14644,1.12453,1.13924,1755250.8667751
1985-10-04,1.13924,1.15711,1.13174,1.15711,556598.36379257
1985-10-07,1.15711,1.17566,1.15029,1.17182,1682935.8900981
1985-10-08,1.17182,1.17566,1.16115,1.17182,365949.59971539
1985-10-09,1.17182,1.17941,1.1647,1.1647,295829.26546011
1985-10-10,1.1647,1.17182,1.15029,1.17182,510576.43124516
1985-10-11,1.17182,1.18642,1.16115,1.18642,201597.00159201
1985-10-14,1.19045,1.20122,1.19045,1.20122,313356.22719972
1985-10-15,1.21573,1.27407,1.21573,1.27407,3354906.8929522
1985-10-16,1.27407,1.33229,1.25955,1.33229,2088330.7793522
1985-10-17,1.33229,1.39986,1.33229,1.34691,4294983.8994159
1985-10-18,1.33988,1.33988,1.30328,1.33229,2410445.8046854
1985-10-21,1.33229,1.33229,1.31788,1.32154,341843.913751
1985-10-22,1.32154,1.33229,1.31067,1.32903,1253430.1118391
1985-10-23,1.32903,1.34335,1.32154,1.34335,720932.23097066
1985-10-24,1.35814,1.3763,1.35814,1.3692,1476941.2787981
1985-10-25,1.3692,1.3763,1.36161,1.36161,457977.85568913
1985-10-28,1.36161,1.3692,1.33988,1.33988,208161.1573038
1985-10-29,1.33988,1.36161,1.33988,1.36161,1579936.5032319
1985-10-30,1.36536,1.39659,1.36536,1.39659,1205236.4302476
1985-10-31,1.39659,1.45838,1.39659,1.42186,3473233.396096
1985-11-01,1.42186,1.44387,1.4185,1.44387,1654445.0817226
1985-11-04,1.43666,1.43666,1.40745,1.41109,1323568.1364318
1985-11-05,1.4036,1.4036,1.39092,1.39986,550022.76139201
1985-11-06,1.40745,1.42935,1.40745,1.42935,977316.206892
1985-11-07,1.42935,1.43666,1.41445,1.43301,503999.78823654
1985-11-08,1.43301,1.44752,1.41445,1.43301,898446.43997587
1985-11-11,1.43301,1.48029,1.43301,1.48029,1264392.9178671
1985-11-12,1.47682,1.47682,1.45117,1.46578,1842894.0003377
1985-11-13,1.46232,1.46232,1.44003,1.46232,913783.96233412
1985-11-14,1.46232,1.49134,1.44752,1.48404,966377.33484979
1985-11-15,1.46578,1.46578,1.44387,1.46232,740662.15999655
1985-11-18,1.46232,1.46578,1.44003,1.45117,554403.72137086
1985-11-19,1.45117,1.46578,1.45117,1.46578,247613.73109906
1985-11-20,1.46578,1.48029,1.45838,1.47682,1060607.5175017
1985-11-21,1.47682,1.49498,1.46933,1.49134,558787.80317392
1985-11-22,1.49134,1.5023,1.48404,1.49498,1310414.8504145
1985-11-25,1.49498,1.49498,1.48029,1.49498,317741.34961084
1985-11-26,1.49498,1.50604,1.48404,1.50604,471135.30413867
1985-11-27,1.50604,1.52046,1.49835,1.52046,177491.31562764
1985-11-29,1.52046,1.54237,1.5096,1.54237,530298.03540647
1985-12-02,1.53535,1.53535,1.48029,1.5023,223514.28878311
1985-12-03,1.5023,1.517,1.49835,1.517,188458.28408774
1985-12-04,1.517,1.53862,1.50604,1.53862,964178.5299958
1985-12-05,1.53862,1.56082,1.52805,1.53535,1308215.0049524
1985-12-06,1.52046,1.52046,1.47318,1.47318,1698260.9251595
1985-12-09,1.47318,1.5096,1.46578,1.49498,1671969.962246
1985-12-10,1.49498,1.5096,1.48404,1.5023,1056216.1514422
1985-12-11,1.5023,1.52805,1.48404,1.52805,983906.37780554
1985-12-12,1.52805,1.53535,1.5096,1.53535,1509809.9253283
1985-12-13,1.53535,1.54966,1.5096,1.52401,1062788.6320185
1985-12-16,1.52401,1.58264,1.50604,1.55342,4229249.7281799
1985-12-17,1.53862,1.53862,1.5023,1.5023,1829756.3234414
1985-12-18,1.5023,1.54237,1.48029,1.53862,1864807.1250965
1985-12-19,1.53862,1.55342,1.52046,1.54966,1336712.0569763
1985-12-20,1.54966,1.54966,1.5316,1.5464,2403866.0398526
1985-12-23,1.53862,1.53862,1.5023,1.52046,1742107.9868386
1985-12-24,1.50604,1.50604,1.48404,1.49134,477702.58167466
1985-12-26,1.49134,1.49498,1.48029,1.48029,460180.82297541
1985-12-27,1.48029,1.517,1.48029,1.49498,1950272.2659665
1985-12-30,1.49498,1.517,1.49134,1.51334,1327937.6497218
1985-12-31,1.51334,1.52046,1.5023,1.52046,955416.61003809
1986-01-02,1.52046,1.52046,1.49498,1.5096,775733.77381297
1986-01-03,1.5096,1.5316,1.5023,1.5316,712181.75770175
1986-01-06,1.52805,1.52805,1.5096,1.52401,282672.85761863
1986-01-07,1.52401,1.52401,1.49835,1.50604,1549259.3772993
1986-01-08,1.50604,1.52046,1.47318,1.48029,1717999.17905
1986-01-09,1.48029,1.48029,1.45117,1.47318,3753732.4234542
1986-01-10,1.47318,1.47318,1.40745,1.40745,1363000.9386736
1986-01-13,1.40745,1.45117,1.40745,1.42935,944455.88522642
1986-01-14,1.42935,1.45838,1.42551,1.44752,714367.03465081
1986-01-15,1.44752,1.46232,1.43666,1.45482,517156.19607801
1986-01-16,1.45482,1.45838,1.43666,1.45838,856808.58923152
1986-01-17,1.47318,1.49134,1.47318,1.48759,720932.23097066
1986-01-20,1.48759,1.49134,1.46578,1.48404,394436.24565861
1986-01-21,1.48404,1.48759,1.46578,1.48029,834893.38325656
1986-01-22,1.48029,1.49835,1.48029,1.48404,2791750.6170963
1986-01-23,1.48404,1.49498,1.47682,1.49134,659586.30396993
1986-01-24,1.49134,1.49498,1.48404,1.49498,1805646.4750449
1986-01-27,1.49498,1.517,1.48404,1.517,1262196.1942292
1986-01-28,1.517,1.54966,1.51334,1.54966,981714.85720805
1986-01-29,1.54966,1.57158,1.5316,1.5464,1720182.3747829
1986-01-30,1.5464,1.56784,1.54237,1.55342,2134344.3870351
1986-01-31,1.55342,1.59349,1.5464,1.59349,2802699.8952193
