Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-02-01,16.4607,16.657,16.1424,16.3133,31550890.915634
2018-02-02,16.205,16.4773,15.9307,16.408,6304318.479375
2018-02-05,16.2274,16.4773,14.4409,16.0966,5591940.3041556
2018-02-06,15.8057,16.3289,15.2277,16.0077,11938718.742262
2018-02-07,15.8613,16.3446,15.8613,16.2108,20103696.48962
2018-02-08,16.0478,16.165,15.5382,15.6192,9859804.3057286
2018-02-09,15.5479,15.8145,15.5479,15.5479,7185198.7324498
2018-02-12,15.585,15.6192,15.1106,15.2892,2720630.1526894
2018-02-13,15.3849,15.4219,15.1516,15.3849,1788125.3830626
2018-02-14,15.3605,15.4473,15.0881,15.3439,2959984.1881215
2018-02-15,15.4679,15.5811,15.1964,15.5021,2969247.0803054
2018-02-16,15.5382,15.629,15.3439,15.5811,1463572.8161371
2018-02-20,15.5021,15.6816,15.5021,15.6192,2900634.2781324
2018-02-21,15.6104,15.6192,15.3058,15.3605,3181574.5305032
2018-02-22,15.3995,15.6192,15.3703,15.4923,3474975.5905063
2018-02-23,15.5021,15.5811,15.3439,15.4767,3369805.964364
2018-02-26,15.4552,15.4552,15.2521,15.3849,2679458.7838469
2018-02-27,15.4307,15.4845,15.1428,15.1964,2132086.6949954
2018-02-28,15.172,15.3967,15.0793,15.2658,3084347.4528509
2018-03-01,15.2658,15.3937,15.1038,15.2199,3425241.9618202
2018-03-02,15.2199,15.2434,14.9612,15.1516,1884224.6884829
2018-03-05,15.1164,15.2404,15.0627,15.2043,2301246.3839071
2018-03-06,15.3058,15.3937,15.2277,15.3156,3010036.3791729
2018-03-07,15.258,15.3849,15.1428,15.3156,1835742.7742995
2018-03-08,15.299,15.3439,14.9944,15.0647,3134660.8445555
2018-03-09,14.9622,15.3439,14.8997,15.3058,3621031.8255633
2018-03-12,15.3058,15.3507,14.9944,15.1428,3968180.8097814
2018-03-13,15.1516,15.3703,15.1516,15.3058,2709435.399988
2018-03-14,15.3302,15.4219,15.299,15.3302,3510633.0647755
2018-03-15,15.3439,15.4219,14.9944,15.1662,3958530.7260409
2018-03-16,15.0315,15.2521,15.01,15.1662,25021266.898704
2018-03-19,15.172,15.175,14.9543,15.0169,2976012.6893816
2018-03-20,15.1038,15.1038,14.7113,14.8607,5725559.290855
2018-03-21,14.8294,14.8821,14.6566,14.8138,2480906.3390777
2018-03-22,14.7191,14.8372,14.6498,14.682,1955710.6978411
2018-03-23,14.7191,14.7825,14.2681,14.4233,2740903.4206431
2018-03-26,14.5804,14.7825,14.4555,14.5716,2698170.9937791
2018-03-27,14.643,14.643,14.3139,14.4321,1818418.5129363
2018-03-28,14.4691,14.5258,14.3061,14.3921,6194883.6002133
2018-03-29,14.2661,14.5033,14.068,14.4321,8489816.098527
2018-04-02,14.4555,14.4858,14.2895,14.4067,6513876.1783325
2018-04-03,14.4409,14.4555,14.2895,14.3921,2231255.876328
2018-04-04,14.3061,14.4477,14.1772,14.2817,4166873.5858819
2018-04-05,14.3129,14.4067,14.2202,14.3188,4892345.5961989
2018-04-06,14.3129,14.4477,14.2407,14.3989,2776524.019526
2018-04-09,14.4067,14.4516,14.2563,14.2895,3706220.1138937
2018-04-10,14.4067,14.4409,14.185,14.3061,1936004.9011105
2018-04-11,14.2202,14.3471,14.1616,14.3129,2445913.6460788
