Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-01-05,7.12866,7.12866,6.94643,6.94643,18430.222242504
1988-01-06,6.95557,6.95557,6.79142,6.86441,167183.12188289
1988-01-07,6.89182,6.97394,6.86441,6.89182,46073.541594432
1988-01-08,6.94643,6.97394,6.86441,6.86441,68451.227020775
1988-01-11,6.837,6.837,6.79142,6.79142,17110.03748893
1988-01-12,6.74604,6.74604,6.5817,6.6364,52655.332249934
1988-01-13,6.65477,6.65477,6.52717,6.52717,35538.245719605
1988-01-14,6.52717,6.52717,6.47235,6.49986,14478.731035008
1988-01-15,6.55469,6.5817,6.55469,6.5817,139532.75348956
1988-01-18,6.6364,6.6364,6.60909,6.60909,13161.567299176
1988-01-19,6.6364,6.65477,6.6364,6.64554,5262.6129078421
1988-01-20,6.59054,6.59054,6.47235,6.47235,903024.4975515
1988-01-21,6.47235,6.48159,6.47235,6.47235,13161.567299176
1988-01-22,6.47235,6.52717,6.47235,6.52717,17110.03748893
1988-01-25,6.52717,6.837,6.52717,6.79142,97411.710108534
1988-01-26,6.73661,6.79142,6.68179,6.73661,176390.17695682
1988-01-27,6.73661,6.86441,6.73661,6.86441,27645.333363756
1988-01-28,6.92846,6.92846,6.86441,6.86441,176390.17695682
1988-01-29,6.94643,7.00096,6.86441,6.86441,53970.481973938
1988-02-01,6.86441,7.07373,6.86441,7.07373,89512.755717201
1988-02-02,7.12866,7.12866,7.10134,7.10134,18430.222242504
1988-02-03,7.18338,7.25656,7.18338,7.21078,206671.85180407
1988-02-04,7.21078,7.21078,7.21078,7.21078,38174.587203097
1988-02-05,7.25656,7.25656,7.21078,7.21078,64499.73581328
1988-02-08,7.21078,7.22895,7.21078,7.21078,126371.18619038
1988-02-09,7.21078,7.21078,7.21078,7.21078,5262.6129078421
1988-02-10,7.21078,7.21078,7.21078,7.21078,46073.541594432
1988-02-11,7.22895,7.22895,7.21078,7.21078,14478.731035008
1988-02-12,7.22895,7.25656,7.22895,7.25656,11847.424581087
1988-02-16,7.25656,7.31128,7.25656,7.31128,57916.938151862
1988-02-17,7.31128,7.34743,7.28397,7.28397,152699.35581831
1988-02-18,7.27473,7.27473,7.27473,7.27473,18430.222242504
1988-02-19,7.27473,7.33829,7.27473,7.31128,192190.09975132
1988-02-22,7.31128,7.32042,7.30194,7.31128,152699.35581831
1988-02-23,7.33829,7.3655,7.33829,7.3655,80296.637590034
1988-02-24,7.3655,7.3655,7.3655,7.3655,11847.424581087
1988-02-25,7.3655,7.3655,7.33829,7.33829,40806.900662933
1988-02-26,7.31128,7.31128,7.27473,7.31128,22375.671414514
1988-02-29,7.33829,7.37483,7.33829,7.3655,48707.869066096
1988-03-01,7.393,7.43849,7.393,7.43849,119789.39553488
1988-03-02,7.43849,7.4935,7.43849,7.4935,39487.722915272
1988-03-03,7.57553,7.78506,7.57553,7.78506,159280.1394679
1988-03-04,7.78506,7.88575,7.78506,7.88575,98731.89486211
1988-03-07,7.93997,7.93997,7.88575,7.88575,56604.809445602
1988-03-08,7.88575,7.93997,7.83987,7.93997,80296.637590034
1988-03-09,7.93997,7.94901,7.93997,7.94901,3951.4912074957
