Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-10-06,21.4289,21.4289,21.4289,21.4289,
2009-10-07,26.2982,28.2171,25.7242,26.513,65446892.173007
2009-10-08,26.6204,26.728,25.8117,25.9092,7090897.1179328
2009-10-09,26.1351,26.7767,25.6944,25.7143,3451039.8077339
2009-10-12,26.5807,27.1755,25.4228,25.568,7368251.5379552
2009-10-13,25.9768,26.5519,25.8495,26.4842,3383831.8912191
2009-10-14,26.5419,27.5069,26.2982,27.2651,3308370.635469
2009-10-15,27.5456,28.0519,27.0284,27.5753,3266302.7320601
2009-10-16,27.7107,27.857,26.8344,27.8281,4080714.301063
2009-10-19,27.7804,28.1405,26.7867,26.7867,1945421.6331894
2009-10-20,26.7867,27.3695,26.6403,27.3308,3477837.5256388
2009-10-21,27.274,27.6143,27.1358,27.274,1107678.5477046
2009-10-22,27.0382,27.7406,26.6106,27.1655,1203734.9509478
2009-10-23,27.274,27.653,26.7964,27.6341,2449753.9402539
2009-10-26,27.1068,27.857,27.0382,27.7107,856639.31174649
2009-10-27,27.7993,28.4896,27.2055,27.8191,1621119.6862932
2009-10-28,27.4779,27.8092,26.8434,26.9707,1184174.2353762
2009-10-29,27.1556,27.274,27.0284,27.1655,578464.58419481
2009-10-30,27.274,27.3396,26.5906,26.719,841392.24765586
2009-11-02,26.6703,26.9328,25.9092,26.6603,1004074.5109683
2009-11-03,26.719,26.7767,26.1549,26.6503,715278.00724585
2009-11-04,26.6204,26.7667,26.2495,26.2584,473409.93009948
2009-11-05,26.3181,26.8831,26.2683,26.5906,483124.94476105
2009-11-06,26.4443,26.6304,26.2495,26.3946,319061.42832932
2009-11-09,26.5419,26.9707,26.3459,26.8631,632207.79599342
2009-11-10,26.5419,27.5266,26.5419,26.9517,294910.60959698
2009-11-11,27.2055,28.3632,26.913,28.227,1205821.9098092
2009-11-12,28.0321,29.2218,27.6918,28.1494,1243828.4867246
2009-11-13,28.0321,28.3255,27.7704,28.1494,425939.65823135
2009-11-16,28.0031,28.2568,27.5167,28.1017,1462253.4614385
2009-11-17,27.8092,28.2071,26.6901,27.1258,2562492.9457641
2009-11-18,27.653,28.2469,27.4282,27.7604,750355.20163595
2009-11-19,28.0618,28.1405,27.2153,27.7993,1256158.231636
2009-11-20,27.7604,27.8947,27.6819,27.8092,899030.91494014
2009-11-23,27.9345,27.9345,26.9517,27.662,459510.9449266
2009-11-24,27.4482,27.4482,26.9328,27.0581,703590.63551
2009-11-25,26.9995,27.0871,26.4643,26.5906,916522.76666936
2009-11-27,26.2584,26.4743,25.9668,26.2882,271578.08783634
2009-11-30,26.6304,26.6901,26.0365,26.2116,912360.91229241
2009-12-01,26.2116,27.3208,26.2116,27.0581,633593.07022808
2009-12-02,27.0382,27.0871,26.6403,26.7964,842722.23155458
2009-12-03,27.0871,27.2153,26.7867,26.9995,504823.8884148
2009-12-04,27.1258,27.7007,27.1258,27.6918,549722.65702296
2009-12-07,27.468,28.227,27.2153,27.9932,371116.77696395
2009-12-08,27.672,28.1693,27.1755,27.8669,408785.5801907
2009-12-09,27.5953,27.9544,27.4482,27.9047,461511.44980828
2009-12-10,27.8281,27.9544,27.3993,27.662,446719.7770299
2009-12-11,27.2929,28.0618,27.274,27.9147,606445.51528856
2009-12-14,27.8191,28.2857,27.8191,28.2369,515640.68867953
2009-12-15,28.1792,28.7055,28.0221,28.5393,915614.99988135
2009-12-16,28.5095,30.1648,28.3922,29.6007,1614304.9010706
2009-12-17,29.4635,29.8455,29.2218,29.6106,953968.39799475
2009-12-18,29.5909,30.1936,28.9571,29.7669,8520288.0142547
2009-12-21,29.9817,29.9817,29.1134,29.7082,909459.67757456
2009-12-22,29.5509,30.0484,29.3202,29.7858,432062.81161542
2009-12-23,29.8843,30.1359,29.4247,29.8843,868216.1028105
2009-12-24,29.9917,30.3697,29.8843,30.0017,175340.7344029
2009-12-28,30.0882,30.312,29.8256,30.1548,256758.26725057
2009-12-29,30.117,30.3318,29.9032,30.1936,290899.54704528
2009-12-30,30.1071,30.1936,29.6584,30.1936,179800.15131503
2009-12-31,30.0584,30.1936,29.4247,29.4913,158679.2429914
2010-01-04,29.6196,29.7082,28.8984,29.0735,400340.23269776
2010-01-05,29.0735,29.2914,28.7243,29.2715,441381.74641599
2010-01-06,29.2218,30.0682,29.2218,29.6485,871447.06898623
2010-01-07,29.5709,29.8843,29.0267,29.6007,437881.36551247
2010-01-08,29.4247,29.4814,29.2018,29.2218,259862.56829309
2010-01-11,29.2515,29.3302,28.977,29.1531,694482.80926478
2010-01-12,29.2118,29.5909,29.0636,29.3769,761768.13224985
2010-01-13,29.3202,29.5012,29.3202,29.367,404854.9399458
2010-01-14,29.3103,29.3202,29.1134,29.1331,309114.19425687
2010-01-15,28.9969,29.1431,27.9147,28.1991,786407.51649601
2010-01-19,28.0918,28.0918,27.0871,27.2252,1572451.1220537
2010-01-20,27.0871,27.3695,26.9607,27.2651,983063.17803768
2010-01-21,27.2651,27.662,27.1855,27.3119,699914.33081035
2010-01-22,27.468,27.6341,27.2055,27.2829,611446.77749274
2010-01-25,27.2552,27.5069,27.1855,27.2252,263329.77499504
2010-01-26,27.1068,28.0031,27.1068,27.6143,310568.83273113
2010-01-27,27.4969,28.4796,27.2829,28.1494,487789.4385555
2010-01-28,28.0031,28.2668,27.8281,28.0221,508360.45935638
2010-01-29,28.0818,28.1494,27.274,27.3895,400090.92354667
2010-02-01,27.4779,27.7207,27.468,27.672,411969.29826119
2010-02-02,27.653,27.847,27.1755,27.2352,550469.57919738
2010-02-03,27.2352,27.3993,27.1755,27.2651,317472.08249117
2010-02-04,27.2055,27.2153,26.9905,27.0284,634122.85217412
2010-02-05,27.0284,27.0969,25.9571,26.9805,662629.54409857
2010-02-08,27.0094,27.1855,26.6703,26.913,649292.50979446
2010-02-09,26.8631,27.3695,26.8631,27.1168,1489584.9824049
2010-02-10,27.2352,27.3596,26.7964,27.1168,509763.82861005
2010-02-11,26.9805,27.4482,26.9805,27.2929,356079.81614982
2010-02-12,26.9905,27.653,26.8164,27.5753,898911.28675878
2010-02-16,27.3695,27.672,27.2252,27.5167,219190.99718615
2010-02-17,27.3396,27.5656,27.1258,27.2153,468225.70714733
2010-02-18,27.0482,27.3695,26.9418,27.274,630130.88992028
2010-02-19,27.1068,27.4969,27.1068,27.2829,156519.9040538
2010-02-22,27.274,27.6819,27.1655,27.5069,298190.83443561
2010-02-23,27.6819,27.6819,27.0969,27.2829,400805.67679837
2010-02-24,27.2651,27.274,27.1556,27.2352,269970.64697915
