Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-29,13.2245,13.6,13.1307,13.4782,3783414.4957598
2020-10-30,13.4879,13.9658,13.4491,13.6368,9761586.7002812
2020-11-02,13.872,14.2001,13.6929,14.2001,7741233.4170786
2020-11-03,14.35,14.5475,14.172,14.2001,7219714.7616488
2020-11-04,14.35,14.5562,14.0035,14.144,10983380.720048
2020-11-05,14.172,14.6413,14.0501,14.2001,15427869.030838
2020-11-06,14.5097,14.5097,13.571,13.7413,10154855.593101
2020-11-09,14.3878,14.7914,14.0965,14.1817,12234671.482568
2020-11-10,14.2755,15.0061,14.1624,14.6694,19374569.583488
2020-11-11,14.7343,15.1,14.472,14.7246,10409060.146499
2020-11-12,14.6598,14.7246,14.3036,14.5475,13378866.315507
2020-11-13,14.6316,14.6598,14.3781,14.5291,1195549.0898585
2020-11-16,14.9966,15.1281,14.4255,14.6887,3366640.9995847
2020-11-17,14.4342,16.816,14.35,15.3265,64539283.364923
2020-11-18,15.4388,15.9352,14.9588,15.1862,33603385.585047
2020-11-19,15.0061,17.0705,14.9966,16.9853,38163096.774264
2020-11-20,17.2581,17.2766,15.9449,16.0669,40531465.329854
2020-11-23,16.1656,16.1791,15.4756,15.7291,22089194.725268
2020-11-24,15.6963,15.9449,15.2791,15.851,24635447.879808
2020-11-25,15.645,16.2353,15.523,16.0108,16369969.947025
2020-11-27,16.0379,16.2914,15.851,15.9924,11754325.923604
2020-11-30,15.9731,16.0949,15.7571,15.7755,22567224.646297
2020-12-01,15.8317,16.0853,15.701,15.9546,16414717.247695
2020-12-02,15.8839,16.1985,15.7939,16.062,23640755.83985
2020-12-03,16.0727,16.3853,15.8878,16.2914,17963497.736803
2020-12-04,16.2537,16.6001,16.1791,16.5071,17002372.630508
2020-12-07,16.5168,16.8827,16.4326,16.4781,10666092.857429
2020-12-08,16.3301,16.816,16.3253,16.7318,9915584.372788
2020-12-09,16.7415,16.8585,16.4143,16.4326,13540395.75281
2020-12-10,16.244,16.7415,16.2266,16.5905,10046119.807471
2020-12-11,16.4143,16.6486,16.0185,16.2633,16891225.109517
2020-12-14,16.2633,16.4423,16.0185,16.2537,17798955.180257
