Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,8.19542,8.57935,8.19542,8.56999,1184366.5544116
2005-02-28,8.57935,8.75021,8.56074,8.73121,1154210.158994
2005-03-01,8.70294,8.8547,8.6315,8.83082,1108459.0584619
2005-03-02,8.81172,8.89252,8.62682,8.70733,617380.09616273
2005-03-03,8.75021,8.91621,8.66951,8.80205,513635.46372998
2005-03-04,8.84983,9.224,8.84496,9.11902,634671.03571457
2005-03-07,9.06309,9.17654,9.05841,9.162,511948.27319662
2005-03-08,9.12828,9.18101,9.01094,9.082,1325423.3200749
2005-03-09,9.01094,9.10508,8.87321,8.9777,406947.54298738
2005-03-10,8.96387,9.11902,8.84496,8.94914,691180.36248259
2005-03-11,8.9398,9.10508,8.93033,9.01094,368992.28769523
2005-03-14,9.05841,9.19077,8.91621,9.05841,313329.06838944
2005-03-15,9.81014,10.1445,9.3866,10.0271,2801396.4903687
2005-03-16,10.0271,10.1983,9.85492,9.96041,825282.36597717
2005-03-17,9.93653,9.97539,9.43755,9.62903,1155896.3446491
2005-03-18,9.81512,9.83503,9.60514,9.70466,807148.33359777
2005-03-21,9.67779,9.88478,9.63898,9.76835,388391.46175508
2005-03-22,9.81512,9.96538,9.77332,9.82507,829286.80568857
2005-03-23,9.81512,10.043,9.81512,9.95047,589335.95476607
2005-03-24,9.88478,10.0769,9.88478,10.0271,685905.75669962
2005-03-28,10.0271,10.0271,9.62903,9.7972,865552.86069093
2005-03-29,9.72157,9.80517,9.47478,9.4897,640783.709934
2005-03-30,9.47976,9.82507,9.47976,9.82009,701722.53990097
2005-03-31,9.7783,9.91363,9.66882,9.7166,752535.21203312
2005-04-01,9.76437,9.84,9.67382,9.78825,597976.90258999
2005-04-04,9.74545,9.82507,9.62903,9.76437,472307.83712754
2005-04-05,9.75939,9.95544,9.71163,9.95047,499512.90520952
2005-04-06,9.95047,10.2868,9.90866,9.99723,768768.01481805
2005-04-07,9.99723,10.1983,9.96041,10.1933,444685.74458377
2005-04-08,10.1933,10.1983,9.76437,9.86488,875251.94528175
2005-04-11,9.86985,10.1007,9.6141,9.80218,678104.8870686
2005-04-12,9.80218,10.0022,9.55838,9.9415,395979.29720322
2005-04-13,9.91363,9.91762,9.51856,9.58126,668192.76829488
2005-04-14,9.65391,9.70067,9.25356,9.33278,622010.57500593
2005-04-15,9.35228,9.53847,9.12828,9.12828,1035078.8312385
2005-04-18,9.12828,9.20948,9.01094,9.162,716898.21079722
2005-04-19,9.224,9.41517,9.16698,9.35675,552012.76787503
2005-04-20,9.47478,9.54344,9.28113,9.35675,698557.17350426
2005-04-21,9.50961,9.58126,9.40124,9.48473,537466.15074525
2005-04-22,9.43755,9.53349,9.24858,9.38183,477157.37942295
2005-04-25,9.48473,9.70764,9.43258,9.68773,531772.51074404
2005-04-26,9.67779,10.0769,9.62903,9.74148,886633.19601482
2005-04-27,9.69769,9.96041,9.62405,9.82507,713311.80042583
2005-04-28,9.82507,9.9216,9.45587,9.4897,466412.21660388
2005-04-29,9.58126,9.64395,9.26222,9.48473,614215.73464424
2005-05-02,9.53349,9.7166,9.48473,9.70764,277273.03293531
2005-05-03,9.62903,9.74148,9.50464,9.634,402098.00069197
2005-05-04,9.62903,9.84497,9.60514,9.74148,483275.07803349
2005-05-05,9.7166,9.90866,9.4698,9.52355,423392.37507698
2005-05-06,9.53349,9.65888,9.35675,9.52852,365408.8919585
2005-05-09,9.48473,9.4897,9.30869,9.45587,389233.54970444
2005-05-10,9.36173,9.39159,9.224,9.33765,743259.18117342
2005-05-11,9.34262,9.53349,9.19524,9.40511,323027.14810204
2005-05-12,9.4698,9.56832,9.2861,9.33765,379537.47974828
2005-05-13,9.29863,9.43755,8.80694,8.91152,584695.42714067
2005-05-16,8.9398,9.47478,8.92108,9.45587,607046.93341436
2005-05-17,9.4101,9.4897,9.21445,9.46085,622435.63849349
2005-05-18,9.55838,9.93156,9.54344,9.84,959801.39393355
2005-05-19,9.76835,9.93653,9.56832,9.74545,330196.95421017
2005-05-20,9.67779,9.70764,9.4897,9.60116,204314.85456482
2005-05-23,9.59122,9.81512,9.59122,9.76835,518493.04505117
2005-05-24,9.67779,9.69769,9.48473,9.58126,224137.0823558
2005-05-25,9.48473,9.64395,9.39657,9.4897,474418.08139201
2005-05-26,9.53349,9.7972,9.53349,9.78825,477580.43315407
2005-05-27,9.78825,9.78825,9.47976,9.66882,372368.67851838
2005-05-31,9.66385,9.83503,9.65391,9.81512,591653.20394411
2005-06-01,9.81512,9.93653,9.71163,9.82507,679999.08251552
2005-06-02,9.79323,9.91363,9.72654,9.89872,415594.52008063
2005-06-03,9.84497,9.92657,9.80218,9.88478,293507.84547668
2005-06-06,9.83005,9.83005,9.58126,9.60116,520177.22094986
2005-06-07,9.65391,9.83503,9.634,9.74945,585122.50038467
2005-06-08,9.76835,9.79323,9.39657,9.46583,293296.82105024
2005-06-09,9.50961,9.72157,9.42393,9.72157,510689.16078548
2005-06-10,9.81512,9.8599,9.634,9.80218,439204.13388723
2005-06-13,9.79323,9.86488,9.71163,9.84,724067.01202711
2005-06-14,9.83503,9.99224,9.83005,9.99224,915311.41556905
