Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-11-17,3.75,3.81,3.75,3.78,12706000.0
1995-11-20,3.75,3.78,3.75,3.75,1213200.0
1995-11-21,3.75,3.78,3.75,3.75,909600.0
1995-11-22,3.75,3.78,3.75,3.75,1314800.0
1995-11-24,3.75,3.78,3.75,3.75,275200.0
1995-11-27,3.75,3.78,3.75,3.75,1011600.0
1995-11-28,3.62,3.62,3.31,3.53,3952000.0
1995-11-29,3.5,3.56,3.34,3.44,708400.0
1995-11-30,3.44,3.75,3.41,3.69,1346000.0
1995-12-01,3.69,3.69,3.53,3.56,790800.0
1995-12-04,3.53,3.75,3.5,3.72,548000.0
1995-12-05,3.75,3.78,3.69,3.75,892800.0
1995-12-06,3.78,3.91,3.78,3.81,521200.0
1995-12-07,3.81,3.81,3.72,3.72,217600.0
1995-12-08,3.69,3.78,3.59,3.75,265200.0
1995-12-11,3.75,3.78,3.72,3.75,392400.0
1995-12-12,3.78,3.84,3.72,3.78,1363200.0
1995-12-13,3.91,4.09,3.84,4.03,1664000.0
1995-12-14,4.06,4.22,4.06,4.19,1551600.0
1995-12-15,4.19,4.31,4.16,4.25,902800.0
1995-12-18,4.25,4.28,3.97,4.16,646400.0
1995-12-19,4.12,4.12,4.0,4.12,324400.0
1995-12-20,4.12,4.25,4.12,4.16,274000.0
1995-12-21,4.28,4.5,4.22,4.38,660000.0
1995-12-22,4.41,4.5,4.38,4.41,422800.0
1995-12-26,4.44,4.5,4.41,4.41,156800.0
1995-12-27,4.44,4.53,4.38,4.5,230400.0
1995-12-28,4.5,4.5,4.44,4.47,213200.0
1995-12-29,4.5,4.56,4.44,4.56,179600.0
1996-01-02,4.5,4.53,4.28,4.34,456800.0
1996-01-03,4.28,4.41,4.19,4.41,147600.0
1996-01-04,4.47,4.69,4.47,4.56,385200.0
1996-01-05,4.5,4.81,4.5,4.69,620800.0
1996-01-08,4.66,4.81,4.66,4.78,67600.0
1996-01-09,4.75,4.75,4.72,4.72,192400.0
1996-01-10,4.72,4.75,4.59,4.59,305600.0
1996-01-11,4.62,4.66,4.56,4.56,369600.0
1996-01-12,4.59,4.59,4.25,4.38,232000.0
1996-01-15,4.38,4.56,4.38,4.5,158400.0
1996-01-16,4.5,4.56,4.44,4.44,52000.0
1996-01-17,4.38,4.44,4.28,4.38,117600.0
1996-01-18,4.38,4.44,4.31,4.44,56000.0
1996-01-19,4.47,4.69,4.47,4.69,1279200.0
