Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,0.982727,1.00435,0.982727,0.996817,1277741.5723925
1985-07-02,0.996817,0.996817,0.975289,0.975289,2152456.2207576
1985-07-03,0.975289,0.982727,0.975289,0.982727,717484.02585876
1985-07-05,0.982727,0.982727,0.975289,0.975289,1818070.4169293
1985-07-08,0.982727,0.996817,0.982727,0.996817,1308744.9979731
1985-07-09,0.996817,0.996817,0.960808,0.975289,3363762.9169869
1985-07-10,0.975289,0.975289,0.960808,0.968241,1237882.0968081
1985-07-11,0.975289,0.982727,0.975289,0.975289,3381485.3749479
1985-07-12,0.975289,0.975289,0.939472,0.953857,1689632.8327863
1985-07-15,0.953857,0.982727,0.953857,0.960808,2925306.6139678
1985-07-16,0.960808,0.982727,0.953857,0.982727,3111326.131656
1985-07-17,0.982727,0.996817,0.975289,0.982727,5332424.5084081
1985-07-18,0.982727,0.996817,0.946519,0.946519,1107237.2328336
1985-07-19,0.946519,0.946519,0.939472,0.946519,2548845.7683611
1985-07-22,0.946519,0.946519,0.910314,0.917846,3018316.8907095
1985-07-23,0.931941,0.960808,0.931941,0.946519,5124263.8299149
1985-07-24,0.946519,0.968241,0.946519,0.946519,2156881.1383736
1985-07-25,0.946519,0.960808,0.924894,0.931941,6246995.5249716
1985-07-26,0.931941,0.939472,0.910314,0.910314,1749425.1535489
1985-07-29,0.910314,0.910314,0.8744,0.881545,2380543.529657
1985-07-30,0.881545,0.888593,0.830859,0.881545,8299798.9135869
1985-07-31,0.881545,0.896026,0.852485,0.888593,7416226.1436273
1985-08-01,0.910314,0.960808,0.910314,0.939472,3658285.1020495
1985-08-02,0.939472,0.946519,0.931941,0.939472,1926585.5138474
1985-08-05,0.939472,0.960808,0.939472,0.953857,2595349.8709367
1985-08-06,0.946519,0.946519,0.881545,0.888593,7529174.444524
1985-08-07,0.888593,0.910314,0.881545,0.910314,5002468.8011723
1985-08-08,0.910314,0.910314,0.90317,0.910314,1144879.0706335
1985-08-09,0.910314,0.924894,0.910314,0.924894,1751638.6481522
1985-08-12,0.924894,0.924894,0.90317,0.910314,2143602.2423444
1985-08-13,0.910314,0.939472,0.90317,0.910314,4619368.5075512
1985-08-14,0.910314,0.924894,0.910314,0.917846,719701.66364335
1985-08-15,0.917846,0.917846,0.90317,0.910314,1939870.6246484
1985-08-16,0.910314,0.910314,0.896026,0.896026,1514689.074477
1985-08-19,0.896026,0.924894,0.896026,0.924894,600122.20109477
1985-08-20,0.924894,0.924894,0.90317,0.910314,5108761.0813293
1985-08-21,0.910314,0.924894,0.896026,0.896026,3558638.4846791
1985-08-22,0.917846,0.917846,0.896026,0.910314,1242310.12181
1985-08-23,0.910314,0.924894,0.910314,0.917846,4189761.0039686
1985-08-26,0.917846,0.924894,0.910314,0.924894,2066092.6425976
1985-08-27,0.924894,0.924894,0.924894,0.924894,2285324.9372885
1985-08-28,0.924894,0.931941,0.924894,0.924894,934501.79015107
1985-08-29,0.924894,0.924894,0.917846,0.917846,1326461.2411621
1985-08-30,0.917846,0.939472,0.917846,0.931941,2734861.1428681
1985-09-03,0.931941,0.931941,0.924894,0.924894,2663996.1701124
1985-09-04,0.924894,0.931941,0.917846,0.924894,1155949.6510359
1985-09-05,0.924894,0.931941,0.917846,0.924894,1556767.2236413
1985-09-06,0.924894,0.939472,0.917846,0.931941,2887657.5256006
1985-09-09,0.931941,0.939472,0.896026,0.910314,4657011.3811464
1985-09-10,0.910314,0.910314,0.888593,0.896026,5921467.8427378
1985-09-11,0.896026,0.917846,0.896026,0.896026,2938591.7247687
1985-09-12,0.896026,0.910314,0.896026,0.896026,1406182.2639215
1985-09-13,0.896026,0.910314,0.866871,0.8744,2099311.6343721
1985-09-16,0.8744,0.888593,0.866871,0.8744,1043010.6722972
1985-09-17,0.8744,0.8744,0.852485,0.852485,3013880.579345
1985-09-18,0.852485,0.860015,0.838003,0.852485,3684859.4668329
1985-09-19,0.852485,0.896026,0.852485,0.888593,3051526.5603262
1985-09-20,0.888593,0.910314,0.866871,0.866871,1643132.873392
1985-09-23,0.866871,0.881545,0.860015,0.860015,2367258.4188559
1985-09-24,0.860015,0.866871,0.838003,0.838003,5917038.7819406
1985-09-25,0.838003,0.845727,0.823715,0.845727,8871133.255295
1985-09-26,0.845727,0.852485,0.838003,0.852485,1306530.4675744
1985-09-30,0.852485,0.8744,0.838003,0.838003,4462138.9208402
1985-10-01,0.838003,0.860015,0.838003,0.852485,4030322.0658355
1985-10-02,0.852485,0.852485,0.838003,0.845727,2816795.6602309
1985-10-03,0.845727,0.860015,0.823715,0.852485,4373557.7048957
1985-10-04,0.852485,0.852485,0.838003,0.838003,1826928.5385238
1985-10-07,0.838003,0.838003,0.816281,0.816281,3264118.3712072
1985-10-08,0.823715,0.838003,0.823715,0.838003,2579851.2655324
1985-10-09,0.838003,0.838003,0.816281,0.830859,3762371.1381704
1985-10-10,0.830859,0.845727,0.823715,0.845727,4916106.2588077
1985-10-11,0.845727,0.860015,0.838003,0.852485,3368198.1925561
1985-10-14,0.852485,0.860015,0.852485,0.852485,1625414.5586124
1985-10-15,0.852485,0.860015,0.852485,0.852485,3658285.1020495
1985-10-16,0.852485,0.888593,0.845727,0.888593,6043267.0146617
1985-10-17,0.896026,0.946519,0.896026,0.946519,5020184.008566
1985-10-18,0.946519,0.982727,0.946519,0.946519,4497571.407218
1985-10-21,0.946519,0.953857,0.946519,0.946519,2203389.3841304
1985-10-22,0.946519,0.960808,0.939472,0.946519,3288470.9550247
1985-10-23,0.939472,0.939472,0.924894,0.939472,1784856.6041314
1985-10-24,0.939472,0.960808,0.939472,0.946519,2165744.4389446
1985-10-25,0.946519,0.953857,0.939472,0.939472,2216675.5307268
1985-10-28,0.939472,0.939472,0.931941,0.939472,912357.52196026
1985-10-29,0.939472,0.960808,0.939472,0.939472,1277741.5723925
1985-10-30,0.939472,0.946519,0.924894,0.939472,1379608.9349335
1985-10-31,0.931941,0.931941,0.896026,0.90317,1204666.2124195
1985-11-01,0.90317,0.924894,0.888593,0.924894,4475425.0674366
1985-11-04,0.924894,0.924894,0.910314,0.924894,1869005.6518928
1985-11-05,0.931941,0.931941,0.917846,0.917846,2309681.6642873
1985-11-06,0.917846,0.931941,0.888593,0.931941,8255510.3772052
1985-11-07,0.931941,0.968241,0.931941,0.968241,3067028.2731165
1985-11-08,0.968241,0.975289,0.960808,0.968241,1554550.6216521
1985-11-11,0.968241,1.02617,0.968241,1.01883,5930324.928537
1985-11-12,1.01883,1.02617,0.996817,1.01883,2714929.3334853
1985-11-13,1.01883,1.01883,0.982727,0.982727,923432.24554397
1985-11-14,0.982727,0.982727,0.960808,0.982727,2438123.3916116
1985-11-15,0.982727,1.02617,0.975289,1.02617,5062258.014549
1985-11-18,1.02617,1.02617,0.989671,1.01883,3769009.5503896
1985-11-19,1.01883,1.03312,1.01169,1.01883,1186952.0408212
1985-11-20,1.01883,1.01883,1.01169,1.01169,267952.99925578
1985-11-21,1.01169,1.02617,1.00435,1.01169,1911077.5862852
1985-11-22,1.01169,1.01883,0.996817,1.01883,1729492.3083707
1985-11-25,1.01883,1.02617,1.00435,1.01169,1304318.0087665
1985-11-26,1.01169,1.01883,0.996817,1.01883,1109442.4410744
1985-11-27,1.01883,1.02617,1.01169,1.01169,1791499.1595319
1985-11-29,1.01169,1.03312,1.00435,1.00435,1224599.0575977
1985-12-02,1.00435,1.01169,0.982727,0.989671,1395110.6477238
1985-12-03,0.989671,0.996817,0.982727,0.989671,812711.94038516
1985-12-04,0.989671,1.03312,0.989671,1.02617,1279958.1743818
1985-12-05,1.02617,1.03312,0.975289,1.00435,2391617.2174454
1985-12-06,0.996817,0.996817,0.975289,0.982727,1775999.5183323
1985-12-09,0.982727,1.00435,0.960808,0.996817,4575076.8637837
1985-12-10,0.996817,0.996817,0.975289,0.982727,2925306.6139678
1985-12-11,0.982727,0.996817,0.968241,0.982727,3246397.984837
1985-12-12,0.982727,0.996817,0.982727,0.989671,4475425.0674366
1985-12-13,0.996817,1.02617,0.996817,1.02617,10058085.296116
1985-12-16,1.02617,1.0476,1.02617,1.04055,3529852.696883
1985-12-17,1.04055,1.05484,1.04055,1.0476,2170175.5713325
1985-12-18,1.0476,1.05484,1.03312,1.04055,1640914.1998121
1985-12-19,1.04055,1.06932,1.03312,1.06208,5781956.5708064
1985-12-20,1.06208,1.06208,1.03312,1.05484,2322971.954065
1985-12-23,1.05484,1.05484,1.03312,1.03312,527041.66214515
1985-12-24,1.03312,1.0476,1.01883,1.02617,2338470.5594693
1985-12-26,1.02617,1.03312,1.01169,1.02617,943360.94754086
1985-12-27,1.02617,1.0476,1.02617,1.04055,2524484.898181
1985-12-30,1.04055,1.04055,1.02617,1.03312,1209098.3806027
1985-12-31,1.03312,1.04055,1.02617,1.02617,2309681.6642873
1986-01-02,1.02617,1.02617,0.996817,0.996817,1359678.1613459
1986-01-03,0.996817,0.996817,0.982727,0.996817,1295458.8513767
1986-01-06,0.996817,0.996817,0.968241,0.975289,1596626.6992258
1986-01-07,0.975289,0.996817,0.960808,0.982727,2508988.3643673
1986-01-08,0.982727,0.996817,0.975289,0.982727,8592110.7114321
1986-01-09,0.975289,0.975289,0.888593,0.946519,5416573.5561695
1986-01-10,0.946519,0.953857,0.924894,0.946519,2759220.9772529
1986-01-13,0.946519,0.953857,0.931941,0.939472,4741163.5362937
1986-01-14,0.939472,0.953857,0.924894,0.931941,2130311.9525667
1986-01-15,0.924894,0.924894,0.910314,0.924894,28489049.008974
1986-01-16,0.924894,0.939472,0.917846,0.931941,8702832.0523863
1986-01-17,0.924894,0.924894,0.917846,0.924894,3957242.5626812
1986-01-20,0.924894,0.946519,0.910314,0.939472,2812369.7068196
1986-01-21,0.939472,0.946519,0.931941,0.939472,1251175.4939717
1986-01-22,0.939472,0.946519,0.924894,0.931941,1217954.4306066
1986-01-23,0.931941,0.939472,0.924894,0.931941,1430542.0983063
1986-01-24,0.931941,0.939472,0.924894,0.939472,2648496.5289127
1986-01-27,0.939472,0.968241,0.931941,0.953857,4211905.2721593
1986-01-28,0.953857,0.975289,0.946519,0.975289,2675069.8579008
1986-01-29,0.975289,0.975289,0.953857,0.960808,4360272.5940946
1986-01-30,0.960808,0.968241,0.946519,0.960808,3199892.846466
1986-01-31,0.960808,0.960808,0.946519,0.960808,3042671.5461176
1986-02-03,0.960808,0.960808,0.946519,0.960808,6187204.2400044
1986-02-04,0.960808,0.989671,0.960808,0.975289,5806314.3336005
1986-02-05,0.975289,0.996817,0.968241,0.989671,3456773.1937288
1986-02-06,0.996817,1.01169,0.996817,1.00435,3775655.213176
1986-02-07,1.00435,1.01883,0.996817,1.01169,2117024.7701751
1986-02-10,1.01169,1.01883,1.00435,1.01169,4256192.7727457
1986-02-11,1.01169,1.01169,0.975289,0.975289,4807597.3766616
1986-02-12,0.975289,0.982727,0.960808,0.975289,2046158.7616242
1986-02-13,0.975289,0.989671,0.960808,0.989671,7582316.9593188
1986-02-14,0.989671,1.02617,0.982727,1.02617,3374839.7121614
1986-02-18,1.02617,1.06208,1.00435,1.0476,4362488.1602886
1986-02-19,1.0476,1.07637,1.0476,1.05484,3272973.3854157
1986-02-20,1.05484,1.09085,1.0476,1.09085,4034752.1624281
1986-02-21,1.09819,1.14173,1.09819,1.11962,4933818.3588154
1986-02-24,1.11962,1.11962,1.0837,1.0837,2949659.1977852
1986-02-25,1.0837,1.10524,1.0837,1.09085,1993017.2826246
