Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-10-26,0.400659,0.400659,0.393578,0.400659,7298422.3398208
1984-10-29,0.400659,0.400659,0.393578,0.393578,28739976.415523
1984-10-30,0.400659,0.400659,0.393578,0.393578,150176111.25643
1984-10-31,0.379397,0.393578,0.379397,0.386321,95023203.060116
1984-11-01,0.379397,0.386321,0.379397,0.379397,35678452.035399
1984-11-02,0.379397,0.379397,0.372394,0.379397,30049020.628094
1984-11-05,0.379397,0.386321,0.379397,0.386321,14064783.269781
1984-11-06,0.386321,0.393578,0.386321,0.393578,4907840.674636
1984-11-07,0.393578,0.393578,0.386321,0.386321,17289394.156942
1984-11-08,0.386321,0.393578,0.386321,0.386321,9925391.900548
1984-11-09,0.386321,0.393578,0.386321,0.386321,9353655.7607602
1984-11-12,0.386321,0.386321,0.386321,0.386321,3750610.0989001
1984-11-13,0.393578,0.393578,0.386321,0.386321,15719498.538579
1984-11-14,0.379397,0.379397,0.379397,0.379397,6166263.6413247
1984-11-15,0.386321,0.386321,0.386321,0.386321,30939967.43868
1984-11-16,0.379397,0.379397,0.379397,0.379397,28547067.844141
1984-11-19,0.379397,0.379397,0.379397,0.379397,12056615.982079
1984-11-20,0.379397,0.379397,0.379397,0.379397,32676161.963029
1984-11-21,0.379397,0.379397,0.379397,0.379397,50701552.369481
1984-11-23,0.379397,0.379397,0.379397,0.379397,57713230.386449
1984-11-26,0.379397,0.379397,0.379397,0.379397,43416927.17951
1984-11-27,0.379397,0.379397,0.379397,0.379397,9525488.2501899
1984-11-28,0.386321,0.386321,0.386321,0.386321,26380623.914995
1984-11-29,0.386321,0.386321,0.386321,0.386321,10978699.079903
1984-11-30,0.379397,0.379397,0.379397,0.379397,12033413.171826
1984-12-03,0.379397,0.379397,0.379397,0.379397,77271980.650511
1984-12-04,0.379397,0.379397,0.379397,0.379397,12467629.742875
1984-12-05,0.379397,0.379397,0.379397,0.379397,12855822.073064
1984-12-06,0.379397,0.379397,0.379397,0.379397,2636877.2517046
1984-12-07,0.379397,0.379397,0.379397,0.379397,15550290.718163
1984-12-10,0.386321,0.386321,0.386321,0.386321,40784503.787651
1984-12-11,0.386321,0.386321,0.386321,0.386321,9186718.836284
1984-12-12,0.379397,0.379397,0.379397,0.379397,17348365.8788
1984-12-13,0.386321,0.386321,0.386321,0.386321,14622456.418681
1984-12-14,0.386321,0.386321,0.386321,0.386321,19906587.924745
1984-12-17,0.386321,0.386321,0.386321,0.386321,5694104.3969536
1984-12-18,0.386321,0.393578,0.386321,0.393578,9770022.128603
1984-12-19,0.393578,0.393578,0.386321,0.393578,10853586.107896
1984-12-20,0.393578,0.400659,0.393578,0.393578,5752579.2005648
1984-12-21,0.393578,0.400659,0.393578,0.393578,10794678.801366
1984-12-24,0.393578,0.393578,0.393578,0.393578,2681482.3104131
1984-12-26,0.393578,0.393578,0.393578,0.393578,1000365.9591872
1984-12-27,0.386321,0.386321,0.386321,0.386321,2066641.068848
