Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,19.617,19.9754,19.617,19.9754,341032.98808173
2005-02-28,19.9354,19.9412,19.6785,19.8435,445087.62348513
2005-03-01,19.8992,20.0398,19.7645,19.9549,336711.07304077
2005-03-02,19.8378,19.8378,19.6209,19.6356,346910.21914905
2005-03-03,19.6561,19.7694,19.5262,19.7292,313206.24440294
2005-03-04,19.7859,19.9637,19.617,19.9481,603422.68581732
2005-03-07,19.9481,20.1112,19.7518,20.0184,363676.7102165
2005-03-08,20.0233,20.0233,19.8191,19.9022,193417.21704635
2005-03-09,19.8191,19.8241,19.1794,19.1863,562795.04617971
2005-03-10,19.1941,19.4978,19.1794,19.4773,572134.10969278
2005-03-11,19.4139,19.4656,19.2361,19.2361,359525.78778674
2005-03-14,19.2019,19.7292,19.2019,19.7098,393579.93901804
2005-03-15,19.6708,19.9608,19.5594,19.5594,333256.40794998
2005-03-16,19.5594,19.7098,19.3758,19.3865,410347.45399335
2005-03-17,19.4715,19.6258,19.3933,19.4656,340513.86680105
2005-03-18,19.5642,19.5642,19.1336,19.1336,300238.45146435
2005-03-21,19.1336,19.1863,18.8777,18.9577,338783.46253211
2005-03-22,18.9577,19.1638,18.5729,18.5866,587863.38210672
2005-03-23,18.5475,18.6618,18.0202,18.4714,473262.49583341
2005-03-24,18.4782,18.8474,18.4548,18.6237,331524.97977319
2005-03-28,18.5475,18.7088,18.4265,18.5163,280362.35225205
2005-03-29,18.53,18.6764,18.3386,18.3386,336363.96827914
2005-03-30,18.3982,18.7038,18.3982,18.7038,469634.79031573
2005-03-31,18.7204,18.8474,18.5163,18.5163,369380.90085692
2005-04-01,18.5983,18.8777,18.4665,18.5925,337915.18867407
2005-04-04,18.5983,18.6237,18.3326,18.4714,271893.61041272
2005-04-05,18.5163,18.6316,18.4596,18.5818,197564.04384472
2005-04-06,18.6316,18.7575,18.5778,18.7575,199123.45550247
2005-04-07,18.8034,18.8933,18.6941,18.8434,234729.85103657
2005-04-08,18.8884,18.906,18.655,18.6618,292286.78309
2005-04-11,18.6871,18.7312,18.6042,18.6941,180972.64101985
2005-04-12,18.6941,18.9637,18.5729,18.9421,322538.14056103
2005-04-13,18.8113,18.987,18.8113,18.8591,429358.35107118
2005-04-14,18.9206,18.9206,18.7088,18.7663,384243.94722853
2005-04-15,18.7907,18.8591,18.6989,18.7907,234384.79409063
2005-04-18,18.8279,18.9694,18.7204,18.8884,277251.72019935
2005-04-19,19.0037,19.0525,18.8698,19.0378,236287.21487862
2005-04-20,19.0378,19.1492,18.9206,19.0378,393579.93901804
2005-04-21,19.0916,19.1941,19.0114,19.1199,279844.25487922
2005-04-22,19.2077,19.2479,19.0916,19.197,501607.33688504
