Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-11-01,0.662149,0.669353,0.662149,0.669353,1777442.9772303
1984-11-02,0.669353,0.669353,0.655044,0.662149,67762940.537685
1984-11-05,0.676655,0.676655,0.669353,0.676655,2007546.2339369
1984-11-06,0.683366,0.690964,0.676655,0.690964,1550677.7519837
1984-11-07,0.690964,0.690964,0.676655,0.676655,7026404.2185254
1984-11-08,0.676655,0.676655,0.669353,0.676655,2774544.5914306
1984-11-09,0.676655,0.676655,0.669353,0.669353,3098019.4992416
1984-11-12,0.669353,0.676655,0.669353,0.676655,2247650.4112508
1984-11-13,0.676655,0.676655,0.669353,0.669353,3831673.0099849
1984-11-14,0.669353,0.669353,0.662149,0.662149,3438170.3772129
1984-11-15,0.662149,0.662149,0.662149,0.662149,1640715.4250966
1984-11-16,0.662149,0.662149,0.662149,0.662149,1754106.1446572
1984-11-19,0.662149,0.669353,0.662149,0.669353,1120491.2276339
1984-11-20,0.662149,0.662149,0.655044,0.655044,6312757.6158324
1984-11-21,0.655044,0.662149,0.655044,0.655044,590254.9625252
1984-11-23,0.655044,0.662149,0.655044,0.662149,3314782.7905138
1984-11-26,0.662149,0.662149,0.655044,0.655044,1467303.9813852
1984-11-27,0.655044,0.655044,0.647643,0.647643,400175.65559079
1984-11-28,0.647643,0.655044,0.619025,0.619025,930406.85386366
1984-11-29,0.633334,0.640538,0.633334,0.633334,353485.77656996
1984-11-30,0.633334,0.633334,0.619025,0.633334,2567792.3544374
1984-12-03,0.633334,0.633334,0.625933,0.633334,3501528.1194567
1984-12-04,0.633334,0.633334,0.611624,0.611624,1160507.0704688
1984-12-05,0.611624,0.619025,0.60452,0.60452,840365.12728214
1984-12-06,0.60452,0.60452,0.590112,0.60452,2274328.3153855
1984-12-07,0.60452,0.619025,0.60452,0.60452,2807895.5183841
1984-12-10,0.60452,0.611624,0.60452,0.60452,1287230.6618937
1984-12-11,0.60452,0.611624,0.60452,0.611624,2274328.3153855
1984-12-12,0.611624,0.633334,0.611624,0.619025,3678274.5545268
1984-12-13,0.625933,0.633334,0.619025,0.633334,2230972.4143561
1984-12-14,0.633334,0.633334,0.619025,0.625933,1537339.8132836
1984-12-17,0.633334,0.633334,0.619025,0.625933,2977970.9573698
1984-12-18,0.619025,0.655044,0.619025,0.647643,7740049.8078513
1984-12-19,0.662149,0.676655,0.655044,0.662149,8447022.3743584
1984-12-20,0.662149,0.669353,0.655044,0.669353,1153839.1144859
1984-12-21,0.662149,0.662149,0.640538,0.647643,1390607.287074
1984-12-24,0.655044,0.655044,0.640538,0.640538,960420.76272418
1984-12-26,0.633334,0.633334,0.619025,0.633334,3498191.1013638
1984-12-27,0.633334,0.640538,0.619025,0.619025,1340582.4166945
1984-12-28,0.633334,0.640538,0.625933,0.625933,2114254.8103742
1984-12-31,0.633334,0.633334,0.625933,0.633334,1544008.7826336
1985-01-02,0.633334,0.633334,0.625933,0.633334,2137602.7899862
1985-01-03,0.625933,0.662149,0.625933,0.662149,3308111.7944293
1985-01-04,0.655044,0.655044,0.633334,0.633334,2367704.0199585
1985-01-07,0.640538,0.662149,0.640538,0.647643,1040455.4884954
1985-01-08,0.647643,0.647643,0.633334,0.640538,813690.26324894
1985-01-09,0.640538,0.662149,0.640538,0.662149,917066.88842914
1985-01-10,0.655044,0.662149,0.655044,0.655044,2374370.9625742
1985-01-11,0.662149,0.662149,0.655044,0.662149,2020882.1459027
1985-01-14,0.655044,0.662149,0.647643,0.662149,703644.66871866
1985-01-15,0.669353,0.683366,0.669353,0.676655,1574019.6513926
1985-01-16,0.676655,0.690964,0.669353,0.676655,1627379.5131307
1985-01-17,0.676655,0.676655,0.662149,0.669353,2377701.9004641
1985-01-18,0.676655,0.676655,0.669353,0.676655,2120929.8599273
1985-01-21,0.676655,0.676655,0.676655,0.676655,2527767.391298
1985-01-22,0.683366,0.698069,0.669353,0.669353,1747429.0683697
1985-01-23,0.676655,0.705075,0.676655,0.705075,4278531.4510264
1985-01-24,0.705075,0.705075,0.669353,0.676655,9434121.0412173
1985-01-25,0.676655,0.683366,0.676655,0.683366,11641756.623
1985-01-28,0.683366,0.683366,0.676655,0.683366,1217197.8700969
1985-01-29,0.698069,0.705075,0.690964,0.698069,1500652.8816042
1985-01-30,0.698069,0.726982,0.698069,0.719582,3051331.6469551
1985-01-31,0.719582,0.719582,0.712476,0.719582,9981031.249752
1985-02-01,0.719582,0.762803,0.712476,0.726982,3514873.1517271
1985-02-04,0.719582,0.741094,0.712476,0.733989,3191392.1637131
1985-02-05,0.748692,0.748692,0.733989,0.741094,1217197.8700969
1985-02-06,0.741094,0.741094,0.719582,0.719582,793677.27499565
1985-02-07,0.726982,0.733989,0.719582,0.733989,1513994.8737731
