Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,21.0079,21.3478,20.8645,21.2916,1980368.7624937
2005-02-28,21.2461,21.3044,20.9586,21.0573,2495733.8167028
2005-03-01,21.08,21.4496,21.08,21.3815,2280880.1643987
2005-03-02,21.2837,21.505,21.175,21.4496,1956250.264806
2005-03-03,21.4339,21.4793,21.2095,21.2619,1743476.8923713
2005-03-04,21.3321,21.586,21.2461,21.5406,2443060.0376568
2005-03-07,21.4496,21.6581,21.3478,21.5564,2390394.3530851
2005-03-08,21.4636,21.6,21.4259,21.4636,1782148.2428609
2005-03-09,21.3735,21.5486,21.3321,21.3735,1985359.0058378
2005-03-10,21.3973,21.5347,21.2619,21.3608,2182748.8300559
2005-03-11,21.2837,21.3538,21.1324,21.1808,2216568.5550719
2005-03-14,21.175,21.2837,21.0435,21.1028,2253576.4911134
2005-03-15,21.175,21.3321,21.08,21.1028,2054944.1651059
2005-03-16,21.0494,21.1868,20.8695,20.914,1458768.939532
2005-03-17,20.914,20.9733,20.7273,20.8488,2645020.20437
2005-03-18,20.8558,20.9733,20.6333,20.9586,4096580.0028178
2005-03-21,20.9586,21.175,20.8775,21.08,1797122.0083213
2005-03-22,21.08,21.3321,20.995,21.168,2813573.4642512
2005-03-23,21.2461,21.4042,21.0573,21.1443,2293079.5488271
2005-03-24,21.0642,21.1601,20.9309,20.9446,1666962.8631883
2005-03-28,21.1028,21.1808,21.0346,21.0573,1232275.4333288
2005-03-29,21.0642,21.2313,20.8775,20.9654,2079616.1224668
2005-03-30,20.9586,21.1601,20.8122,21.0287,2112885.4232374
2005-03-31,21.0079,21.0435,20.7411,20.7767,2631848.4712283
2005-04-01,20.7855,20.8488,20.667,20.8271,2440981.781406
2005-04-04,20.8271,21.1532,20.7411,21.001,2755632.2061196
2005-04-05,21.0148,21.3251,20.8922,21.2461,2072268.363512
2005-04-06,21.2837,21.3735,21.1256,21.2382,2284900.0826482
2005-04-07,21.2461,21.5267,21.2461,21.3895,2342150.2750449
2005-04-08,21.4636,21.4636,21.2679,21.2837,1919373.8639703
2005-04-11,21.3321,21.4636,21.3044,21.4418,1440468.3451756
2005-04-12,21.3895,21.6058,21.2916,21.5267,1736686.6403269
2005-04-13,21.4863,21.5347,20.995,21.0494,2190091.5299644
2005-04-14,21.0287,21.1107,20.667,20.7707,3643725.537426
2005-04-15,20.5968,20.75,20.1343,20.1994,3381190.3730386
2005-04-18,20.2143,20.3319,20.0552,20.2143,2832562.0889147
2005-04-19,20.2143,20.2548,19.9267,20.0631,2207833.6056011
2005-04-20,19.9702,20.1135,19.816,19.8317,2071159.4205466
2005-04-21,19.8753,19.985,19.5729,19.7319,3495964.9581455
2005-04-22,19.6954,20.0038,19.6005,19.8003,2774068.3829189
2005-04-25,19.9345,20.0186,19.8003,19.9345,1796153.7068452
2005-04-26,19.9267,20.0345,19.7518,19.7518,2563651.5142857
2005-04-27,19.6954,20.3398,19.6815,20.2489,3770421.2594106
2005-04-28,20.667,20.667,19.9108,20.2074,3489035.0764212
2005-04-29,20.2706,20.5197,20.1066,20.5197,4196380.8224643
2005-05-02,20.5592,20.6333,20.3398,20.4515,2561157.4044228
2005-05-03,20.4594,20.9219,20.3823,20.7411,2824523.264225
2005-05-04,20.7411,21.2095,20.667,21.1324,2894246.0295542
2005-05-05,21.175,21.2837,21.0573,21.0642,3481410.081725
2005-05-06,21.1868,21.2461,20.9783,21.0287,2160426.2938313
2005-05-09,20.9871,21.0722,20.9002,21.0722,1627596.3997268
2005-05-10,20.9309,21.0237,20.8645,20.9309,2022369.9773072
2005-05-11,20.9377,21.0642,20.834,21.0494,1980093.5503709
2005-05-12,21.1028,21.175,20.8044,20.8835,2621043.3599808
2005-05-13,20.995,20.995,20.667,20.8558,2324409.2112175
2005-05-16,20.8558,20.9654,20.7924,20.9446,1603475.8784207
2005-05-17,20.8488,20.8695,20.654,20.8271,2729577.1054797
2005-05-18,20.834,21.2916,20.8271,21.2382,1750680.9744091
2005-05-19,21.2382,21.3124,21.08,21.175,1229778.288038
2005-05-20,21.2461,21.2757,21.1107,21.2016,1361324.623687
2005-05-23,21.2095,21.2837,21.0949,21.2224,1697320.1768655
2005-05-24,21.2313,21.2313,21.0722,21.1176,1466116.698487
2005-05-25,21.0287,21.1176,20.8201,21.001,2296129.1419819
2005-05-26,21.1028,21.3608,21.0573,21.2679,1839121.1995163
2005-05-27,21.175,21.339,21.1107,21.3321,2090980.7642433
2005-05-31,21.3321,21.3538,21.0346,21.2382,3736876.7465173
2005-06-01,21.1324,21.3895,21.001,21.3251,2771156.3958256
2005-06-02,21.339,21.3538,21.2095,21.3044,2190091.5299644
2005-06-03,21.3321,21.4259,21.2461,21.3815,1314885.6133933
2005-06-06,21.3895,21.4122,21.2016,21.2916,1314470.7715907
2005-06-07,21.2916,21.3183,21.0079,21.0148,2379712.682569
2005-06-08,21.0573,21.1443,20.9219,20.995,3054627.9177308
2005-06-09,21.0237,21.1028,20.8558,20.9871,2319139.7085135
2005-06-10,20.995,21.0494,20.7994,20.9002,1517676.4755213
2005-06-13,20.834,21.1028,20.8044,21.0079,1238925.0438839
2005-06-14,21.0287,21.2461,20.8835,21.1601,1421204.5083894
2005-06-15,21.1808,21.1947,20.9219,20.995,1328611.8180177
2005-06-16,20.9586,21.0573,20.8558,21.0148,1298392.1104019
2005-06-17,21.2155,21.2155,20.9586,20.995,2904917.5819775
2005-06-20,20.9219,20.9446,20.7203,20.8122,1981891.5354525
2005-06-21,20.8122,20.8488,20.5968,20.6254,1567023.4256711
2005-06-22,20.8835,20.9219,20.4901,20.5345,1573538.4655926
2005-06-23,20.5819,20.5968,20.3013,20.3754,2481180.9639009
2005-06-24,20.3902,20.4357,20.1343,20.1421,2967157.0059091
2005-06-27,20.2074,20.4811,20.1066,20.3942,2507789.5242142
2005-06-28,20.4287,20.7411,20.3823,20.7341,2180113.0668945
2005-06-29,20.7568,20.7568,20.4139,20.4811,1873084.6014495
2005-06-30,20.5542,20.667,20.3754,20.406,1977319.1693389
2005-07-01,20.4811,20.7924,20.4209,20.4901,1472626.6793622
2005-07-05,20.4287,20.667,20.3754,20.5255,2486306.7896879
2005-07-06,20.5255,20.5464,20.3171,20.3487,2388304.9669322
2005-07-07,20.0926,20.2548,19.9455,20.1994,2531080.3619148
2005-07-08,20.2617,20.3487,20.1787,20.237,2762008.6281705
2005-07-11,20.237,20.3013,20.1006,20.149,2775872.4388562
2005-07-12,20.1648,20.1935,20.0779,20.157,2407714.5042541
2005-07-13,20.1648,20.2222,20.0926,20.1066,2598030.7698307
2005-07-14,20.1283,20.1648,19.9702,19.9958,5567818.4798547
2005-07-15,20.0186,20.0926,19.9455,20.0186,4186400.335776
2005-07-18,20.0779,20.237,19.9958,20.1283,3699589.551116
2005-07-19,20.8488,21.0642,20.2489,20.8044,6803975.2135623
2005-07-20,20.7707,20.8488,20.5819,20.7767,2572248.8576951
2005-07-21,20.7855,20.8922,20.6996,20.7638,3086368.3746868
2005-07-22,20.7855,21.1374,20.7568,21.1374,2575575.6865912
2005-07-25,21.1374,21.175,20.9002,20.9516,2752306.3890328
2005-07-26,20.8922,20.9586,20.7568,20.8488,2773236.6756949
2005-07-27,21.2461,21.4339,21.1443,21.2679,2888564.7204752
2005-07-28,20.8122,20.8271,19.6954,19.816,10884752.779124
2005-07-29,20.3487,20.3991,20.1343,20.2489,6986809.1495505
2005-08-01,20.2489,20.3942,20.237,20.2924,3660226.1230823
2005-08-02,20.4811,20.6254,20.3171,20.3487,5886353.2403749
