Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,1.08434,1.11073,1.06323,1.07923,741981.37831522
1982-01-04,1.07923,1.08434,1.06843,1.08434,319130.55951128
1982-01-05,1.04231,1.07373,1.01079,1.03731,975630.55648592
1982-01-06,1.02101,1.03731,1.00579,1.00579,1589960.5410742
1982-01-07,1.00029,1.02101,0.974077,1.00029,1181923.4929223
1982-01-08,1.01591,1.02651,1.00029,1.01591,969927.92403487
1982-01-11,0.989693,1.02651,0.952779,0.958272,793273.94246834
1982-01-12,0.958272,0.968874,0.947671,0.958272,740838.98415064
1982-01-13,0.947671,0.974077,0.910662,0.92107,1071365.4701921
1982-01-14,0.915673,0.92107,0.90565,0.910662,996143.84679841
1982-01-15,0.984389,1.05272,0.910662,1.02651,3599344.7184584
1982-01-18,1.02651,1.03731,1.00579,1.02651,2309139.6903601
1982-01-19,0.989693,1.02101,0.958272,0.958272,1403037.4631887
1982-01-20,1.00579,1.04231,0.958272,1.03171,2037880.7380895
1982-01-21,1.07923,1.11073,1.03731,1.07373,3409004.8340481
1982-01-22,1.06323,1.07923,1.04771,1.05821,1246890.5463535
1982-01-25,1.02101,1.04771,0.989693,1.03171,1303881.5925701
1982-01-26,1.03731,1.04771,1.02651,1.03731,1771184.0992991
1982-01-27,1.04771,1.07373,1.02651,1.07373,1301595.7666441
1982-01-28,1.10033,1.13715,1.05821,1.13715,4091719.7161894
1982-01-29,1.13715,1.15286,1.10563,1.11613,2543936.4506799
1982-02-01,1.10563,1.12134,1.08434,1.11073,1569443.1003742
1982-02-02,1.13185,1.15806,1.11073,1.13715,2455038.2628144
1982-02-03,1.15806,1.17936,1.13715,1.15806,2850525.5767057
1982-02-04,1.15286,1.19005,1.11073,1.12134,2404882.9048414
1982-02-05,1.11073,1.13715,1.08434,1.09533,1404180.8949503
1982-02-08,1.03731,1.08973,0.974077,0.984389,2437933.4782518
1982-02-09,0.989693,1.01079,0.968874,1.00029,1658340.2506429
1982-02-10,1.02101,1.05272,0.984389,1.03731,6179746.4738799
1982-02-11,1.03731,1.05272,1.02101,1.03731,3897960.9500603
1982-02-12,1.06843,1.08434,1.04771,1.08434,2779866.2667923
1982-02-16,1.05272,1.07923,1.03171,1.05272,1706213.9330772
1982-02-17,1.05272,1.07923,1.02651,1.02651,1535255.3207836
1982-02-18,1.02101,1.04771,0.989693,1.00029,1790558.1082376
1982-02-19,0.989693,1.00579,0.974077,0.984389,4162385.2516842
1982-02-22,0.937165,0.994897,0.879243,0.889747,2453888.6054715
1982-02-23,0.90565,0.926275,0.88464,0.92107,2148441.8736103
1982-02-24,0.926275,0.958272,0.889747,0.958272,1611614.1503575
1982-02-25,0.937165,0.958272,0.910662,0.92107,797826.91757664
1982-02-26,0.910662,0.926275,0.89476,0.915673,1543224.06482
1982-03-01,0.915673,0.926275,0.910662,0.92107,760222.33146107
1982-03-02,0.89476,0.926275,0.85274,0.868738,1469143.7979939
1982-03-03,0.842235,0.863438,0.816213,0.816213,2240754.7928071
1982-03-04,0.805419,0.83703,0.768699,0.779012,2214543.0204311
1982-03-05,0.779012,0.794818,0.757905,0.779012,1687974.0175282
1982-03-08,0.763206,0.799926,0.721186,0.742389,1170527.5663921
1982-03-09,0.736895,0.757905,0.721186,0.742389,2912071.6732245
1982-03-10,0.768699,0.794818,0.736895,0.763206,788715.77937564
1982-03-11,0.779012,0.789419,0.763206,0.774097,741981.37831522
1982-03-12,0.784312,0.805419,0.763206,0.768699,854814.85100265
1982-03-15,0.774097,0.789419,0.757905,0.789419,889009.8937714
1982-03-16,0.779012,0.789419,0.768699,0.774097,454758.99804973
1982-03-17,0.774097,0.784312,0.757905,0.779012,651936.64589754
1982-03-18,0.779012,0.789419,0.763206,0.768699,477559.15188517
1982-03-19,0.784312,0.83703,0.774097,0.831634,1093030.4930411
1982-03-22,0.85274,0.868738,0.83703,0.85274,3005536.3249577
1982-03-23,0.831634,0.858136,0.805419,0.816213,788715.77937564
1982-03-24,0.799926,0.821321,0.774097,0.794818,578995.66044552
1982-03-25,0.810913,0.831634,0.784312,0.799926,1836142.8519552
1982-03-26,0.794818,0.799926,0.784312,0.794818,757937.54313187
1982-03-29,0.799926,0.816213,0.789419,0.816213,560760.93288095
1982-03-30,0.805419,0.816213,0.789419,0.794818,559619.57631324
1982-03-31,0.799926,0.805419,0.789419,0.789419,626861.04210485
1982-04-01,0.805419,0.821321,0.784312,0.816213,816063.72033496
1982-04-02,0.816213,0.826332,0.810913,0.816213,801248.91208603
1982-04-05,0.816213,0.816213,0.805419,0.810913,499207.57318408
1982-04-06,0.810913,0.816213,0.805419,0.816213,533408.84153409
1982-04-07,0.816213,0.816213,0.805419,0.816213,665616.32316004
1982-04-08,0.831634,0.85274,0.810913,0.83703,1383660.3414597
1982-04-12,0.821321,0.83703,0.810913,0.816213,771617.22039439
1982-04-13,0.805419,0.816213,0.789419,0.794818,494654.59807577
1982-04-14,0.779012,0.789419,0.768699,0.784312,1164832.1971192
1982-04-15,0.784312,0.789419,0.774097,0.789419,598369.66938404
1982-04-16,0.794818,0.816213,0.774097,0.789419,1307292.1735138
1982-04-19,0.794818,0.810913,0.774097,0.774097,658777.52212568
1982-04-20,0.763206,0.768699,0.752797,0.763206,732864.01453294
