Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1972-03-20,0.0308984,0.0308984,0.0308984,0.0308984,3450104.0397405
1972-03-22,0.0308984,0.0385858,0.0308984,0.0308984,1194264.5340561
1972-03-23,0.0308984,0.0385858,0.0308984,0.0308984,862526.51400586
1972-03-24,0.0308984,0.0385858,0.0308984,0.0308984,1393308.9591126
1972-03-27,0.0385858,0.0385858,0.0385858,0.0385858,1526006.5866722
1972-03-28,0.0385858,0.0385858,0.0385858,0.0385858,1924094.4286439
1972-03-29,0.0385858,0.0385858,0.0385858,0.0385858,1725047.9873044
1972-03-30,0.0385858,0.0385858,0.0385858,0.0385858,1658703.2060905
1972-04-03,0.0385858,0.0385858,0.0308984,0.0308984,530786.47767264
1972-04-04,0.0308984,0.0385858,0.0308984,0.0308984,530786.47767264
1972-04-05,0.0308984,0.0308984,0.0308984,0.0308984,398086.8338301
1972-04-06,0.0308984,0.0308984,0.0308984,0.0308984,995223.13342402
1972-04-07,0.0308984,0.0308984,0.0308984,0.0308984,1725047.9873044
1972-04-10,0.0308984,0.0308984,0.0308984,0.0308984,464434.63946846
1972-04-11,0.0308984,0.0308984,0.0308984,0.0308984,1459656.7647511
1972-04-12,0.0308984,0.0308984,0.0308984,0.0308984,464434.63946846
1972-04-13,0.0308984,0.0308984,0.0308984,0.0308984,663479.06452497
1972-05-08,0.0308984,0.0308984,0.0308984,0.0308984,11212829.559954
1972-05-11,0.0308984,0.0308984,0.0308984,0.0308984,6369413.5366766
1972-05-12,0.0308984,0.0308984,0.0308984,0.0308984,4113580.0798411
1972-05-15,0.0308984,0.0308984,0.0308984,0.0308984,15392756.437293
1972-05-16,0.0308984,0.0308984,0.0308984,0.0308984,5838630.0834284
1972-05-17,0.0308984,0.0308984,0.0308984,0.0308984,4644363.5330894
1972-05-18,0.0308984,0.0308984,0.0308984,0.0308984,4710715.3712936
1972-05-19,0.0385858,0.0385858,0.0385858,0.0385858,9288737.1475933
1972-05-22,0.0385858,0.0385858,0.0385858,0.0385858,4312626.5211805
1972-05-23,0.0385858,0.0385858,0.0385858,0.0385858,7099245.4475473
1972-05-24,0.0385858,0.0385858,0.0385858,0.0385858,9885866.390197
1972-05-25,0.0385858,0.0385858,0.0385858,0.0385858,4113580.0798411
1972-05-26,0.0385858,0.0385858,0.0385858,0.0385858,6435762.3504564
1972-05-30,0.0385858,0.0385858,0.0385858,0.0385858,2388531.0843952
1972-05-31,0.0385858,0.0385858,0.0385858,0.0385858,12606141.543491
1972-06-01,0.0385858,0.0385858,0.0385858,0.0385858,3317402.379615
1972-06-02,0.0385858,0.0385858,0.0385858,0.0385858,1725047.9873044
1972-06-05,0.0385858,0.0385858,0.0385858,0.0385858,5307846.6301801
