Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,8.27542,8.30575,8.25892,8.30575,4158810.8203636
2005-02-28,8.30575,8.35575,8.20033,8.26949,2116994.3030964
2005-03-01,8.30179,8.4829,8.28994,8.45523,2001452.8024091
2005-03-02,8.41501,8.45917,8.35178,8.38479,1549839.5239283
2005-03-03,8.4078,8.42629,8.28994,8.31563,1377159.8695468
2005-03-04,8.38873,8.44535,8.36957,8.41107,2521993.8118219
2005-03-07,8.41107,8.43418,8.35178,8.35575,2412048.5141348
2005-03-08,8.31563,8.35178,8.21484,8.22868,3526445.9542534
2005-03-09,8.21484,8.24054,8.10874,8.11862,3599748.2175363
2005-03-10,8.15685,8.19173,8.08572,8.11536,2823277.8346648
2005-03-11,8.13581,8.21484,8.12129,8.20033,2126306.1257775
2005-03-14,8.26622,8.38479,8.25892,8.33993,3050000.4738536
2005-03-15,8.57251,8.57645,8.37422,8.39724,4326535.9777862
2005-03-16,8.39724,8.42232,8.22868,8.28994,2234390.071083
2005-03-17,8.36957,8.38873,8.24054,8.32946,3104051.5558981
2005-03-18,8.28994,8.28994,8.08968,8.19173,3030746.2561514
2005-03-21,8.24449,8.24449,8.10874,8.11536,2276633.3571061
2005-03-22,8.18254,8.27216,8.08968,8.10024,2321358.4463047
2005-03-23,8.21881,8.21881,8.04946,8.04946,2281614.1700858
2005-03-24,8.04946,8.09293,8.00145,8.00145,1830001.9037596
2005-03-28,8.04224,8.13838,8.01459,8.02644,1764777.6466526
2005-03-29,8.05342,8.14569,8.01459,8.02644,1972867.5310878
2005-03-30,8.05677,8.05677,7.98229,8.0383,1998343.4633573
2005-03-31,8.06329,8.0706,7.97507,7.98229,2372917.6036273
2005-04-01,7.96914,7.99808,7.77352,7.89997,3948857.5592377
2005-04-04,7.92498,8.03039,7.89997,7.96124,2726362.0036486
2005-04-05,7.96124,8.04946,7.95067,7.99017,2057356.1274433
2005-04-06,8.01459,8.05677,7.96914,7.99808,1896468.0746089
2005-04-07,8.00797,8.0706,7.98229,8.03039,1429961.9527665
2005-04-08,8.00797,8.03039,7.90788,7.92893,1044825.978836
2005-04-11,7.96914,8.05342,7.85977,7.97832,2951430.782157
2005-04-12,8.00145,8.14569,7.99017,8.11862,2621800.3564877
