Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-07-06,51.5064,52.5192,49.8192,50.4229,2645246.9086722
2015-07-07,50.5495,50.6103,48.6739,49.4109,3860151.4452806
2015-07-08,49.4345,50.5407,47.0603,47.2271,4784510.125537
2015-07-09,47.0603,48.1929,46.2772,47.0692,2888002.0313958
2015-07-10,47.4323,48.7219,46.9809,48.564,2829204.298612
2015-07-13,49.0684,49.2373,48.7299,49.1342,1579032.1262759
2015-07-14,49.1175,49.8702,48.5934,49.1852,1257774.0626165
2015-07-15,49.2373,49.7741,48.349,48.7396,1529665.1797721
2015-07-16,48.7995,50.3669,48.6739,49.2903,1726834.4329026
2015-07-17,49.5287,50.0254,48.7544,48.8397,1533768.2238895
2015-07-20,49.0389,49.7741,48.6405,48.6807,2500480.8750699
2015-07-21,48.9124,49.7172,47.1556,47.3342,2286175.0192553
2015-07-22,47.7346,48.3588,47.1153,47.5659,1138033.8471441
2015-07-23,47.2753,48.0742,46.9417,47.3342,1421873.4118695
2015-07-24,47.0986,47.4166,45.6048,46.5922,1459805.4281204
2015-07-27,46.231,46.9965,45.7698,46.0239,1586869.3786598
2015-07-28,46.2849,47.2586,45.4723,46.9347,2069212.9339863
2015-07-29,46.5696,47.2419,45.9375,46.972,2263417.2359419
2015-07-30,48.5306,49.9793,48.2763,49.6936,4463236.778624
2015-07-31,48.6405,50.4229,48.3726,49.8781,2054420.7823858
2015-08-03,50.1196,51.205,49.3431,49.9636,2690565.8307712
2015-08-04,49.2373,50.1853,49.2293,49.4875,888700.81212315
2015-08-05,50.0587,50.5888,49.2098,49.6318,1895749.0258851
2015-08-06,49.0389,49.4345,47.8347,48.8328,3207486.2187681
2015-08-07,48.7828,49.5219,48.2283,49.4787,2605672.452114
2015-08-10,50.1196,50.524,49.2539,50.1107,1789628.2270294
2015-08-11,50.9253,50.9253,49.1017,50.4474,2170682.5293665
2015-08-12,50.4474,50.8222,49.1017,50.3757,1754689.6906931
2015-08-13,50.3345,50.7654,49.6102,50.2324,1060957.3431995
2015-08-14,50.2324,50.7731,49.302,50.3119,1179723.5059836
2015-08-17,49.835,50.4552,49.835,50.4012,897702.64842218
2015-08-18,50.1461,50.5907,50.0577,50.256,1013576.2007645
2015-08-19,50.1107,50.3591,49.3894,49.3894,1354784.0046316
2015-08-20,49.1362,49.1362,48.0437,48.2823,1630647.7488083
2015-08-21,47.9151,47.9574,46.654,46.9524,2461993.567276
2015-08-24,45.0817,47.9761,42.5534,44.9267,2697022.4959242
2015-08-25,46.389,46.446,43.7734,44.1612,2951747.4627725
2015-08-26,45.4576,46.1034,43.8843,44.9188,2338074.9103025
2015-08-27,46.3419,47.1457,45.9454,47.1213,2355795.3332693
2015-08-28,47.2007,48.0762,47.1213,47.9505,1896073.0308587
2015-08-31,47.814,47.9221,46.6609,47.2251,2113490.5570815
2015-09-01,46.548,47.0427,45.8816,46.4921,2326889.6065231
2015-09-02,46.8807,47.2939,45.7137,46.2849,1555619.2008299
2015-09-03,46.4293,47.4558,46.2938,46.7257,1389976.2429756
2015-09-04,45.5626,46.4146,45.5537,45.6313,1031800.9710962
2015-09-08,46.2614,46.6923,45.9012,46.6285,786102.29375258
2015-09-09,46.9454,47.7886,46.2546,46.3468,1356422.3694045
2015-09-10,46.2546,47.2743,46.1741,46.7375,2089976.7621627
2015-09-11,46.548,47.5659,46.1682,46.7443,1297979.2081015
2015-09-14,46.7443,47.4402,45.7942,47.4067,1866663.9756313
2015-09-15,50.1196,50.1196,46.6834,47.4872,1788242.5453806
2015-09-16,47.13,47.13,45.3624,46.7777,2469407.9829803
2015-09-17,46.6923,47.0878,45.6568,45.9356,1543931.5874529
2015-09-18,45.3291,45.6156,44.2416,44.3201,2784221.6080895
2015-09-21,45.8973,45.8973,44.1532,44.4476,2072644.5338341
2015-09-22,45.3448,45.3448,42.5318,42.9205,2503339.862354
2015-09-23,42.8351,43.7802,41.839,42.0049,2314449.0381913
2015-09-24,40.5866,41.7359,40.1822,41.6239,3113757.0818331
2015-09-25,41.83,41.9959,41.1146,41.3364,1846429.9669089
2015-09-28,40.8653,41.3119,39.7053,39.7621,2219240.4823195
2015-09-29,39.293,40.7956,38.8297,40.2381,2230121.1399129
2015-09-30,43.5722,43.5722,40.2764,40.9321,2000509.6151811
2015-10-01,43.9373,44.5978,40.6504,41.3747,2764491.946732
2015-10-02,39.7788,42.2108,39.7788,42.1805,2422903.0804113
2015-10-05,42.4887,43.2719,42.2619,43.0461,1941320.6311083
2015-10-06,43.2543,43.7999,42.9451,43.2169,2721132.337729
2015-10-07,41.0096,43.6291,41.0096,43.0166,3095521.1037822
2015-10-08,42.9028,43.4769,42.6173,43.1197,2275611.2344508
2015-10-09,43.7734,45.9267,43.7734,45.8109,4367742.935354
2015-10-12,45.7765,45.8246,44.1474,44.8207,1630439.8965608
2015-10-13,44.5527,45.1965,44.1228,44.1895,2223078.6167098
2015-10-14,44.2239,44.7107,43.9863,44.3681,1283026.0728978
2015-10-15,44.6616,44.6616,43.7243,44.5654,1102178.3155991
2015-10-16,46.0318,46.0318,43.5722,44.3898,1755690.2343542
2015-10-19,43.9148,44.3446,42.6977,43.1815,1809985.5206631
2015-10-20,42.84,43.316,42.6741,42.7762,1069992.8026562
2015-10-21,43.1286,43.1286,41.1774,41.83,1964190.4916139
2015-10-22,42.3061,42.7762,41.3188,41.7732,2361826.1050921
2015-10-23,41.9244,42.7369,41.886,42.4671,1887907.6979669
2015-10-26,42.4101,42.4612,41.5268,42.3777,1462993.514796
2015-10-27,42.0049,42.42,41.5111,42.2275,1284031.7109766
2015-10-28,43.6016,43.7008,42.1373,43.2935,2298235.5440174
2015-10-29,41.9411,43.6291,41.3924,43.0166,1383945.4711528
2015-10-30,43.0539,43.4112,42.7762,42.7762,1314569.6891946
2015-11-02,42.6173,43.4849,42.5839,43.0461,1470217.3992737
2015-11-03,40.5964,42.8253,40.5964,42.3474,1744509.0061092
2015-11-04,43.6351,43.6351,42.2669,42.3709,1284225.298854
2015-11-05,39.771,41.8477,38.3528,40.882,4945348.0284976
2015-11-06,40.5178,42.7516,40.5178,42.6977,1765621.2924648
2015-11-09,40.6857,43.0373,40.6759,41.2962,1856838.8814115
2015-11-10,41.8477,41.8477,40.0458,40.8428,1511376.2197759
2015-11-11,40.1351,41.3364,40.1351,41.0262,1007545.4289417
2015-11-12,40.1037,40.5178,39.1802,39.2027,1692100.6921631
2015-11-13,38.9239,39.771,38.5373,38.6295,2063474.5817468
2015-11-16,38.6708,38.7895,37.9131,38.1378,2978141.6415304
2015-11-17,37.12,39.3264,37.12,38.292,2867432.8099804
2015-11-18,38.2075,39.7945,38.2075,39.7543,2208807.1146112
2015-11-19,39.5295,40.4982,39.2803,40.2441,1918270.4282115
2015-11-20,40.3863,40.6592,39.9703,40.1861,1230469.0019511
2015-11-23,39.3843,40.8123,39.3843,40.4187,1489453.9209858
2015-11-24,42.2001,42.2001,40.1312,40.4982,1606380.9989346
2015-11-25,40.0409,40.9183,39.29,40.3245,1154778.1796555
2015-11-27,40.1949,40.6425,40.0919,40.4286,360363.83377753
2015-11-30,41.784,41.784,40.5168,40.6042,1822631.9034751
2015-12-01,40.724,41.4788,40.4187,40.9183,1317148.4834982
2015-12-02,39.9142,41.358,39.9142,40.3962,1351999.3958478
2015-12-03,41.784,41.784,40.1066,40.5248,1551466.2314179
2015-12-04,40.6337,40.724,39.9241,40.4364,1032080.1451931
2015-12-07,39.5452,40.4364,39.2164,39.2654,1922138.1102251
2015-12-08,39.1841,39.4393,38.4784,38.4931,1536427.5099947
2015-12-09,38.607,39.1526,38.0937,38.5363,1906801.8748009
2015-12-10,37.7158,38.7689,37.2918,37.6215,3913853.7413545
2015-12-11,37.0356,37.6745,36.5793,36.6981,1956680.3008544
2015-12-14,36.6096,36.8364,35.2043,35.4074,2591904.2784968
2015-12-15,35.8235,36.538,34.9264,34.9431,4069469.8660431
2015-12-16,35.2936,36.0964,34.2846,36.0247,4969997.8785918
2015-12-17,35.9198,36.324,35.6233,35.9825,4171716.8695837
2015-12-18,36.0738,36.3937,35.32,35.3583,6238993.924796
2015-12-21,35.4888,35.9678,35.3014,35.6714,4263738.3576634
2015-12-22,35.7214,35.8951,34.7498,35.32,3119333.4315858
2015-12-23,35.6557,36.594,35.3416,36.4998,2144715.2628224
2015-12-24,36.6411,36.9788,36.324,36.4998,551238.42424188
2015-12-28,36.4174,36.6176,36.0169,36.594,1176478.3618283
2015-12-29,36.8443,37.1298,36.6323,36.7854,1099661.673193
2015-12-30,36.6578,36.9502,36.5075,36.6981,1310672.4595574
2015-12-31,36.4487,37.177,36.4094,36.587,1212262.5715236
2016-01-04,35.9384,36.5135,35.6026,36.5075,2052760.0021746
2016-01-05,36.5458,36.6538,36.2799,36.4812,1953834.5590567
2016-01-06,35.846,36.0051,35.2876,35.4712,1718659.9300586
2016-01-07,34.74,35.7519,34.6036,35.1169,2486879.7983573
2016-01-08,34.9176,35.0227,33.4749,33.6269,3689376.370908
2016-01-11,33.739,33.8439,31.6043,31.8869,4645625.0878733
2016-01-12,32.0959,32.4316,30.3921,30.7562,4411629.3071603
2016-01-13,30.4097,32.0959,30.3862,30.4441,5827581.986632
2016-01-14,30.5864,31.2195,30.0113,30.877,2208159.1046637
2016-01-15,30.1134,30.605,29.5923,29.713,3035576.1081039
2016-01-19,30.0261,30.1379,29.0484,29.2408,2964816.6822641
2016-01-20,28.7766,29.4882,27.6812,28.91,3342269.231198
2016-01-21,29.0544,29.9593,28.6942,29.1986,2054823.2413941
2016-01-22,29.8739,30.6207,29.601,30.2655,2335744.7235887
2016-01-25,27.324,27.4212,25.2845,25.7508,10457577.400614
2016-01-26,25.9843,26.4171,25.5495,25.7271,3600218.9645302
2016-01-27,25.4474,27.0354,25.4474,26.1454,2574209.3276191
2016-01-28,26.3053,26.7057,25.365,25.3836,3075589.7034786
2016-01-29,25.5495,28.3968,25.4229,28.2917,6432632.7463729
2016-02-01,27.9011,28.2761,26.7843,28.0748,4471238.071262
2016-02-02,27.378,27.5791,26.7233,26.7528,3777903.0883588
2016-02-03,27.2259,27.5164,26.3769,26.7135,4672266.8553377
2016-02-04,26.5684,27.7068,26.5536,27.6126,4138602.1348293
2016-02-05,27.434,27.9561,26.7057,26.7843,1748590.6536715
2016-02-08,26.6252,26.7773,25.5015,25.8146,2576486.5323874
2016-02-09,25.4004,26.4064,25.365,26.2169,3901443.7395297
2016-02-10,25.6615,26.8951,25.3866,25.4337,3810738.6490164
2016-02-11,25.0048,25.3954,24.1205,24.2903,3683402.6565649
2016-02-12,24.6466,25.2207,24.4366,25.1757,2799631.2031305
2016-02-16,25.5545,25.7085,24.8977,25.5642,2899955.5733834
2016-02-17,26.0167,26.8697,25.7252,26.5359,2473711.74716
2016-02-18,26.6488,26.9039,25.9608,26.5536,2451480.7266496
2016-02-19,25.6928,26.3583,24.7939,25.6064,4342052.8051396
2016-02-22,26.7479,26.7479,25.7674,26.2435,1839539.2573569
2016-02-23,26.0971,26.5133,25.9019,26.4318,1783253.0725616
2016-02-24,25.9686,26.4711,25.684,26.212,2051009.5602093
2016-02-25,26.4161,26.7636,25.8322,26.3023,1770005.5484461
2016-02-26,26.3985,27.6587,26.1138,27.2249,2605265.9175716
2016-02-29,26.3985,28.5498,26.3985,27.3976,3471213.0219155
2016-03-01,27.7294,28.7304,27.5674,28.7197,2381908.3001633
2016-03-02,28.5568,30.0024,28.4537,29.9348,3555033.5161783
2016-03-03,29.7982,30.6895,29.7982,30.5697,3016786.8762771
2016-03-04,30.7562,30.8289,29.3929,29.8199,3949022.5453765
2016-03-07,29.7207,30.1723,28.9052,29.4009,2587586.2499472
2016-03-08,29.0759,29.3154,28.121,28.6854,2954976.3047907
2016-03-09,28.9219,29.2388,28.6226,28.8816,2952493.2855422
2016-03-10,28.913,29.1417,28.0375,28.4252,2115349.0007046
2016-03-11,28.8258,30.0103,28.5293,29.9858,1916968.2950149
2016-03-14,29.45,31.1597,29.45,30.8435,3052856.3733706
2016-03-15,30.7729,30.7729,29.5294,30.0339,1575210.2940226
2016-03-16,30.0584,31.031,29.6972,30.82,2492005.8015742
2016-03-17,30.6257,32.1175,30.6257,31.9575,3210899.4787118
2016-03-18,32.0449,32.3708,31.0634,31.986,9891247.2730039
2016-03-21,31.8604,32.9763,31.8604,32.5396,3412366.3827205
2016-03-22,32.1912,32.8094,32.0616,32.6053,2678443.1541118
2016-03-23,32.3383,32.5474,31.6621,31.8015,1547739.1553362
2016-03-24,31.3431,31.4275,30.9525,31.2568,1872512.3672958
2016-03-28,31.3628,31.4423,30.87,31.2018,1376358.8641259
2016-03-29,30.9005,31.6238,30.342,31.6062,1698907.8532626
2016-03-30,31.6327,31.8997,30.4224,31.031,1860926.6422753
2016-03-31,30.9604,31.6965,30.8917,31.6621,2824894.421131
2016-04-01,31.4609,32.0293,31.2018,31.8015,2434746.5829739
2016-04-04,31.6395,31.9575,30.6493,30.6994,1657676.6920273
2016-04-05,30.397,30.5432,29.3606,29.5863,1853476.5656461
