Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,82.255,82.6091,81.8364,82.2977,195247.24842321
2005-02-28,82.1925,82.6706,82.128,82.4613,347525.82702168
2005-03-01,82.4613,84.4035,82.255,84.341,415150.42002935
2005-03-02,83.6526,84.4461,83.5247,84.1278,241098.1721785
2005-03-03,84.1278,84.1278,82.7728,83.36,293953.60810925
2005-03-04,83.8133,84.1684,83.5019,83.7935,375536.81878837
2005-03-07,83.6973,83.9214,83.5247,83.7935,299949.98669583
2005-03-08,83.6327,83.6973,81.5249,82.1925,497790.1547096
2005-03-09,81.3523,82.255,80.6262,81.1757,351124.86393394
2005-03-10,80.7988,81.4197,79.1036,80.0191,588291.31511586
2005-03-11,80.1283,80.5876,78.9379,79.2742,228055.94793932
2005-03-14,79.1483,79.547,78.7088,79.2296,286233.3210857
2005-03-15,79.1483,79.2296,77.9767,78.1682,311600.98658238
2005-03-16,78.0175,78.1504,76.7309,77.1237,286807.95723136
2005-03-17,77.2516,77.8577,76.8737,77.5651,246907.03791756
2005-03-18,77.5225,77.7725,77.0414,77.6256,266517.25248821
2005-03-21,77.6455,78.1087,77.457,77.8577,342442.81746661
2005-03-22,77.7725,78.4182,77.2934,77.2934,199616.49939735
2005-03-23,77.1426,77.2516,75.8521,75.977,300622.41179961
2005-03-24,75.9969,76.2042,75.3303,75.3303,325899.3452733
2005-03-28,75.4781,75.8749,75.0604,75.4781,605222.91874089
2005-03-29,75.0604,75.3303,74.746,74.9584,481145.8691574
2005-03-30,74.9584,76.8737,74.9584,76.5196,363880.77823389
2005-03-31,76.357,77.0642,76.226,76.8737,625029.71936138
2005-04-01,77.0414,78.1087,76.7487,77.1654,528964.66967816
2005-04-04,77.1426,77.2696,76.102,76.8321,406276.82818013
2005-04-05,76.9372,76.9372,76.4998,76.6039,123976.2362246
2005-04-06,76.3966,76.9372,75.2291,75.8937,335533.06984852
2005-04-07,75.9165,76.2042,75.2093,75.7271,335967.57542532
2005-04-08,75.5823,79.4369,75.3739,77.8775,996248.70198863
2005-04-11,77.6613,78.0879,76.3113,76.7309,331988.47215005
2005-04-12,76.7309,76.9372,75.1666,76.357,285467.13955816
2005-04-13,76.102,76.1258,74.6657,75.2291,281815.67969928
2005-04-14,75.0764,75.0764,73.52,74.015,801526.69116523
2005-04-15,73.6242,74.5417,73.2055,74.5417,450786.93426223
2005-04-18,74.5417,74.7649,73.3911,73.6043,520956.0564482
2005-04-19,73.6043,74.1648,73.6043,74.0566,239230.10063833
2005-04-20,74.1231,74.3324,73.1243,73.3911,492894.65800206
2005-04-21,73.7025,73.7025,71.551,71.929,1054043.9925048
2005-04-22,72.0212,72.3753,71.2405,71.5966,1502189.6167642
2005-04-25,71.3517,72.4329,70.5124,71.7068,605846.9534324
2005-04-26,71.184,72.1413,71.1027,71.6642,1224644.3909474
2005-04-27,71.6642,71.8883,70.4946,70.7436,1015576.6391544
2005-04-28,68.2856,69.3688,65.5558,68.244,3672963.3483297
2005-04-29,68.8093,70.0353,67.9573,69.7437,1945353.0448274
2005-05-02,69.9322,72.7216,69.9322,71.9528,1453034.0311046
2005-05-03,71.9528,72.8742,71.5332,72.7632,670688.0896012
2005-05-04,73.0786,75.0208,72.8742,73.9148,860613.40080877
2005-05-05,73.9783,73.9783,72.6223,73.3703,1122292.620204
2005-05-06,72.9744,73.7442,72.5162,73.4744,700569.16917524
2005-05-09,73.4744,74.1231,73.2661,73.9783,424554.2901463
2005-05-10,73.7025,73.7025,72.4567,72.8316,821432.28887743
2005-05-11,72.7632,72.7632,71.5332,71.8883,614911.08252991
2005-05-12,71.551,71.7692,70.4946,70.7228,625509.59094968
2005-05-13,70.4094,70.8477,69.9769,70.4094,552512.65404694
2005-05-16,70.4094,70.8289,70.3082,70.7436,294241.93431567
2005-05-17,70.333,70.4094,69.6386,70.333,995335.33295712
2005-05-18,70.1405,70.8894,70.0542,70.6216,207957.79671165
2005-05-19,70.4094,71.184,70.3666,70.9093,168004.45445123
