Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,2.79948,2.84742,2.79948,2.80884,591060.78406175
1977-01-04,2.80884,2.81582,2.77073,2.77801,214169.04583791
1977-01-05,2.76127,2.76127,2.71568,2.71568,225470.44586581
1977-01-06,2.71568,2.7467,2.67729,2.70839,300753.53188921
1977-01-07,2.70839,2.73262,2.69442,2.72258,104577.55796848
1977-01-10,2.72258,2.73262,2.7012,2.71568,337574.48438846
1977-01-11,2.71568,2.72258,2.62509,2.62509,288629.51018422
1977-01-12,2.62509,2.63219,2.60108,2.61752,223792.70387748
1977-01-13,2.62509,2.65611,2.62509,2.64636,215427.35232915
1977-01-14,2.64636,2.64636,2.61752,2.63219,292397.32058173
1977-01-17,2.62509,2.62509,2.60826,2.60826,298249.10589453
1977-01-18,2.60826,2.63219,2.60826,2.60826,141390.38580919
1977-01-19,2.60826,2.62509,2.59368,2.60826,260184.06505647
1977-01-20,2.60826,2.62509,2.5866,2.5866,337574.48438846
1977-01-21,2.5866,2.60108,2.57005,2.5866,240939.79572428
1977-01-24,2.59861,2.59861,2.5221,2.5221,505731.55775475
1977-01-25,2.5221,2.58187,2.5221,2.57458,221283.19997122
1977-01-26,2.57458,2.59132,2.53638,2.53638,159791.72181796
1977-01-27,2.53638,2.56758,2.52929,2.55331,171086.01276964
1977-01-28,2.55331,2.5603,2.5221,2.55331,173175.06559651
1977-01-31,2.55331,2.55331,2.50507,2.50507,362669.52345113
1977-02-01,2.50507,2.50507,2.46716,2.49079,355555.36931783
1977-02-02,2.49079,2.49079,2.45279,2.46027,640006.7738483
1977-02-03,2.46027,2.49079,2.45279,2.47415,145988.94254233
1977-02-04,2.50507,2.57458,2.50507,2.55331,397806.64046815
1977-02-07,2.55331,2.57458,2.54367,2.56758,208734.66485756
1977-02-08,2.56758,2.66074,2.56758,2.59861,472681.46239996
1977-02-09,2.59861,2.63672,2.57458,2.57458,99973.923323755
1977-02-10,2.57458,2.59132,2.52929,2.55331,173175.06559651
1977-02-11,2.55331,2.57458,2.52929,2.55331,398641.44913305
1977-02-14,2.55331,2.56758,2.52929,2.5603,220448.39130632
1977-02-15,2.5603,2.59861,2.5603,2.58187,194924.77650571
1977-02-16,2.58187,2.61288,2.56758,2.59861,582693.40134878
1977-02-17,2.59861,2.60589,2.56758,2.59132,315821.7267323
1977-02-18,2.57458,2.57458,2.55331,2.56758,269388.28759897
1977-02-22,2.5603,2.5603,2.5148,2.5221,149750.65944593
1977-02-23,2.5221,2.54367,2.50507,2.53638,144733.68279804
