Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,39.933,40.105,38.644,39.997,1504999
2005-02-28,40.225,40.595,39.014,39.728,1134168
2005-03-01,39.955,40.454,39.434,39.94,1109928
2005-03-02,39.898,40.689,39.762,40.488,835689
2005-03-03,40.71,40.739,39.624,40.154,996090
2005-03-04,40.105,40.255,39.457,39.769,1304081
2005-03-07,40.02,41.273,39.933,41.215,1494132
2005-03-08,41.33,41.399,39.904,40.124,1904702
2005-03-09,40.048,40.071,38.723,38.864,2121515
2005-03-10,39.002,39.292,38.126,38.76,2025884
2005-03-11,38.693,40.309,38.693,39.178,1428889
2005-03-14,39.522,40.147,39.029,39.842,1079696
2005-03-15,40.124,40.755,39.707,40.439,1634389
2005-03-16,40.908,42.435,39.529,39.898,4675796
2005-03-17,40.003,40.823,39.904,40.534,1488400
2005-03-18,40.412,40.808,39.434,39.929,1574706
2005-03-21,39.929,40.386,39.259,39.743,1282406
2005-03-22,39.619,39.962,38.717,38.803,1317327
2005-03-23,38.701,39.229,37.849,38.374,2526633
2005-03-24,38.545,39.412,38.354,39.129,1737754
2005-03-28,39.442,39.862,39.129,39.55,1046958
2005-03-29,39.4,39.515,37.603,37.767,2675828
2005-03-30,37.683,38.518,37.42,38.431,1383498
2005-03-31,38.452,38.466,37.462,37.598,1583045
2005-04-01,37.626,37.739,36.089,36.657,3002038
2005-04-04,36.792,36.865,35.171,35.34,4282478
2005-04-05,35.415,36.259,34.799,35.327,2693713
2005-04-06,35.327,36.294,35.327,35.555,1430833
2005-04-07,36.004,37.029,35.555,36.073,2297623
2005-04-08,36.259,36.346,34.97,35.039,1623890
2005-04-11,35.039,35.581,34.54,34.713,1181008
2005-04-12,35.283,35.804,34.548,35.798,1989988
2005-04-13,35.524,36.965,35.406,35.951,2733583
2005-04-14,36.089,36.235,34.351,34.5,2173365
2005-04-15,34.413,34.592,32.189,33.203,4789630
2005-04-18,33.395,33.694,32.448,32.811,1618991
2005-04-19,33.275,34.11,32.499,32.891,2547812
2005-04-20,31.201,32.05,30.574,30.704,7308893
2005-04-21,30.944,31.196,29.436,30.89,7544848
2005-04-22,30.883,31.35,28.874,29.422,4595005
2005-04-25,29.842,31.025,29.498,30.448,4499797
2005-04-26,30.448,32.264,30.448,31.28,4016658
2005-04-27,31.08,31.573,29.88,30.352,2390185
2005-04-28,31.025,31.502,29.137,29.692,4490982
2005-04-29,30.549,30.789,28.694,29.385,4045556
2005-05-02,29.543,29.588,27.49,28.097,5140355
2005-05-03,27.376,27.486,26.173,26.253,8881581
2005-05-04,25.797,27.727,25.568,27.518,8959160
2005-05-05,27.525,28.125,26.737,27.292,4266913
2005-05-06,27.497,27.607,26.801,26.878,1969626
2005-05-09,26.088,26.633,25.667,26.423,5960625
2005-05-10,26.26,26.647,25.783,25.995,4457333
2005-05-11,26.088,26.368,24.907,25.626,7183278
2005-05-12,25.468,25.617,24.492,24.764,5693231
2005-05-13,24.951,25.092,24.209,24.321,4209449
2005-05-16,24.059,25.005,23.49,24.735,4658477
2005-05-17,24.742,25.29,24.287,25.162,3116688
2005-05-18,25.918,26.842,25.617,26.054,4586608
2005-05-19,26.322,26.698,25.755,26.617,2640955
2005-05-20,26.609,26.647,26.088,26.21,1614657
2005-05-23,26.218,26.246,25.238,25.637,4701390
2005-05-24,25.29,25.534,24.815,24.938,4598124
2005-05-25,24.975,25.253,24.358,24.423,3044401
2005-05-26,24.668,24.951,24.507,24.921,2463686
2005-05-27,24.975,25.584,24.786,25.141,2127979
2005-05-31,25.505,26.062,25.055,26.003,4993168
2005-06-01,26.108,28.736,25.81,27.727,8093512
2005-06-02,27.933,29.849,27.269,29.64,9892068
2005-06-03,30.869,31.579,30.239,30.541,7906755
2005-06-06,30.745,30.745,29.001,29.182,4182911
2005-06-07,29.278,30.233,29.036,29.415,4271943
2005-06-08,29.558,29.94,29.043,29.257,2109496
2005-06-09,29.301,29.492,28.31,29.356,3411564
2005-06-10,29.466,29.836,28.7,29.121,1922750
2005-06-13,29.121,29.535,28.752,28.994,1936972
2005-06-14,28.915,30.497,28.588,30.248,5649671
2005-06-15,30.44,30.698,28.901,29.836,5087925
2005-06-16,29.749,30.376,29.58,30.168,2028253
2005-06-17,30.359,30.435,29.492,29.506,2013219
2005-06-20,29.31,29.721,29.065,29.197,1698121
2005-06-21,29.919,30.107,28.694,29.001,2886391
2005-06-22,29.051,29.474,28.915,29.363,2196500
2005-06-23,29.513,29.627,27.556,27.919,3578094
2005-06-24,28.068,28.125,27.143,27.478,3357976
2005-06-27,27.356,27.586,26.451,26.828,4079932
2005-06-28,26.922,27.405,26.922,27.208,1618512
2005-06-29,27.338,27.613,26.828,27.471,1509107
2005-06-30,27.525,27.69,26.173,26.238,3088200
2005-07-01,26.322,26.992,26.322,26.672,1479253
2005-07-05,26.653,27.465,26.173,27.331,2106740
2005-07-06,27.338,27.719,27.253,27.49,1727405
2005-07-07,26.972,27.398,26.953,27.261,1379641
2005-07-08,27.2,28.788,27.008,28.64,2877816
2005-07-11,29.191,29.647,28.974,29.527,3326952
2005-07-12,29.415,30.528,29.415,30.248,3079369
2005-07-13,30.405,30.661,30.027,30.39,1811815
2005-07-14,30.474,30.661,29.7,30.078,2419979
2005-07-15,30.198,30.602,29.849,30.58,1507981
2005-07-18,30.555,31.395,30.211,30.528,2374367
2005-07-19,30.32,30.903,30.271,30.619,1607465
2005-07-20,30.474,31.267,30.467,31.196,1081849
2005-07-21,31.345,31.528,30.528,31.401,1941236
2005-07-22,31.51,31.51,31.196,31.479,1082972
2005-07-25,31.528,32.307,31.253,31.595,2206871
2005-07-26,31.502,31.663,31.08,31.299,1281993
2005-07-27,31.299,31.299,30.383,31.24,2492814
2005-07-28,31.201,32.059,30.639,31.949,2205537
2005-07-29,32.035,32.035,31.161,31.253,1091223
2005-08-01,31.259,32.035,31.18,31.451,1217281
2005-08-02,32.189,32.221,29.999,30.147,4812956
2005-08-03,29.58,29.64,28.648,28.994,4405281
2005-08-04,28.867,29.474,28.497,28.966,2543911
2005-08-05,28.938,29.144,28.694,28.795,1699119
2005-08-08,28.721,29.25,28.721,28.915,2184521
2005-08-09,29.017,29.498,29.017,29.344,1889893
2005-08-10,29.492,30.049,29.265,29.721,2434122
2005-08-11,29.685,29.949,29.243,29.749,1206496
2005-08-12,29.821,29.89,29.009,29.385,1742453
2005-08-15,29.265,29.62,29.017,29.065,997689
2005-08-16,28.93,29.001,28.117,28.262,1523414
2005-08-17,28.182,29.137,28.182,29.001,1400269
2005-08-18,28.729,28.837,28.262,28.269,1433422
2005-08-19,28.453,28.46,27.214,27.391,2579103
2005-08-22,27.384,27.735,26.878,27.2,2562626
2005-08-23,27.888,28.41,26.459,26.549,3123424
2005-08-24,26.48,26.753,26.246,26.294,1736731
2005-08-25,26.314,27.113,26.301,26.953,1737779
2005-08-26,26.907,26.907,26.451,26.653,1494728
2005-08-29,26.518,27.05,26.224,26.72,1516989
2005-08-30,26.653,26.653,25.519,25.959,1831927
2005-08-31,25.967,26.503,25.761,26.487,1601385
2005-09-01,26.368,27.586,26.368,27.113,2966508
2005-09-02,27.253,27.315,26.51,26.979,1337910
2005-09-06,27.226,27.428,26.564,27.405,1546483
2005-09-07,27.478,28.557,27.143,28.262,2672586
