Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-08-21,12.6123,12.7938,12.5767,12.7336,1152056.1768536
2000-08-22,15.2391,15.4601,15.2055,15.388,1177267.7747509
2000-08-23,15.2391,15.316,14.9866,15.0901,1887716.9986235
2000-08-24,15.0901,15.0901,14.59,14.736,1626729.4649753
2000-08-25,14.736,14.736,14.3671,14.5525,1811794.2925183
2000-08-28,14.5091,14.59,14.2191,14.2635,1510766.6579189
2000-08-29,14.2635,14.2951,13.9705,14.1896,1473252.8870155
2000-08-30,14.1896,14.5091,14.1136,14.3671,1027496.5484464
2000-08-31,14.3671,14.6601,14.3671,14.5585,2246580.5598804
2000-09-01,14.4786,14.736,14.4026,14.736,1567265.4138969
2000-09-05,14.5091,14.5525,14.4026,14.4786,1033575.1499581
2000-09-06,14.5091,14.9491,14.5091,14.9491,3191919.6791901
2000-09-07,14.9175,14.9491,14.7991,14.9491,1000207.7233147
2000-09-08,14.8771,15.1345,14.8771,15.1118,2253841.2243277
2000-09-11,15.0901,15.4965,15.0596,15.4709,3562345.3568979
2000-09-12,15.4601,15.677,15.3466,15.5271,2877099.6207139
2000-09-13,15.5271,15.608,15.2746,15.4206,1441817.7176239
2000-09-14,15.4206,15.4206,15.0596,15.4206,874312.95178035
2000-09-15,15.4601,15.6366,15.3466,15.4709,2461302.3935309
2000-09-18,15.388,15.388,15.0901,15.1927,1240591.2714522
2000-09-19,15.4965,15.4965,14.9175,15.2134,3774849.0484358
2000-09-20,15.0901,15.1691,14.7991,15.0901,1440180.469218
2000-09-21,15.0596,15.1691,14.8425,15.026,1292481.4012675
2000-09-22,15.1345,15.2391,14.9491,15.1691,3399377.807065
2000-09-25,15.026,15.1691,14.8771,15.1345,710008.23126796
2000-09-26,15.0901,15.388,15.0901,15.316,1267576.9775292
2000-09-27,15.2746,15.6139,15.2746,15.6139,2527731.0864346
2000-09-28,15.5656,15.9651,15.4965,15.8201,1593215.0407971
2000-09-29,15.8201,16.0045,15.7855,15.9739,1559110.5989271
2000-10-02,15.9651,16.258,15.8556,16.2176,1328371.1028543
2000-10-03,16.0745,16.3251,16.0045,16.0045,1059231.7955644
2000-10-04,16.0263,16.2028,15.3288,15.6514,1911445.4420826
2000-10-05,15.6514,15.9818,15.1404,15.1799,2565249.9262185
2000-10-06,15.2134,16.0549,15.2134,15.7983,2767070.4451864
2000-10-09,15.7293,16.2817,15.6188,16.0263,1601671.9610456
2000-10-10,15.9078,16.3439,15.9078,16.0883,1216858.7728886
2000-10-11,16.2028,16.3883,15.8743,16.1663,1209740.0370957
2000-10-12,16.0549,16.2363,15.6188,15.9818,849993.47685334
2000-10-13,15.8743,16.0883,15.8743,16.0883,578030.8031176
2000-10-16,15.9818,16.3439,15.9473,16.2817,567797.74713721
2000-10-17,16.2817,16.3883,16.0549,16.2028,698295.06217768
2000-10-18,16.1663,16.3883,15.6514,15.9473,1172968.3502995
2000-10-19,15.8408,15.8408,15.4344,15.6514,555934.53918374
2000-10-20,15.6514,15.7293,15.4709,15.5419,865410.98382278
2000-10-23,15.5419,15.5863,15.2548,15.2874,985236.27783041
2000-10-24,15.3949,15.5073,14.9984,15.1799,1502022.8390333
2000-10-25,15.1799,15.3288,14.6679,14.6995,1439737.4490613
2000-10-26,14.5585,14.8139,14.4105,14.6679,2211872.9212292
2000-10-27,14.5939,14.8919,14.4105,14.7744,1450415.5527506
2000-10-30,14.6995,14.9984,14.6995,14.8919,1376862.0413974
2000-10-31,14.8495,15.0714,14.6334,14.9569,984792.24389743
2000-11-01,15.033,15.4344,14.9984,15.3949,830865.5493481
2000-11-02,15.3949,15.4709,15.0714,15.1059,1164360.3774117
2000-11-03,15.0714,15.2874,14.9225,15.0714,545554.48566847
2000-11-06,14.9225,15.4709,14.9225,15.1404,1346166.9285607
2000-11-07,15.1404,15.1799,14.9225,15.033,711343.37439517
2000-11-08,14.9569,15.1059,14.9225,15.0714,349220.52296823
2000-11-09,15.1404,15.2874,15.0714,15.2134,761167.42851324
2000-11-10,15.2874,15.3288,15.1404,15.1799,913459.91598506
2000-11-13,15.033,15.3624,15.033,15.1799,546743.6450369
2000-11-14,15.033,15.1059,14.9569,15.0714,719351.1918302
2000-11-15,14.9984,15.5073,14.9569,15.4344,1380567.3930526
2000-11-16,15.4344,15.6514,15.3624,15.5419,1399698.3618862
2000-11-17,15.7293,15.7293,15.4709,15.6188,887657.28661984
2000-11-20,15.7293,15.7983,15.4709,15.5073,756718.97897471
2000-11-21,15.5073,15.6188,15.2134,15.6188,502851.19489559
2000-11-22,15.5419,15.7293,15.4344,15.6188,1431139.6139344
2000-11-24,15.5073,15.6514,15.4344,15.5419,197962.08712113
2000-11-27,15.3624,15.5073,15.0714,15.2874,1384129.8022774
2000-11-28,15.2874,15.4709,15.2548,15.4709,907971.3321652
2000-11-29,15.3624,15.8408,15.3624,15.7649,878759.37376668
2000-11-30,15.9078,16.2363,15.7649,15.9473,1228869.992153
2000-12-01,15.7983,16.0263,15.6918,15.7649,663741.51749418
2000-12-04,15.7293,16.1663,15.7293,16.0883,989084.57191616
2000-12-05,16.0549,16.1328,15.7649,16.1328,1479331.4885272
2000-12-06,16.2817,16.2817,15.7293,15.9078,1093781.2851436
2000-12-07,15.8743,16.1663,15.8743,16.1663,998134.55118472
2000-12-08,16.1663,16.2363,16.0263,16.2028,736253.88079006
2000-12-11,16.1328,16.3883,16.0549,16.1663,1180825.1150952
2000-12-12,16.2363,16.4612,16.2028,16.3883,979153.62121437
2000-12-13,16.3883,16.4198,16.2817,16.3883,572692.25816092
2000-12-14,16.1663,16.3883,16.0263,16.0549,575955.60343542
2000-12-15,15.9473,16.1328,15.7983,15.9078,1377005.997604
2000-12-18,15.9473,16.2817,15.9078,16.2028,443677.08378257
2000-12-19,16.2817,16.3439,16.2028,16.3143,445901.30855183
2000-12-20,16.3143,16.8252,16.1663,16.8252,1202030.2698348
2000-12-21,16.8252,16.9337,16.6743,16.8982,851475.61751544
2000-12-22,16.6743,16.8607,16.6427,16.7907,818109.20464817
2000-12-26,16.8982,17.4447,16.8982,17.4141,807731.17868511
2000-12-27,17.4851,17.5542,17.2987,17.4141,706298.82450828
2000-12-28,17.4447,17.4851,17.1497,17.2622,525537.4765212
