Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,1.15116,1.15116,1.14503,1.15116,1898332.8341474
1970-01-05,1.15116,1.17625,1.15116,1.17625,3041473.7923492
1970-01-06,1.17625,1.17625,1.15747,1.17012,1991446.8657752
1970-01-07,1.17012,1.17012,1.1639,1.1639,1484531.9963734
1970-01-08,1.1639,1.17625,1.15747,1.1639,1737983.2614496
1970-01-09,1.1639,1.17012,1.1639,1.17012,1732813.1160002
1970-01-12,1.17012,1.17625,1.1639,1.1639,1443144.0977381
1970-01-13,1.1639,1.17012,1.15747,1.15747,2017300.6778344
1970-01-14,1.15747,1.15747,1.15116,1.15747,2146616.0103158
1970-01-15,1.15747,1.15747,1.14503,1.14503,1950065.1367645
1970-01-16,1.14503,1.15116,1.14503,1.15116,1779360.8773772
1970-01-19,1.15116,1.15116,1.14503,1.15116,1132794.4976784
1970-01-20,1.15116,1.15747,1.14503,1.14503,2006959.358665
1970-01-21,1.14503,1.15116,1.14503,1.14503,1360387.8376122
1970-01-22,1.14503,1.14503,1.13899,1.13899,2234548.5855156
1970-01-23,1.13899,1.13899,1.12003,1.12003,3036300.5620875
1970-01-26,1.12003,1.12626,1.12003,1.12626,1686260.2132693
1970-01-27,1.12003,1.12003,1.10788,1.12003,3320789.1521923
1970-01-28,1.12003,1.12003,1.08278,1.08278,2405246.6752783
1970-01-29,1.07024,1.07024,1.05799,1.05799,2503525.7110017
1970-01-30,1.05799,1.05799,1.04554,1.05167,3512178.1064605
1970-02-02,1.05167,1.05167,1.04554,1.04554,4453588.7912247
1970-02-03,1.04554,1.07024,1.03931,1.06421,4158747.5709716
1970-02-04,1.06421,1.06421,1.05799,1.06421,3238032.8920665
1970-02-05,1.06421,1.06421,1.05799,1.05799,2710429.214701
1970-02-06,1.04554,1.04554,1.03309,1.03309,2643183.3909233
1970-02-09,1.03309,1.03931,1.02676,1.02676,2260415.7650949
1970-02-10,1.02676,1.02676,0.983401,0.98962,4489796.2617028
1970-02-11,0.98962,0.995655,0.97698,0.995655,3744945.7049269
1970-02-12,0.995655,0.995655,0.958406,0.970756,4220820.1644876
1970-02-13,0.970756,0.97698,0.958406,0.970756,3848391.8012873
1970-02-16,0.946054,0.946054,0.933606,0.939636,5653626.0278684
1970-02-17,0.939636,0.939636,0.927188,0.933606,4976014.0969746
1970-02-18,0.946054,0.98962,0.946054,0.983401,7174362.4099076
1970-02-19,0.995655,1.01424,0.995655,0.995655,5457061.7867971
1970-02-20,0.995655,1.02676,0.98962,1.02676,7241616.4598514
1970-02-24,1.02676,1.05799,1.02054,1.02054,6062258.7767345
1970-02-25,1.02054,1.03931,0.98962,1.03931,7712309.4629843
1970-02-26,1.02676,1.02676,1.00216,1.00839,5989840.7509659
1970-02-27,1.00839,1.02054,1.00839,1.00839,6688141.4898234
1970-03-02,1.00839,1.02054,0.995655,0.995655,8255432.8311349
1970-03-03,0.995655,1.00216,0.983401,0.98962,8327847.7720912
1970-03-04,0.98962,1.00216,0.98962,0.995655,7820932.9026894
1970-03-05,0.995655,1.01424,0.995655,1.00839,7939906.9160012
1970-03-06,1.00216,1.00216,0.98962,0.995655,7727826.0689571
1970-03-09,0.995655,0.995655,0.983401,0.983401,12445218.755406
1970-03-10,0.983401,1.00839,0.97698,1.00216,9502018.8574264
1970-03-11,1.01424,1.02676,1.01424,1.02054,5881221.4243437
1970-03-12,1.02054,1.02054,1.00839,1.01424,4593247.499417
1970-03-13,1.01424,1.01424,1.00839,1.01424,4174271.3748399
1970-03-16,1.01424,1.01424,1.00216,1.01424,3279410.5079941
1970-03-17,1.01424,1.01424,1.00839,1.01424,2456970.7517294
1970-03-18,1.01424,1.03931,1.01424,1.02676,3165615.8945687
1970-03-19,1.02676,1.03309,1.02054,1.02676,3077688.4607227
1970-03-20,1.02676,1.02676,1.02054,1.02676,2032821.3968903
