Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-11-03,23.1938,23.3057,22.7104,22.7182,1875867.9531553
2011-11-04,22.5311,22.8937,21.4198,21.6882,2233926.4160979
2011-11-07,21.4456,21.9368,20.9821,21.1781,3140122.9129576
2011-11-08,21.606,21.8229,21.3169,21.4714,2351424.8088069
2011-11-09,20.9652,21.5248,20.5235,20.5662,1824529.2339156
2011-11-10,21.0742,21.2733,20.2472,20.361,1354230.7425687
2011-11-11,20.5592,20.7384,20.3433,20.4819,1470640.7104083
2011-11-14,20.2987,20.7484,20.2225,20.5998,1555227.881367
2011-11-15,20.6097,20.9821,20.5076,20.6543,1925420.5651648
2011-11-16,20.6186,21.1781,20.474,20.7661,2095980.1750981
2011-11-17,20.6631,20.8246,20.371,20.5325,1485717.111291
2011-11-18,20.4403,20.784,20.4245,20.5998,1656569.5256883
2011-11-21,20.4057,20.4988,20.0956,20.3343,1489086.3819678
2011-11-22,21.5427,22.5044,19.5173,20.3433,2469827.8663426
2011-11-23,20.0352,20.4482,19.6995,20.3887,1172720.2456829
2011-11-25,20.1908,20.1908,19.6995,19.8015,1151179.9338403
2011-11-28,20.371,20.8177,19.9214,20.2225,1820404.7296559
2011-11-29,20.2382,20.3165,19.9481,20.0352,1419795.7200751
2011-11-30,20.7157,20.8246,20.0896,20.5731,2695654.8236857
2011-12-01,20.4988,20.9742,20.361,20.896,1215706.9700054
2011-12-02,21.9368,21.9368,20.8513,20.878,1404082.2170655
2011-12-05,21.1514,21.6507,21.0158,21.5991,1081171.3961756
2011-12-06,21.5427,21.5823,21.1019,21.3763,769743.55862608
2011-12-07,21.2812,21.3763,20.5423,21.1514,1104827.9775232
2011-12-08,21.0505,21.1347,20.4909,20.5592,1090232.1798296
2011-12-09,20.7236,21.0594,20.6285,20.9652,638556.05239114
2011-12-12,20.6186,20.8246,20.0066,20.5909,1409303.2235593
2011-12-13,20.6801,21.0505,20.4146,20.5325,1919685.6363531
2011-12-14,20.1383,20.3165,19.7431,20.1581,2016354.5252977
2011-12-15,20.274,20.7157,20.1838,20.5909,1248518.2343698
2011-12-16,20.784,21.4714,20.6701,21.2406,3399707.1959847
2011-12-19,21.2406,21.3941,20.7919,20.878,1285936.625524
2011-12-20,21.1694,21.2812,20.6285,20.9286,1382103.7081975
2011-12-21,20.8683,21.5495,20.6801,21.4555,2528998.6001582
2011-12-22,21.6239,22.0805,21.3516,21.3763,1127864.6211437
2011-12-23,21.3763,21.6595,21.2653,21.4456,667812.26669461
2011-12-27,21.3852,21.5655,21.0662,21.5655,771642.74895963
2011-12-28,21.817,22.1795,21.615,22.0082,1065878.9257918
2011-12-29,22.0983,22.7807,21.9538,22.3389,4617243.6890546
2011-12-30,22.3855,22.3855,21.6417,22.122,1358634.925575
2012-01-03,22.4727,22.7529,21.5823,21.6427,1230088.7175392
2012-01-04,21.5823,22.4459,21.3852,22.3568,1616668.3546136
2012-01-05,22.1984,22.2241,21.412,22.0378,2637477.6057064
2012-01-06,21.9894,22.0567,21.6239,21.6694,609070.64286932
2012-01-09,21.6595,21.8844,21.3683,21.7556,648897.09832211
2012-01-10,22.0468,22.124,21.7397,22.023,1217564.7638457
2012-01-11,21.9191,22.6083,21.8576,22.4361,1238440.7124563
2012-01-12,22.4548,22.5044,22.1083,22.124,823783.14662824
2012-01-13,21.9111,22.1083,21.817,22.0656,1029255.1453724
2012-01-17,22.2983,22.6262,22.03,22.0656,540499.87608971
2012-01-18,21.9635,23.2808,21.8923,23.2362,1688474.1058848
2012-01-19,23.2452,23.4958,22.7619,22.9184,973328.48308357
2012-01-20,22.9184,22.9679,22.641,22.6955,1178735.8629116
2012-01-23,22.7985,22.9024,22.0082,22.1697,978898.83559296
2012-01-24,22.1151,22.5648,22.0378,22.5044,884324.00340109
2012-01-25,22.3826,22.9264,22.2329,22.9024,1024203.7635337
2012-01-26,22.9857,23.1185,22.1795,22.3311,987227.60808706
2012-01-27,22.0468,22.3657,22.0468,22.2241,796636.13413592
2012-01-30,22.0378,22.3479,21.9538,22.3152,551996.99481809
2012-01-31,22.4826,22.6053,22.0785,22.3072,920703.44354356
2012-02-01,22.4004,23.1185,22.3152,23.0916,948504.72256226
2012-02-02,23.1253,23.2362,22.9184,22.9431,830690.30296624
2012-02-03,23.2362,23.3145,22.8757,23.2719,836065.7890565
2012-02-06,23.1323,23.3472,22.9341,23.056,760918.0282138
2012-02-07,22.9896,23.5443,22.8441,23.4314,1119407.6204878
2012-02-08,23.4224,23.578,23.0779,23.578,856993.23086587
2012-02-09,23.5343,23.5879,23.1719,23.3522,838014.45324776
2012-02-10,23.162,23.3522,23.1056,23.3027,612410.63309971
2012-02-13,23.5463,23.5463,23.1006,23.2719,742041.22732279
2012-02-14,23.159,23.4254,23.0916,23.1758,1075952.4090229
2012-02-15,23.2145,23.3344,23.1373,23.2412,1244324.062841
2012-02-16,23.264,23.5196,23.2095,23.376,742965.07589015
2012-02-17,23.4631,23.785,23.3897,23.7503,677707.03823567
2012-02-21,23.8127,24.2098,23.684,23.9524,875182.44610182
2012-02-22,23.8117,24.1604,23.6582,23.6998,542900.87269427
2012-02-23,23.6898,23.9582,23.5007,23.9187,390087.2326187
2012-02-24,24.0089,24.0534,23.4462,23.4631,961572.88869043
2012-02-27,23.3284,23.5879,23.1373,23.5513,1659803.5005093
2012-02-28,23.4462,23.4462,22.4895,23.1135,4000077.5075918
2012-02-29,22.543,23.2025,22.3102,22.3687,5047540.0422704
2012-03-01,22.5747,23.6136,22.2716,23.0689,2084132.7006835
2012-03-02,22.7916,23.2947,22.7916,22.9896,1845264.8383175
2012-03-05,22.9896,23.0779,22.5063,22.6628,1550145.1997407
2012-03-06,22.4301,22.4895,21.9458,22.3399,1543567.196007
2012-03-07,22.6024,22.7292,22.2558,22.653,1300778.7828356
2012-03-08,22.7292,23.0779,22.4469,23.0066,1035249.5595193
2012-03-09,22.9629,23.6493,22.9292,23.5513,832449.14909119
2012-03-12,23.6651,23.881,23.5612,23.794,1017896.3515115
2012-03-13,23.9187,24.5813,23.891,24.5654,996830.58483473
2012-03-14,24.5466,24.618,24.3723,24.5119,1368774.0373929
2012-03-15,24.5377,24.9269,24.2525,24.8299,797358.04859019
2012-03-16,24.8388,24.9538,24.3456,24.3633,1044815.1784561
2012-03-19,24.4149,24.6347,24.0969,24.1514,921481.8995495
2012-03-20,24.0692,24.1326,23.4047,23.6048,1149093.9544522
2012-03-21,23.5968,23.8187,23.5513,23.6226,1008873.9353391
2012-03-22,23.4394,23.6582,23.3195,23.5255,770282.72270802
2012-03-23,23.6582,23.6582,23.3897,23.5106,601016.500769
2012-03-26,23.6898,24.0782,23.6582,24.0692,742906.51499735
2012-03-27,24.1326,24.2188,23.8643,24.1921,695360.11840139
2012-03-28,24.1694,24.298,23.8038,24.1694,1062042.1776432
2012-03-29,23.9831,24.0336,23.5513,23.9087,989786.11329983
2012-03-30,24.0554,24.0811,23.6811,23.985,1517423.7960567
2012-04-02,23.9514,24.5021,23.9425,24.4752,945315.17324612
2012-04-03,24.4495,24.6764,24.1415,24.4149,1196663.5734711
2012-04-04,24.1237,24.1514,23.8374,24.0246,1238566.921277
2012-04-05,23.9831,24.399,23.9831,24.2009,361136.94849655
2012-04-09,23.7414,23.8117,23.5106,23.6493,614618.78262627
2012-04-10,23.5443,23.6305,22.9718,23.2848,1052673.4444667
2012-04-11,23.5007,23.5968,23.1898,23.3344,937399.35601326
2012-04-12,23.2601,23.6751,23.2215,23.6136,747955.877495
2012-04-13,23.4224,23.5166,23.1541,23.1898,570057.98189224
2012-04-16,23.4314,23.5968,22.9054,23.2502,983890.64686837
2012-04-17,23.5869,23.6038,23.2025,23.5086,625397.01591207
2012-04-18,23.4394,23.9662,23.372,23.8989,1294338.0942988
2012-04-19,23.8643,24.1761,23.2502,23.4224,1227899.7517534
2012-04-20,23.4919,23.891,23.3967,23.6493,934164.37152168
2012-04-23,23.3897,23.3897,22.9224,23.2412,643754.84613246
2012-04-24,23.2947,23.7672,23.2502,23.4224,599425.2599579
2012-04-25,23.6305,24.0336,23.6305,23.9425,658979.66858836
2012-04-26,23.891,24.2891,23.881,24.2891,531110.94950192
2012-04-27,24.3208,24.6517,24.3208,24.5298,657287.46072072
2012-04-30,24.4842,24.4842,24.0376,24.1019,421054.83853054
2012-05-01,24.1257,24.4782,23.8374,23.9097,739306.02976108
2012-05-02,23.7235,24.1604,23.6811,23.9909,966095.20315293
2012-05-03,23.9335,23.9592,23.379,23.5948,1145692.3743173
2012-05-04,23.5948,23.5948,22.857,22.857,1006562.7994148
2012-05-07,22.8104,23.0233,22.5836,22.653,1151379.8486123
2012-05-08,22.5569,22.852,22.1697,22.7837,1071354.369268
2012-05-09,22.3954,22.8065,22.136,22.5876,1068450.5567219
2012-05-10,22.7332,22.9511,22.5183,22.5974,811550.98772823
2012-05-11,22.4766,22.8748,22.4054,22.5014,723978.22090751
2012-05-14,22.3271,22.5183,21.9815,21.9815,656216.20025082
2012-05-15,21.9368,22.1003,21.7546,21.7923,654253.40067164
2012-05-16,21.9815,22.2646,21.8666,21.928,1209419.7513946
2012-05-17,21.9815,21.9904,21.1911,21.1911,1383588.9335993
2012-05-18,21.1911,21.5803,21.1911,21.408,1146340.5828202
2012-05-21,21.5031,22.136,21.4258,21.9904,1263728.9214377
2012-05-22,22.1003,22.4331,22.0161,22.2112,1103867.7808156
2012-05-23,22.0092,22.3786,21.5467,22.3786,1443269.5510504
2012-05-24,22.5103,22.6857,22.3598,22.6857,508721.50471384
2012-05-25,22.7252,22.8312,22.227,22.2588,780994.31773651
2012-05-29,22.3786,22.857,22.3349,22.4688,923059.00497268
2012-05-30,22.0904,22.4241,21.928,22.0814,682094.0568424
2012-05-31,22.1657,22.1755,21.6684,21.9834,1177180.9702409
2012-06-01,21.4426,21.7199,21.2188,21.2436,1589562.7386145
2012-06-04,21.2436,21.304,20.8513,21.2693,741410.1832194
2012-06-05,21.1534,21.399,20.7741,21.3307,575664.68254199
2012-06-06,21.605,22.1171,21.605,22.1171,696878.66293178
2012-06-07,23.1105,23.1105,22.2112,22.3349,924225.17447573
2012-06-08,22.3102,22.64,21.9725,22.4915,993665.26761215
2012-06-11,22.8154,22.848,22.0814,22.136,940456.63848534
2012-06-12,22.126,22.2746,21.9992,22.2013,1409021.5254715
2012-06-13,21.9904,22.126,21.7546,21.8418,1027103.5373976
2012-06-14,21.8754,21.9111,21.622,21.6962,1703630.2707423
2012-06-15,21.816,22.0666,21.622,21.9725,3484480.1463275
2012-06-18,21.8754,21.9368,21.6487,21.8091,992038.68833127
2012-06-19,21.9111,22.2172,21.7397,21.7646,1660957.5539655
2012-06-20,21.7199,21.7397,21.2515,21.4515,1294182.6050317
2012-06-21,21.8418,22.0814,21.0614,21.0682,1634749.5350991
2012-06-22,21.1624,21.1624,20.7295,20.8434,1473754.534432
2012-06-25,20.5652,20.6454,20.1423,20.4889,1377480.4266785
2012-06-26,20.4978,20.887,20.377,20.7563,1341211.0406276
2012-06-27,20.8434,21.1217,20.6968,21.0762,986605.65101878
2012-06-28,20.4789,21.3555,19.9739,21.3376,2238926.3047379
2012-06-29,21.9408,22.141,21.7219,21.8448,1833120.5207568
2012-07-02,21.928,22.0904,21.605,21.7299,816646.79507188
2012-07-03,21.6863,22.2835,21.6407,22.2835,374395.94236158
2012-07-05,22.1725,22.3003,21.9815,22.1537,714525.68507409
2012-07-06,21.8844,22.126,21.8229,21.8666,499047.8510266
2012-07-09,21.7734,21.9111,21.4942,21.6962,798187.99779496
2012-07-10,21.7734,22.0814,21.0682,21.1367,1055746.8816678
2012-07-11,21.1277,21.1277,20.2185,20.7661,1867424.0782167
2012-07-12,20.5731,20.5731,20.1066,20.1154,1233545.8295551
2012-07-13,20.1621,20.6968,20.1521,20.2244,1420369.2129562
2012-07-16,20.1699,20.377,19.958,20.0986,1141437.6225546
2012-07-17,20.2651,20.5453,20.1273,20.5186,1587638.3065168
2012-07-18,20.4077,20.885,20.4077,20.7632,789112.06908245
2012-07-19,20.7919,20.9672,20.5305,20.9296,794573.37717077
2012-07-20,20.7661,21.0088,20.5819,20.6454,657800.37336795
2012-07-23,20.3126,20.8246,20.2244,20.7226,761434.97954329
2012-07-24,20.6661,20.78,20.2808,20.4671,911320.57497916
2012-07-25,20.5819,20.8177,20.4117,20.7484,655403.41544565
2012-07-26,21.0435,21.0435,20.5582,20.5899,1615822.2506798
2012-07-27,20.7563,21.0762,20.6176,21.0019,934163.36185111
2012-07-30,20.9752,21.0682,20.8346,21.0019,721741.80060512
2012-07-31,20.9712,21.0128,20.7771,20.8038,727879.58797228
2012-08-01,20.878,20.9929,20.4284,20.7384,1920347.9802441
2012-08-02,20.2898,20.5691,19.4658,20.4512,2132840.2184297
2012-08-03,20.5186,20.9553,20.5186,20.8493,1415842.8598114
2012-08-06,20.9217,21.0435,20.6791,20.9375,808809.73214313
2012-08-07,21.0326,21.0604,20.885,21.0326,781566.8009471
2012-08-08,20.9127,21.0256,20.7384,20.9573,562651.03862436
2012-08-09,21.0069,21.3803,20.9028,21.2346,542367.76663573
2012-08-10,21.1357,21.4515,21.0505,21.2257,722936.24088401
2012-08-13,21.2099,21.408,21.0614,21.2693,380379.25013223
2012-08-14,21.408,21.5397,20.7919,20.878,702198.61714094
2012-08-15,20.8513,21.0762,20.7741,21.0762,548144.09194047
2012-08-16,21.0415,21.7486,21.0415,21.6417,1085628.0820513
2012-08-17,21.6497,21.8596,21.5971,21.817,828173.19424666
2012-08-20,21.9567,22.0418,21.7486,21.9478,818830.71250487
2012-08-21,22.0418,22.3142,21.8676,21.8676,701258.61384455
2012-08-22,21.7843,21.8676,21.5467,21.714,663308.12630229
2012-08-23,21.7556,21.8774,21.3723,21.4615,724058.99455275
2012-08-24,21.4168,21.5397,21.2178,21.3466,667061.07179393
2012-08-27,21.4952,21.5031,21.0069,21.0326,760830.18687461
2012-08-28,20.8493,21.408,20.8493,20.9553,593735.76632179
2012-08-29,20.9742,21.0415,20.8078,20.9197,685984.31753095
2012-08-30,20.8078,21.0742,20.78,20.991,577387.18052659
2012-08-31,21.198,21.198,20.8454,21.1594,1324463.6349591
2012-09-04,21.1119,21.1197,20.7444,20.9118,1050113.9295834
2012-09-05,20.9425,21.1099,20.8286,20.9712,1376793.8506941
2012-09-06,21.1801,21.7556,21.1713,21.7556,791185.9324238
2012-09-07,22.2142,22.23,21.6684,21.8676,720273.73960301
2012-09-10,21.6684,21.7843,21.408,21.4168,992067.96877767
2012-09-11,21.4615,22.1944,21.408,22.1121,1130923.922957
2012-09-12,22.129,22.1944,21.623,21.7843,905462.46635862
2012-09-13,21.8339,22.1755,21.605,22.0933,867629.10060195
2012-09-14,22.1121,22.3726,22.0508,22.2786,1977269.16804
2012-09-17,22.2786,22.2954,21.8774,22.0765,917262.48625663
2012-09-18,22.0101,22.4004,21.9745,22.4004,1356995.2205768
2012-09-19,22.3558,22.654,22.2875,22.635,1152836.8032382
2012-09-20,22.3726,22.5836,22.0022,22.3043,1719545.707865
2012-09-21,22.3904,22.4648,22.0933,22.1657,1483835.0853571
2012-09-24,22.0418,22.2954,22.0101,22.2212,1055579.276354
2012-09-25,22.2617,22.4004,22.129,22.139,1907131.3925428
2012-09-26,22.1687,22.2489,21.613,21.7665,1555108.7402403
2012-09-27,21.9051,22.2241,21.7566,22.0438,1083933.8548425
2012-09-28,21.9318,22.0785,21.7764,21.9141,1765398.8869227
2012-10-01,22.0022,22.2212,21.6417,21.9923,2109459.2771464
2012-10-02,22.035,22.2162,21.8349,22.0042,1226272.1628019
2012-10-03,22.0864,22.0864,21.6972,21.8022,1018064.9664959
2012-10-04,21.9141,22.028,21.7665,21.9141,1037273.949003
2012-10-05,22.0627,22.2162,21.812,21.9051,822840.11432013
2012-10-08,21.8438,21.9031,21.6962,21.8774,498259.29831501
2012-10-09,21.8863,21.9308,21.5655,21.5971,1055987.1832624
2012-10-10,21.5803,21.6417,21.3199,21.3981,823607.46394985
2012-10-11,21.5228,21.5892,21.1426,21.1881,955855.12427849
2012-10-12,21.4248,21.6784,21.3623,21.4416,1149745.1919669
2012-10-15,21.5031,21.6327,21.2069,21.5467,712474.03448517
2012-10-16,21.6327,22.1597,21.4416,22.1053,1011459.701657
2012-10-17,22.0121,22.2072,21.7942,21.8526,935331.55069529
2012-10-18,21.5892,21.623,21.1099,21.5565,1622739.5037235
2012-10-19,21.5129,21.5129,20.9088,21.1881,2008965.7561
2012-10-22,21.1881,21.2743,20.8633,21.2495,881738.23708307
2012-10-23,20.988,21.198,20.8137,21.1694,1560571.0579992
2012-10-24,21.2584,21.2584,20.4799,20.5057,1319722.2219839
2012-10-25,20.6998,21.0208,20.6374,20.7414,1481518.90108
2012-10-26,20.7691,21.0395,20.5731,20.6374,1253121.3224775
2012-10-31,21.091,21.4772,20.7315,21.2247,2015906.2315667
2012-11-01,21.2931,22.2983,21.2247,22.2241,1754647.9147422
2012-11-02,22.3934,22.85,22.2072,22.4221,1719123.6655685
2012-11-05,22.4221,22.8688,22.4034,22.7431,1542626.18304
2012-11-06,22.7519,22.8688,22.6302,22.7896,1728457.0602752
2012-11-07,22.543,22.7104,22.122,22.141,1323685.1789531
2012-11-08,22.0785,22.232,21.7942,21.8022,1280500.5591998
2012-11-09,21.7566,21.9231,21.5892,21.613,1652389.4895474
2012-11-12,21.6784,21.7942,21.3287,21.6585,1104845.1419228
2012-11-13,21.5467,21.8695,21.4605,21.4605,805450.55817199
2012-11-14,21.4694,21.4852,20.9425,21.0395,1145373.3184186
2012-11-15,21.0128,21.2931,20.9257,21.0208,879905.68500683
2012-11-16,21.0128,21.1881,20.9257,21.1594,1125147.5976522
2012-11-19,21.4248,21.8606,21.3891,21.7319,1010470.2245029
2012-11-20,21.714,22.0201,21.6684,21.9765,886240.35813425
2012-11-21,21.9141,22.232,21.8695,22.1687,624199.54662149
2012-11-23,22.2162,22.3241,22.028,22.3241,389878.23081165
2012-11-26,22.2399,22.7104,22.2399,22.6233,997833.18770619
2012-11-27,22.5608,22.649,22.2805,22.4221,724235.68690169
2012-11-28,22.3162,22.7172,22.232,22.6945,757079.26072409
2012-11-29,22.7718,22.9044,22.5876,22.8599,667694.13523845
2012-11-30,22.8421,23.0144,22.7015,22.8252,1110351.8851866
2012-12-03,22.9619,23.0144,22.5093,22.543,741113.34007318
2012-12-04,22.5183,22.6678,22.3766,22.4826,607093.70790224
2012-12-05,22.536,22.9451,22.4034,22.7431,758761.37188606
2012-12-06,22.7431,22.8252,22.3934,22.8252,700992.06081528
2012-12-07,22.9451,23.0789,22.7619,23.0789,605906.33531731
2012-12-10,23.0689,23.2075,22.9361,23.165,729453.66438376
2012-12-11,23.165,23.4007,23.061,23.2977,888830.16313454
2012-12-12,23.3324,23.6126,23.3324,23.4364,856410.65094962
2012-12-13,23.4433,23.5592,23.2165,23.3482,595305.80405102
2012-12-14,23.3393,23.5226,23.1908,23.4097,676278.35438561
2012-12-17,23.4364,23.4799,23.1383,23.2245,778941.65747702
2012-12-18,23.2075,23.8296,23.0789,23.795,1193465.9467905
2012-12-19,23.8384,24.2069,23.6741,24.1197,1151334.4134368
2012-12-20,24.0921,24.1801,23.1738,23.4799,1881587.7369084
2012-12-21,22.9451,23.4512,22.9361,23.4097,2287499.5362988
2012-12-24,23.4007,23.5226,23.2888,23.5076,327797.62642654
2012-12-26,23.5503,23.6641,23.3571,23.4274,341217.15791147
2012-12-27,23.4097,23.5503,23.1738,23.4889,448389.64974802
2012-12-28,23.271,23.3937,23.1056,23.1233,459932.20365185
2012-12-31,23.061,23.7157,23.0422,23.7068,613615.17008425
2013-01-02,24.1732,24.4842,23.986,24.0564,1059938.0241849
2013-01-03,24.0564,24.3109,23.8296,23.9772,698094.30629253
2013-01-04,24.0653,24.1801,23.8384,23.9445,643936.58683423
2013-01-07,23.785,23.9019,23.5503,23.6295,550158.38471848
2013-01-08,23.5592,23.5671,23.0877,23.3393,1239667.4621932
2013-01-09,23.4601,23.7414,23.4097,23.7068,1126519.7399506
2013-01-10,23.9197,24.1019,23.7235,24.0376,962471.49549366
2013-01-11,24.1277,24.1474,23.6988,23.778,403877.31320113
2013-01-14,23.7235,23.8296,23.4007,23.8048,477025.92632432
2013-01-15,23.7068,23.7582,23.3868,23.7325,839448.18545065
2013-01-16,23.6483,23.7235,23.3145,23.576,493528.99171604
2013-01-17,23.6741,24.0286,23.4701,23.986,746949.23594127
2013-01-18,24.1019,24.1019,23.7414,24.0653,813425.9459682
2013-01-22,24.1108,24.2148,23.9197,24.2148,1666442.0844769
2013-01-23,24.1654,24.4248,24.1277,24.407,1117145.9584213
2013-01-24,24.4149,24.7199,24.3189,24.4752,1251724.9480854
2013-01-25,24.5744,24.6199,24.1108,24.2316,950288.81045135
2013-01-28,24.2871,24.4932,24.1019,24.4248,1001242.8452056
2013-01-29,24.3901,24.503,24.3277,24.4675,1143944.6345686
2013-01-30,24.4495,24.6377,24.407,24.4417,927131.00636299
2013-01-31,24.4337,24.503,24.398,24.4337,1054660.4761394
2013-02-01,24.4932,24.7646,24.4149,24.503,1416375.96587
2013-02-04,24.3813,24.407,24.0564,24.1019,1044824.2654912
2013-02-05,24.2584,24.4842,24.1901,24.297,794782.37897781
2013-02-06,24.1574,24.5219,24.0921,24.3624,1543886.2519057
2013-02-07,24.5219,24.5219,23.4799,23.5413,1801938.8646851
2013-02-08,23.6295,24.1801,23.6295,23.6988,1378899.0138229
2013-02-11,23.7157,24.0821,23.6384,24.0216,1000220.0489228
2013-02-12,24.0732,24.5832,24.0376,24.4495,1034423.6489968
2013-02-13,24.4932,24.817,24.4417,24.7199,711237.18804254
2013-02-14,24.6882,25.028,24.6784,24.9071,1059705.7999548
2013-02-15,24.7883,25.0072,24.615,24.8398,918093.44513196
2013-02-19,24.9121,25.3399,24.9121,25.2626,1352498.1478784
2013-02-20,25.2102,25.2626,24.5337,24.5625,871714.22770962
2013-02-21,24.4615,24.6427,24.1751,24.3139,1182575.6400719
2013-02-22,24.3753,24.4713,24.2446,24.411,550447.15050018
2013-02-25,24.615,24.7348,23.7325,23.7325,1245384.2169347
2013-02-26,23.8404,23.9217,23.5413,23.7157,1371285.0880891
2013-02-27,23.7157,24.2009,23.6651,24.1307,1160158.9341785
2013-02-28,24.1831,24.3921,24.1128,24.1594,879891.54961892
2013-03-01,23.9969,24.299,23.6651,24.1504,985377.89161123
2013-03-04,24.0593,24.1684,23.8404,24.1504,777339.3102897
2013-03-05,24.3139,25.0428,24.305,24.9893,1378164.9833218
2013-03-06,25.0963,25.8549,25.0884,25.7738,1936754.1172615
2013-03-07,25.5291,25.9045,24.8784,24.9478,2370084.5305264
2013-03-08,25.1043,25.2022,24.7694,24.9745,2041452.9162128
2013-03-11,25.0072,25.4401,24.9893,25.2626,1036327.8876832
2013-03-12,25.2102,25.2459,24.8853,25.0617,1125429.29574
