Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-08-08,27.112,27.1587,25.6057,26.1901,5777957.9273583
2001-08-09,25.6525,25.9701,25.1497,25.8884,3282961.0039223
2001-08-10,25.5589,25.8815,25.0383,25.5589,3498542.3559497
2001-08-13,25.3339,25.4235,24.5107,24.9208,5268904.0731095
2001-08-14,24.9208,25.6525,24.8312,25.2881,4017784.8813242
2001-08-15,25.3339,25.9243,25.2881,25.6346,2872383.5741825
2001-08-16,25.5878,25.6525,24.9208,25.6525,2335610.4672755
2001-08-17,25.2881,25.5589,24.2169,25.5589,1913974.4670514
2001-08-20,25.2413,25.3071,24.4629,24.8312,2263861.8512363
2001-08-21,24.8312,25.0482,24.7406,24.9547,2049043.9212789
2001-08-22,24.7406,24.8849,24.1035,24.8849,2793182.5524368
2001-08-23,24.7844,24.8213,24.4011,24.4161,2566643.0801975
2001-08-24,23.9611,24.3921,23.7789,24.3653,2091983.3992049
2001-08-27,24.2827,24.4629,24.0079,24.3375,1601330.0258472
2001-08-28,23.8257,24.0079,23.6077,23.7501,2605312.4170455
2001-08-29,23.7501,24.4161,23.6913,24.1035,2213358.4678014
2001-08-30,24.1035,24.9208,24.1035,24.6023,2676190.1292235
2001-08-31,24.4629,24.8312,24.1901,24.8312,1585665.8103752
2001-09-04,24.7406,25.5589,24.7307,25.3588,1859200.9425385
2001-09-05,25.2413,25.4056,24.7844,25.2413,1812974.7317007
2001-09-06,25.1497,25.1975,24.6471,24.8681,2224752.5421953
2001-09-07,24.1901,25.4405,24.1035,24.3375,1915066.3615121
2001-09-10,24.1901,24.4927,24.0079,24.1363,1117469.0999063
2001-09-17,22.9109,23.7689,22.6201,23.0502,1824144.8019873
2001-09-18,23.0502,23.1507,22.5465,22.9109,1848792.2853164
2001-09-19,22.6391,23.8437,22.6391,22.8411,1637371.5835702
2001-09-20,22.8232,24.1821,22.6938,23.5071,2183894.3939124
2001-09-21,22.8232,24.5107,22.7774,23.5987,2131636.1442194
2001-09-24,23.5519,24.6938,23.5519,24.3753,1975751.3845535
2001-09-25,24.3753,24.6371,23.7331,24.0079,1738042.8465304
2001-09-26,23.9611,24.6371,23.9611,24.4629,1118018.5628962
2001-09-27,24.2827,25.1975,24.2827,24.6471,1793583.8111241
2001-09-28,24.6471,25.5589,24.6023,25.3339,1116265.7056435
2001-10-01,25.3339,26.1632,25.1029,25.6615,1194372.8239231
2001-10-02,25.6993,26.2448,25.6714,26.0616,1286498.7822135
2001-10-03,26.0616,26.3802,25.8725,26.2896,891916.04934168
2001-10-04,26.2896,26.4738,25.8436,26.3454,1357925.9573812
2001-10-05,26.197,26.657,26.0616,26.5186,1179140.5446223
2001-10-08,26.3802,26.419,26.0149,26.217,436644.27541754
2001-10-09,26.0149,26.2359,26.0149,26.207,873182.07354637
2001-10-10,26.1562,26.7466,26.1184,26.4828,785549.2559387
2001-10-11,26.4828,27.1587,26.4828,26.8551,1152524.2359549
2001-10-12,26.3802,27.2224,26.3802,27.2224,1338095.0646117
2001-10-15,27.1498,27.4314,26.9944,27.1776,789708.90171717
2001-10-16,27.112,27.3668,26.6669,27.3399,1152412.7361525
2001-10-17,27.3668,27.4226,27.1587,27.3568,1835321.9037929
2001-10-18,26.0149,26.5186,26.0049,26.3085,1838059.1737147
2001-10-19,26.3354,26.883,26.3354,26.8172,646973.08270318
2001-10-22,26.8362,27.1866,26.7296,27.1587,506212.11604382
2001-10-23,27.1587,27.3866,27.1587,27.1966,1114730.8254818
2001-10-24,27.2464,27.4782,27.084,27.3399,579493.60323929
2001-10-25,27.2464,27.5888,26.8362,27.0114,770979.94843546
2001-10-26,26.9786,26.9875,26.2448,26.4828,978784.44037668
2001-10-29,26.4738,26.7924,25.5101,26.657,1357263.9900863
2001-10-30,27.112,27.8396,26.883,27.4782,3755757.3323626
2001-10-31,28.2498,28.438,27.9352,28.216,1690391.2463277
2001-11-01,28.7555,28.7555,28.216,28.6699,900351.86321455
2001-11-02,28.6162,29.8944,28.5744,28.9397,1038051.1055723
2001-11-05,29.0402,29.0721,28.216,28.3145,1097749.7069392
2001-11-06,28.3424,29.1946,27.4056,29.0203,1265575.9949835
2001-11-07,27.9352,29.3966,27.8874,29.0024,1564854.5229474
2001-11-08,29.09,29.1,27.9352,27.9352,943403.84544572
2001-11-09,27.6604,28.0378,27.2921,27.3956,1324508.1607722
2001-11-12,27.4314,27.4694,27.1208,27.3668,726942.54903243
2001-11-13,27.3866,27.8874,27.3866,27.6256,846128.80619413
2001-11-14,27.6166,28.2956,27.5698,28.207,1020742.5191418
2001-11-15,28.2956,28.3324,27.3488,27.4056,1090852.7912389
2001-11-16,27.524,27.6934,27.3866,27.4604,892242.51272686
2001-11-19,27.5698,27.6604,26.2448,27.3399,1483899.6394463
2001-11-20,27.4314,27.6774,27.3956,27.6066,601620.78923494
2001-11-21,27.7948,28.3902,27.758,27.9352,638319.29173928
2001-11-23,27.9352,28.3902,27.9352,28.1164,255677.08274298
2001-11-26,28.2956,30.3971,28.2956,29.8944,1244320.7173519
2001-11-27,29.8854,30.2169,28.8939,29.7321,878113.17741656
2001-11-28,29.6694,30.0716,29.6226,29.7132,659789.53295371
2001-11-29,29.304,29.9501,29.2393,29.761,468967.16405783
2001-11-30,29.4404,29.6037,29.3488,29.4504,429198.90123015
2001-12-03,29.4673,29.5937,29.2025,29.3966,769993.52676089
2001-12-04,29.1647,29.761,28.7078,29.761,618494.42598614
2001-12-05,29.6694,29.987,28.2956,29.8317,1304244.3273288
2001-12-06,29.8496,30.1273,29.4146,29.987,575332.95295809
2001-12-07,29.6226,29.6326,28.4002,28.661,1268969.2051838
2001-12-10,28.5316,28.7993,28.438,28.5982,406959.21092944
2001-12-11,28.1413,28.1602,27.5698,27.6934,868472.96477809
2001-12-12,27.6604,27.776,26.873,27.331,1124373.0471257
2001-12-13,27.2921,28.1702,27.1686,27.9352,972542.46045218
2001-12-14,27.749,28.7555,27.6684,28.216,952498.61310528
2001-12-17,27.9352,27.98,27.3956,27.6166,665707.0584985
2001-12-18,27.4314,28.0746,27.3866,27.6604,812713.01859053
2001-12-19,27.6604,28.2956,27.6446,27.9064,907033.815332
2001-12-20,27.7948,27.8874,27.2045,27.4146,708320.07303944
2001-12-21,27.4056,27.7012,27.2921,27.6854,910649.02063427
2001-12-24,27.4782,27.5698,27.1587,27.2045,429528.37812349
