Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,50.19,50.41,49.49,50.07,545018
2005-02-28,50.19,50.43,49.87,49.87,753331
2005-03-01,49.87,51.13,49.87,50.72,583462
2005-03-02,50.5,51.2,50.11,50.57,604374
2005-03-03,50.71,51.18,50.39,50.92,350348
2005-03-04,50.99,51.66,50.97,51.1,456822
2005-03-07,51.26,51.6,50.89,51.0,376294
2005-03-08,51.2,51.77,50.81,50.95,349404
2005-03-09,50.76,50.81,50.0,50.49,249320
2005-03-10,50.25,50.95,49.9,50.36,358307
2005-03-11,50.6,51.2,49.46,49.89,326457
2005-03-14,49.89,50.28,49.37,49.6,211269
2005-03-15,49.5,50.05,48.73,48.87,367392
2005-03-16,48.57,49.38,47.33,47.48,529177
2005-03-17,47.79,48.05,47.51,47.85,522706
2005-03-18,48.0,48.0,46.74,47.08,599696
2005-03-21,47.01,47.57,46.65,47.08,290543
2005-03-22,46.58,47.1,46.19,46.19,684297
2005-03-23,45.93,46.12,45.38,45.62,904498
2005-03-24,45.77,46.36,45.21,45.76,669185
2005-03-28,45.57,46.19,44.53,44.94,731565
2005-03-29,44.62,46.07,44.54,44.76,889080
2005-03-30,45.21,47.03,45.2,46.98,544533
2005-03-31,46.88,48.1,46.88,47.49,528796
2005-04-01,47.65,48.44,47.1,47.82,662226
2005-04-04,47.27,48.03,47.27,47.88,284709
2005-04-05,47.59,48.31,47.55,47.94,376436
2005-04-06,48.0,48.5,47.49,47.75,372211
2005-04-07,47.1,47.84,46.9,47.45,403418
2005-04-08,47.53,47.66,46.34,46.59,528711
2005-04-11,46.6,46.9,45.78,46.19,296702
2005-04-12,45.87,46.86,45.19,46.49,491497
2005-04-13,46.72,46.76,45.82,45.87,304028
2005-04-14,45.8,46.03,44.56,44.63,532942
2005-04-15,44.51,44.83,43.2,44.49,842452
2005-04-18,44.52,45.85,44.28,45.52,820805
2005-04-19,45.94,46.71,45.77,46.61,511956
2005-04-20,46.84,48.67,46.57,47.44,1044746
2005-04-21,48.04,48.13,46.6,47.59,494387
2005-04-22,47.27,47.6,46.28,46.8,396859
2005-04-25,47.21,48.07,46.85,47.81,334523
2005-04-26,47.64,48.22,47.3,47.55,457689
2005-04-27,47.58,47.92,46.94,47.82,464632
2005-04-28,47.86,47.9,46.41,46.62,405869
2005-04-29,47.13,48.2,46.5,47.76,677608
2005-05-02,47.71,47.99,45.18,45.49,820258
2005-05-03,45.35,45.38,44.5,45.35,628883
2005-05-04,40.94,44.16,39.6,42.03,6107485
2005-05-05,43.66,44.89,41.95,42.65,1617334
2005-05-06,43.0,43.0,42.03,42.5,592964
2005-05-09,42.5,42.76,41.86,42.5,772957
2005-05-10,42.05,42.3,41.35,41.65,658923
2005-05-11,41.5,41.72,40.83,41.57,795394
2005-05-12,41.69,41.69,40.77,40.8,473954
2005-05-13,40.85,41.67,40.76,41.53,793392
2005-05-16,41.53,42.29,41.21,41.53,318425
2005-05-17,41.4,41.59,41.0,41.14,332794
2005-05-18,41.29,41.95,41.06,41.75,642933
2005-05-19,41.98,42.05,41.65,42.0,492395
2005-05-20,41.68,42.16,41.67,41.95,528454
2005-05-23,42.05,44.25,41.83,44.0,940826
2005-05-24,44.15,44.33,43.43,44.22,629254
2005-05-25,43.92,44.19,43.3,43.3,590379
2005-05-26,43.41,43.81,43.0,43.15,765685
2005-05-27,43.15,43.33,42.88,43.01,392295
2005-05-31,43.0,43.0,42.44,42.56,822016
2005-06-01,42.7,42.7,42.37,42.54,683968
2005-06-02,42.31,42.65,42.01,42.44,492792
2005-06-03,42.35,42.42,41.84,42.09,434953
2005-06-06,41.86,42.37,41.86,42.17,517489
2005-06-07,42.14,42.45,41.99,42.17,700176
2005-06-08,42.22,42.63,41.99,42.4,444088
2005-06-09,42.4,42.72,41.9,42.27,335257
2005-06-10,42.46,43.27,42.12,43.21,471115
2005-06-13,43.33,43.68,42.75,43.4,395135
2005-06-14,43.51,43.98,43.25,43.83,447611
2005-06-15,43.92,44.96,43.85,44.83,539506
2005-06-16,45.0,46.61,44.7,46.32,762472
2005-06-17,46.23,46.8,45.77,46.26,703428
2005-06-20,45.91,45.93,45.33,45.37,673385
2005-06-21,45.25,45.55,45.0,45.24,299520
