Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,2.20056,2.24233,2.20056,2.24233,25812.646512404
1990-03-28,2.24233,2.25887,2.20056,2.24233,55455.787538945
1990-03-29,2.25887,2.25887,2.24233,2.24233,31554.810293005
1990-03-30,2.20056,2.20056,2.20056,2.20056,951.74550111082
1990-04-02,2.25084,2.25084,2.24233,2.24233,86051.696349629
1990-04-04,2.30084,2.30084,2.2171,2.2171,78403.997000745
1990-04-05,2.25887,2.25887,2.2171,2.2171,117607.52892566
1990-04-06,2.2171,2.2171,2.18364,2.18364,341348.48204609
1990-04-09,2.18364,2.18364,2.18364,2.18364,12428.917081101
1990-04-10,2.2171,2.2171,2.18364,2.18364,7644.6324997924
1990-04-11,2.2171,2.24233,2.18364,2.24233,204620.17132368
1990-04-12,2.2171,2.25887,2.2171,2.2171,64067.499785301
1990-04-16,2.2171,2.25084,2.2171,2.24233,40158.344275119
1990-04-17,2.2171,2.24233,2.2171,2.2171,86051.696349629
1990-04-18,2.25887,2.26728,2.2171,2.25887,308840.90396894
1990-04-19,2.25887,2.25887,2.2171,2.25084,527798.59479109
1990-04-20,2.25887,2.25887,2.20056,2.2171,149159.27236958
1990-04-23,2.20056,2.24233,2.20056,2.24233,21991.352545538
1990-04-24,2.23392,2.23392,2.2171,2.2171,19123.848645843
1990-04-25,2.24233,2.24233,2.2171,2.23392,2300522.2186394
1990-04-26,2.34309,2.34309,2.34309,2.34309,1910.646983433
1990-04-27,2.24233,2.34309,2.24233,2.2843,23904.044095032
1990-04-30,2.34309,2.38437,2.34309,2.38437,23904.044095032
1990-05-01,2.2843,2.4014,2.2843,2.35952,157772.00689897
1990-05-02,2.4014,2.44286,2.38437,2.44286,104222.77721133
1990-05-03,2.38437,2.44286,2.34309,2.34309,191230.3081942
1990-05-04,2.42623,2.42623,2.34309,2.35121,87010.59783195
1990-05-07,2.34309,2.35121,2.34309,2.35121,8602.5116990843
1990-05-08,2.34309,2.34309,2.34309,2.34309,67885.726903078
1990-05-09,2.34309,2.35952,2.25887,2.32607,35379.171108961
1990-05-10,2.25887,2.29271,2.25887,2.29271,166372.47403199
1990-05-11,2.29271,2.30084,2.25887,2.29271,45898.46348966
1990-05-14,2.29271,2.35952,2.25887,2.35952,36330.916610073
1990-05-15,2.25887,2.35952,2.25887,2.2843,25812.646512404
1990-05-16,2.2843,2.30084,2.2843,2.30084,54498.930622684
1990-05-17,2.2843,2.30925,2.2843,2.30084,137688.23448777
1990-05-18,2.2843,2.33408,2.2843,2.2843,23904.044095032
1990-05-21,2.2843,2.30084,2.2843,2.2843,15302.554678978
1990-05-22,2.34309,2.34309,2.30084,2.30084,14340.586347564
1990-05-23,2.30084,2.30084,2.30084,2.30084,1910.646983433
1990-05-24,2.30084,2.30084,2.30084,2.30084,10521.336946759
1990-05-25,2.30084,2.30084,2.30084,2.30084,951.74550111082
1990-05-29,2.30084,2.30084,2.30084,2.30084,4783.2622982788
1990-05-30,2.30084,2.34309,2.30084,2.30925,66931.936835906
1990-05-31,2.35121,2.38437,2.33408,2.38437,25812.646512404
1990-06-01,2.30084,2.30084,2.30084,2.30084,19123.848645843
1990-06-04,2.30084,2.30084,2.30084,2.30084,13387.818563424
1990-06-05,2.30084,2.33408,2.30084,2.32607,30597.953376743
1990-06-06,2.32607,2.35952,2.32607,2.35952,80318.733116298
1990-06-07,2.34309,2.4014,2.34309,2.4014,3827.4276650471
1990-06-08,2.32607,2.33408,2.32607,2.32607,11477.171579991
1990-06-11,2.32607,2.34309,2.32607,2.34309,13387.818563424
1990-06-12,2.32607,2.32607,2.32607,2.32607,9558.346332316
1990-06-13,2.34309,2.35952,2.34309,2.34309,102307.01881275
1990-06-14,2.35121,2.35121,2.35121,2.35121,6692.8869986815
1990-06-15,2.34309,2.4014,2.34309,2.34309,19123.848645843
1990-06-18,2.34309,2.4014,2.34309,2.37605,87010.59783195
1990-06-19,2.34309,2.34309,2.32607,2.33408,94661.364029924
1990-06-20,2.32607,2.34309,2.30084,2.30084,116654.76114152
1990-06-21,2.2843,2.34309,2.2843,2.33408,9558.346332316
1990-06-22,2.33408,2.33408,2.2843,2.2843,44940.584290368
1990-06-25,2.2843,2.30925,2.2843,2.2843,95612.087248004
1990-06-26,2.2843,2.29271,2.2843,2.29271,135773.49837222
1990-06-27,2.34309,2.34309,2.2843,2.2843,16253.277897058
1990-06-28,2.2843,2.2843,2.2843,2.2843,1910.646983433
1990-06-29,2.2843,2.34309,2.2843,2.30925,19123.848645843
1990-07-02,2.30084,2.34309,2.2843,2.2843,34422.3141927
1990-07-03,2.34309,2.34309,2.34309,2.34309,10521.336946759
1990-07-05,2.25887,2.32607,2.25887,2.25887,3827.4276650471
1990-07-06,2.32607,2.34309,2.32607,2.34309,8602.5116990843
1990-07-09,2.32607,2.32607,2.2171,2.2171,71714.176851154
1990-07-10,2.2171,2.30084,2.2171,2.30084,22947.187178769
1990-07-11,2.30084,2.30084,2.24233,2.24233,114732.86904476
1990-07-12,2.24233,2.32607,2.24233,2.32607,153941.51238483
1990-07-13,2.32607,2.32607,2.25887,2.25887,27731.471760078
1990-07-16,2.25887,2.32607,2.25887,2.25887,37292.884941485
1990-07-17,2.25887,2.2843,2.25887,2.2843,21035.517912306
1990-07-18,2.25887,2.25887,2.25887,2.25887,951.74550111082
1990-07-20,2.32607,2.32607,2.25887,2.25887,6692.8869986815
1990-07-23,2.2843,2.30084,2.2843,2.30084,99441.559479112
1990-07-24,2.32607,2.32607,2.2843,2.2843,43025.848174814
1990-07-25,2.2843,2.30084,2.2843,2.2843,49715.668324405
1990-07-26,2.2843,2.29271,2.2843,2.29271,48762.900540264
1990-07-27,2.34309,2.34309,2.34309,2.34309,951.74550111082
1990-07-30,2.32607,2.35952,2.30084,2.35952,30597.953376743
1990-07-31,2.35952,2.44286,2.35952,2.40981,436965.68070925
1990-08-01,2.4592,2.4592,2.38437,2.40981,62150.719103688
1990-08-02,2.38437,2.44286,2.38437,2.44286,361425.09847608
1990-08-03,2.4014,2.4014,2.34309,2.4014,422622.02751259
1990-08-06,2.38437,2.38437,2.26728,2.30084,492422.49053123
