symbol,rows
MMM,13431
AOS,4557
ABT,10082
ABBV,2580
ACN,4557
ATVI,4557
ADM,10082
ADBE,9232
ADP,10080
AAP,4557
AES,8002
AFL,9754
A,5877
APD,10081
AKAM,4557
ALK,4557
ALB,4557
ARE,4557
ALGN,4557
ALLE,2349
LNT,4557
GOOGL,4689
GOOG,2272
MO,13430
AMZN,6509
AMCR,961
AMD,10093
AEE,6351
AAL,2345
AEP,13431
AXP,12912
AIG,9721
AMT,4557
AWK,3764
AMP,4417
ABC,7047
AME,4557
AMGN,9720
APH,4557
ADI,9754
ANSS,4557
AON,4557
APA,10399
AAPL,9722
AMAT,9720
APTV,2860
ACGL,4557
ANET,2223
AJG,4557
AIZ,4557
T,9757
ATO,4557
ADSK,9514
AZO,8062
AVB,4557
AVY,9721
BKR,1447
BALL,9719
BAC,9285
BBWI,9516
BAX,10399
BDX,10081
WRB,4557
BRK.B,
BBY,9567
BIO,4557
TECH,4557
BIIB,7941
BLK,4557
BK,9721
BA,13430
BKNG,4557
BWA,4557
BXP,4557
BSX,7774
BMY,11663
AVGO,3439
BR,4037
BRO,4557
BF.B,
CHRW,6404
CDNS,4557
CZR,2147
CPT,4557
CPB,9515
COF,7140
CAH,8875
KMX,4557
CCL,8627
CARR,755
CTLT,2185
CAT,13431
CBOE,3224
CBRE,4557
CDW,2460
CE,4557
CNC,4557
CNP,13428
CDAY,1244
CF,4442
CRL,4557
SCHW,8504
CHTR,3332
CVX,13429
CMG,4327
CB,7557
CHD,4557
CI,10337
CINF,8318
CTAS,8318
CSCO,8320
C,13430
CFG,2147
CLX,10092
CME,4557
CMS,9636
KO,13431
CTSH,4557
CL,11661
CMCSA,8752
CMA,8319
CAG,9718
COP,10397
ED,13431
STZ,4557
CEG,303
COO,4557
CPRT,4557
GLW,10399
CTVA,967
CSGP,4557
COST,9259
CTRA,4557
CCI,4557
CSX,10691
CMI,9641
CVS,9648
DHI,4557
DHR,8918
DRI,7017
DVA,4557
DAL,10904
XRAY,8038
DVN,7814
DXCM,4524
FANG,2635
DLR,4557
DFS,3979
DISH,6993
DIS,13428
DG,3369
DLTR,7065
D,9703
DPZ,4557
DOV,9516
DOW,1009
DTE,13431
DUK,10082
DD,11660
DXC,1511
EMN,7376
ETN,9514
EBAY,6170
ECL,8880
EIX,10905
EW,4557
EA,2839
ELV,7596
LLY,10400
EMR,10400
ENPH,2771
ETR,10399
EOG,8437
EPAM,2805
EQT,4557
EFX,8922
EQIX,4557
EQR,7463
ESS,4557
EL,4557
ETSY,2007
RE,4557
EVRG,4557
ES,4557
EXC,10903
EXPE,4457
EXPD,8289
EXR,4557
XOM,13430
FFIV,4557
FDS,4557
FAST,8317
FRT,4557
FDX,10903
FITB,8318
FRC,3097
FSLR,4121
FE,6390
FIS,4557
FISV,8320
FLT,3093
FMC,4557
F,11661
FTNT,3366
FTV,1699
FOXA,1024
FOX,1024
BEN,9718
FCX,6983
GRMN,5611
IT,4557
GEHC,74
GEN,8320
GNRC,3309
GD,11660
GE,15414
GIS,10036
GM,3115
GPC,10082
GILD,7852
GPN,4557
GL,8885
GS,6017
HAL,10399
HIG,6870
HAS,9650
HCA,3035
PEAK,4557
HSIC,6899
HSY,9516
HES,4557
HPE,1867
HLT,2343
HOLX,4557
HD,10470
HON,13428
HRL,4557
HST,4557
HWM,1616
HPQ,13431
HUM,10401
HBAN,8320
HII,3020
IBM,15415
IEX,4557
IDXX,4557
ITW,8922
ILMN,4557
INCY,4557
IR,1484
INTC,12912
ICE,4374
IFF,10399
IP,13431
IPG,8920
INTU,7564
ISRG,4557
IVZ,4557
INVH,1554
IQV,2494
IRM,4557
JBHT,4557
SJM,4557
JKHY,4557
J,4557
DE,10398
JNJ,13430
JCI,8883
JPM,13430
JNPR,5980
K,9651
KDP,3760
KEY,8919
KEYS,2117
KMB,9651
KIM,4557
KMI,3053
KLAC,8318
KHC,1952
KR,11662
LHX,4557
LH,4557
LRCX,8312
LW,1608
LVS,4557
LDOS,4146
LEN,4557
LNC,9701
LIN,1112
LYV,4354
LKQ,4557
LMT,11660
L,4557
LOW,9514
LUMN,8921
LYB,3257
MTB,7933
MRO,13429
MPC,2957
MKTX,4557
MAR,7421
MMC,8885
MLM,4557
MAS,10035
MA,4244
MTCH,1855
MKC,6002
MCD,13431
MCK,7141
MDT,10400
MRK,13431
META,2737
MET,5786
MTD,4557
MGM,4557
MCHP,7564
MU,8535
MSFT,9339
MAA,4557
MRNA,1088
MHK,4557
MOH,4557
TAP,4557
MDLZ,4155
MPWR,4557
MNST,2827
MCO,5660
MS,4557
MOS,4557
MSI,4558
MSCI,3872
NDAQ,4556
NTAP,6886
NFLX,4557
NWL,9756
NEM,10082
NWSA,2463
NWS,2463
NEE,4557
NKE,8976
NI,9691
NDSN,4557
NSC,10296
NTRS,8320
NOC,10401
NCLH,2570
NRG,4557
NUE,9978
NVDA,6089
NVR,4557
NXPI,3187
ORLY,4557
OXY,10401
ODFL,4558
OMC,8317
ON,4557
OKE,4557
ORCL,8842
OGN,462
OTIS,755
PCAR,9257
PKG,4557
PARA,4557
PH,9516
PAYX,8318
PAYC,2259
PYPL,1952
PNR,4557
PEP,11663
PKI,10082
PFE,10398
PCG,10906
PM,3789
PSX,2748
PNW,9756
PXD,4557
PNC,8709
POOL,4557
PPG,10082
PPL,9573
PFG,5399
PG,13431
PGR,9257
PLD,6947
PRU,5361
PTC,2347
PEG,10906
PSA,4557
PHM,9516
QRVO,2052
QCOM,7883
PWR,4557
DGX,6608
RL,4557
RJF,4557
RTX,13428
O,4557
REG,4557
REGN,4556
RF,5503
RSG,4557
RMD,4557
RHI,7798
ROK,10398
ROL,4557
ROP,4557
ROST,9257
RCL,4557
SPGI,9516
CRM,4557
SBAC,4557
SLB,10401
STX,4557
SEE,8878
SRE,6230
NOW,2708
SHW,9515
SBNY,4540
SPG,7375
SWKS,4557
SNA,9514
SEDG,2021
SO,10399
LUV,10904
SWK,9516
SBUX,7749
STT,9258
STLD,4557
STE,4557
SYK,8860
SIVB,4539
SYF,2185
SNPS,7832
SYY,8994
TMUS,4019
TROW,8447
TTWO,4557
TPR,4557
TRGP,3099
TGT,10082
TEL,3979
TDY,4557
TFX,4557
TER,9087
TSLA,3214
TXN,10397
TXT,9686
TMO,8968
TJX,8879
TSCO,4557
TT,9516
TDG,4294
TRV,4557
TRMB,4557
TFC,8317
TYL,4557
TSN,4557
USB,8917
UDR,4557
ULTA,3887
UNP,10905
UAL,4328
UPS,5883
URI,4557
UNH,8320
UHS,4557
VLO,4557
VTR,4557
VRSN,6333
VRSK,3396
VZ,9920
VRTX,4555
VFC,9513
VTRS,611
VICI,1302
V,3788
VMC,8877
GWW,9651
WAB,4557
WBA,9513
WMT,12799
WBD,252
WM,4557
WAT,6887
WEC,9679
WFC,0
WELL,0
WST,0
WDC,0
WRK,0
WY,0
WHR,0
WMB,0
WTW,0
WYNN,0
XEL,0
XYL,0
YUM,0
ZBRA,0
ZBH,0
ZION,0
ZTS,0
