,Beta_func,Estimator,Scoring,Mean,Std
0,fama_macbeth_beta,Ridge,mean_absolute_percentage_error,0.005583598811742493,0.004269843602181328
1,fama_macbeth_beta,Ridge,mean_absolute_error,0.0045466789379207066,0.0032577847270295695
2,fama_macbeth_beta,Ridge,r2_score,-1.7070923216254215,5.9184777590693
3,fama_macbeth_beta,LinearRegression,mean_absolute_percentage_error,0.0001897654566360998,0.00010032687576513837
4,fama_macbeth_beta,LinearRegression,mean_absolute_error,0.00016452337163910016,9.036621576750236e-05
5,fama_macbeth_beta,LinearRegression,r2_score,0.9932647927405083,0.020189701064560802
6,fama_macbeth_beta,ESN,mean_absolute_percentage_error,1.0009568183545066,0.013642819345658022
7,fama_macbeth_beta,ESN,mean_absolute_error,0.8827089775834155,0.2427585478103445
8,fama_macbeth_beta,ESN,r2_score,-271539.57027875585,875945.5970034538
9,fama_macbeth_beta,ARIMA,mean_absolute_percentage_error,0.6082950974400033,0.3953058596981526
10,fama_macbeth_beta,ARIMA,mean_absolute_error,0.2732948591076765,0.1372727038749096
11,fama_macbeth_beta,ARIMA,r2_score,-8.533292254425209e+30,1.2633470976645178e+31
12,fama_macbeth_beta,Prophet,mean_absolute_percentage_error,0.08430155924880127,0.07728524420226916
13,fama_macbeth_beta,Prophet,mean_absolute_error,0.05972272486810852,0.05129994273539306
14,fama_macbeth_beta,Prophet,r2_score,-160.99536112968727,280.15196745758124
15,fama_macbeth_beta,XGBRegressor,mean_absolute_percentage_error,0.009717872179335613,0.011188612126094637
16,fama_macbeth_beta,XGBRegressor,mean_absolute_error,0.008636673713638979,0.010407476099183228
17,fama_macbeth_beta,XGBRegressor,r2_score,-1.9527306761168168,3.807714330974409
18,shrinkage_beta,Ridge,mean_absolute_percentage_error,0.005673629336581223,0.00433371975485239
19,shrinkage_beta,Ridge,mean_absolute_error,0.004509324616917037,0.0032167218093011644
20,shrinkage_beta,Ridge,r2_score,-1.9263154977930028,6.5971639255591645
21,shrinkage_beta,LinearRegression,mean_absolute_percentage_error,0.00018895445625670293,0.00010028562324960299
22,shrinkage_beta,LinearRegression,mean_absolute_error,0.00015939342225779963,8.659802923974095e-05
23,shrinkage_beta,LinearRegression,r2_score,0.9933026104897733,0.01961011588854937
24,shrinkage_beta,ESN,mean_absolute_percentage_error,0.997291552422628,0.01596966957763289
25,shrinkage_beta,ESN,mean_absolute_error,0.8632719763706345,0.23282105965080274
26,shrinkage_beta,ESN,r2_score,-280817.15745011356,914416.3804448799
27,shrinkage_beta,ARIMA,mean_absolute_percentage_error,0.6057169987355292,0.397952042448084
28,shrinkage_beta,ARIMA,mean_absolute_error,0.265920196227076,0.1326234745330394
29,shrinkage_beta,ARIMA,r2_score,-8.922344597242762e+30,1.8158845602026937e+31
30,shrinkage_beta,Prophet,mean_absolute_percentage_error,0.08390569280934278,0.07792547539037742
31,shrinkage_beta,Prophet,mean_absolute_error,0.057563582293605656,0.04928303961799503
32,shrinkage_beta,Prophet,r2_score,-161.89653415632506,283.9296756576342
33,shrinkage_beta,XGBRegressor,mean_absolute_percentage_error,0.015285276953274285,0.01566073355577124
34,shrinkage_beta,XGBRegressor,mean_absolute_error,0.012688546551346184,0.01428102737276099
35,shrinkage_beta,XGBRegressor,r2_score,-12.875116558769335,34.32541515131186
36,dimson_beta,Ridge,mean_absolute_percentage_error,2.2543135649143147,19.757527249043566
37,dimson_beta,Ridge,mean_absolute_error,0.03847555016541564,0.05189891825639494
38,dimson_beta,Ridge,r2_score,-18.655685773681686,75.40739559668096
39,dimson_beta,LinearRegression,mean_absolute_percentage_error,1.9914979742580377,16.26620933700605
40,dimson_beta,LinearRegression,mean_absolute_error,0.04395952411804969,0.06455163469962562
41,dimson_beta,LinearRegression,r2_score,-44.089533604458666,209.76404940445593
42,dimson_beta,ESN,mean_absolute_percentage_error,3.9315854257927065,21.726671032147888
43,dimson_beta,ESN,mean_absolute_error,0.7544394939044935,0.3476581133085573
44,dimson_beta,ESN,r2_score,-4269.639593835195,6871.486729276552
45,dimson_beta,ARIMA,mean_absolute_percentage_error,0.995731888154707,0.6896503757426886
46,dimson_beta,ARIMA,mean_absolute_error,0.3468296812049125,0.18579998247518673
47,dimson_beta,ARIMA,r2_score,-3.0258923331672823e+31,7.5008818793001285e+31
48,dimson_beta,Prophet,mean_absolute_percentage_error,1.228215191210353,4.802156477292521
49,dimson_beta,Prophet,mean_absolute_error,0.1372045937032514,0.09095887414504715
50,dimson_beta,Prophet,r2_score,-136.9444135445438,280.8105892850217
51,dimson_beta,XGBRegressor,mean_absolute_percentage_error,3.512191757956755,26.53753235594646
52,dimson_beta,XGBRegressor,mean_absolute_error,0.083058170751035,0.2416785048768265
53,dimson_beta,XGBRegressor,r2_score,-258.20997288298446,1487.8530289204687
